model,model_type,avg_reward,std_reward,success_rate,avg_length,avg_picks,avg_duration,avg_collisions,avg_rrt_failures,avg_pick_failures,avg_successful_picks,avg_unreachable_cubes,avg_path_efficiency,avg_action_entropy,avg_unique_actions,avg_action_diversity,episodes
Custom-DDQN,ddqn,158.55167114340696,28.422075054055846,0.9444444444444444,8.5,8.5,31.713076210021974,0.0,0.0,0.5,8.5,0.5,0.0,3.0826904918448568,8.5,1.0,10
Duel-DDQN,ddqn,158.14187515088614,16.66366561503278,0.9666666666666666,8.7,8.7,22.93633930683136,0.0,0.0,0.3,8.7,0.3,0.0,3.1189474997544737,8.7,1.0,10
PER-DDQN-Light,ddqn,159.39039264974514,23.088231477788472,0.9777777777777779,8.8,8.8,17.592683815956114,0.0,0.0,0.2,8.8,0.2,0.0,3.13366799223427,8.8,1.0,10
PER-DDQN-Full,ddqn,152.78807891851505,21.622827979628127,0.9555555555555555,8.6,8.6,25.864651322364807,0.0,0.0,0.4,8.6,0.4,0.0,3.0944362499852476,8.6,1.0,10
C51-DDQN,ddqn,171.3068703496962,17.532944382386138,0.9888888888888889,8.9,8.9,10.737143731117248,0.0,0.0,0.1,8.9,0.1,0.0,3.1529325000140824,8.9,1.0,10
SAC-Discrete,pytorch,151.9069059747584,18.800920661678372,0.9555555555555555,8.6,8.6,27.290225005149843,0.0,0.0,0.4,8.6,0.4,0.0,3.099682991974661,8.6,1.0,10
PPO-Discrete,pytorch,156.96682038853362,18.02293189513661,0.9555555555555555,8.6,8.6,31.819064211845397,0.0,0.0,0.4,8.6,0.4,0.0,3.1019549996246694,8.6,1.0,10
