model,model_type,avg_reward,std_reward,success_rate,avg_length,avg_picks,avg_duration,avg_collisions,avg_rrt_failures,avg_pick_failures,avg_successful_picks,avg_unreachable_cubes,avg_path_efficiency,avg_action_entropy,avg_unique_actions,avg_action_diversity,episodes
Custom-DDQN,ddqn,166.63422365426737,24.129452848731624,0.9777777777777779,8.8,8.8,15.376326084136963,0.0,0.0,0.2,8.8,0.2,0.9777777777777779,3.135939999884278,8.8,1.0,5
Duel-DDQN,ddqn,161.117854691528,13.295749477310686,0.9777777777777779,8.8,8.8,14.764846897125244,0.0,0.0,0.2,8.8,0.2,0.9777777777777779,3.135939999884278,8.8,1.0,5
PER-DDQN-Light,ddqn,164.0943186952481,8.459616637342656,1.0,9.0,9.0,4.065065813064575,0.0,0.0,0.0,9.0,0.0,1.0,3.169925000143887,9.0,1.0,5
PER-DDQN-Full,ddqn,158.84231781175103,21.863539973017417,0.9333333333333332,8.4,8.4,33.20670824050903,0.0,0.0,0.6,8.4,0.6,0.9333333333333332,3.063425984065044,8.4,1.0,5
C51-DDQN,ddqn,177.97905368624282,17.69231339707058,1.0,9.0,9.0,3.5351265907287597,0.0,0.0,0.0,9.0,0.0,1.0,3.169925000143887,9.0,1.0,5
SAC-Discrete,pytorch,150.66718336819002,16.860185874941543,0.9555555555555555,8.6,8.6,25.632807445526122,0.0,0.0,0.4,8.6,0.4,0.9555555555555555,3.097410984324653,8.6,1.0,5
PPO-Discrete,pytorch,153.3942596519591,18.81129846218355,0.9333333333333332,8.4,8.4,36.1504789352417,0.0,0.0,0.6,8.4,0.6,0.9333333333333332,3.0679699993650607,8.4,1.0,5
