episode,model,reward,length,success,picks,start_time,seed,collisions,rrt_failures,pick_failures,successful_picks,unreachable_cubes,optimal_steps,total_cubes,duration,unattempted_picks,path_efficiency,unique_actions,action_diversity_ratio,action_entropy
1,Custom-DDQN,173.8621785934804,9,1,9,1767737527.862665,1042,0,0,0,9,0,9,9,2.8902428150177,0,1.0,9,1.0,3.169925000143887
2,Custom-DDQN,169.72846131218745,9,1,9,1767737530.753904,1043,0,0,0,9,0,9,9,6.842450141906738,0,1.0,9,1.0,3.169925000143887
3,Custom-DDQN,198.47487991750768,9,1,9,1767737537.5963542,1044,0,0,0,9,0,9,9,4.148595571517944,0,1.0,9,1.0,3.169925000143887
4,Custom-DDQN,123.79673983056406,8,0,8,1767737541.7464805,1045,0,0,1,8,1,9,9,64.501624584198,1,0.8888888888888888,8,1.0,2.9999999988458437
5,Custom-DDQN,167.30881797657494,9,1,9,1767737606.2490957,1046,0,0,0,9,0,9,9,5.172852993011475,0,1.0,9,1.0,3.169925000143887
6,Custom-DDQN,106.75236009743011,7,0,7,1767737611.4229426,1047,0,0,2,7,2,9,9,115.19222736358643,2,0.7777777777777778,7,1.0,2.8073549210477178
7,Custom-DDQN,195.81057652233972,9,1,9,1767737726.6181614,1048,0,0,0,9,0,9,9,3.347930669784546,0,1.0,9,1.0,3.169925000143887
8,Custom-DDQN,168.4686323269566,9,1,9,1767737729.9675927,1049,0,0,0,9,0,9,9,2.597658157348633,0,1.0,9,1.0,3.169925000143887
9,Custom-DDQN,144.54143488879504,8,0,8,1767737732.5662541,1050,0,0,1,8,1,9,9,63.467639207839966,1,0.8888888888888888,8,1.0,2.9999999988458437
10,Custom-DDQN,136.77263198191082,8,0,8,1767737796.0344121,1051,0,0,1,8,1,9,9,59.52061176300049,1,0.8888888888888888,8,1.0,2.9999999988458437
11,Custom-DDQN,137.61455983461386,8,0,8,1767737855.5564954,1052,0,0,1,8,1,9,9,68.07907962799072,1,0.8888888888888888,8,1.0,2.9999999988458437
12,Custom-DDQN,183.64567844139162,9,1,9,1767737923.6375742,1053,0,0,0,9,0,9,9,3.2797300815582275,0,1.0,9,1.0,3.169925000143887
13,Custom-DDQN,154.9863416090614,9,1,9,1767737926.9183006,1054,0,0,0,9,0,9,9,3.467355251312256,0,1.0,9,1.0,3.169925000143887
14,Custom-DDQN,161.31090572255624,8,0,8,1767737930.3870544,1055,0,0,1,8,1,9,9,70.15018248558044,1,0.8888888888888888,8,1.0,2.9999999988458437
15,Custom-DDQN,147.52918332928985,9,1,9,1767738000.538514,1056,0,0,0,9,0,9,9,4.469584703445435,0,1.0,9,1.0,3.169925000143887
16,Custom-DDQN,115.05195970510475,6,0,6,1767738005.0156248,1057,0,0,3,6,3,9,9,128.56407070159912,3,0.6666666666666666,6,1.0,2.584962499855539
17,Custom-DDQN,143.33044748892615,9,1,9,1767738133.5807278,1058,0,0,0,9,0,9,9,6.5415544509887695,0,1.0,9,1.0,3.169925000143887
