model,model_type,avg_reward,std_reward,success_rate,avg_length,avg_picks,avg_duration,avg_collisions,avg_rrt_failures,avg_pick_failures,avg_successful_picks,avg_unreachable_cubes,avg_path_efficiency,avg_action_entropy,avg_unique_actions,avg_action_diversity,episodes
Custom-DDQN,ddqn,151.90516795285134,25.124460599914727,0.9236812570145905,8.313131313131313,8.313131313131313,39.13671210558728,0.0,0.0,0.6868686868686869,8.313131313131313,0.6868686868686869,0.9236812570145905,3.047417010327273,8.313131313131313,1.0,99
Duel-DDQN,ddqn,152.98446675334552,20.738988728685683,0.9506172839506173,8.555555555555555,8.555555555555555,32.1068384526956,0.0,0.0,0.4444444444444444,8.555555555555555,0.4444444444444444,0.9506172839506173,3.092495829073094,8.555555555555555,1.0,99
PER-DDQN-Light,ddqn,151.16204793670406,23.776833014483568,0.9517396184062852,8.565656565656566,8.565656565656566,25.274979357767588,0.0,0.0,0.43434343434343436,8.565656565656566,0.43434343434343436,0.9517396184062852,3.0925347906781795,8.565656565656566,1.0,99
PER-DDQN-Full,ddqn,151.49978367722122,21.257791243332868,0.947250280583614,8.525252525252526,8.525252525252526,26.951278392714684,0.0,0.0,0.47474747474747475,8.525252525252526,0.47474747474747475,0.947250280583614,3.0863576212267465,8.525252525252526,1.0,99
C51-DDQN,ddqn,155.63108319852756,21.254213725020016,0.947250280583614,8.525252525252526,8.525252525252526,27.43589213159349,0.0,0.0,0.47474747474747475,8.525252525252526,0.47474747474747475,0.947250280583614,3.086887595165071,8.525252525252526,1.0,99
SAC-Discrete,pytorch,154.55103970951163,21.484223797553184,0.9461279461279462,8.515151515151516,8.515151515151516,27.05597414874067,0.0,0.0,0.48484848484848486,8.515151515151516,0.48484848484848486,0.9461279461279462,3.084182215627775,8.515151515151516,1.0,99
PPO-Discrete,pytorch,150.88418021135996,24.653264412221624,0.9349046015712682,8.414141414141413,8.414141414141413,31.262143664889866,0.0,0.0,0.5858585858585859,8.414141414141413,0.5858585858585859,0.9349046015712682,3.0639411310543743,8.414141414141413,1.0,99
