episode,model,reward,length,success,picks,start_time,seed,collisions,rrt_failures,pick_failures,successful_picks,unreachable_cubes,optimal_steps,total_cubes,duration,total_rrt_path_length,avg_rrt_path_length,total_rrt_optimal_path_length,avg_rrt_optimal_path_length,avg_rrt_planning_time,rrt_success_rate,unattempted_picks,path_efficiency,unique_actions,action_diversity_ratio,action_entropy
1,Custom-DDQN,173.86218086651903,9,1,9,1767788997.92461,1042,0,0,0,9,0,9,9,2.439314603805542,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
2,Custom-DDQN,169.72846269641138,9,1,9,1767789000.3659441,1043,0,0,0,9,0,9,9,4.603622674942017,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
3,Custom-DDQN,198.47488021017654,9,1,9,1767789004.9716105,1044,0,0,0,9,0,9,9,3.566653251647949,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
4,Custom-DDQN,123.79673026972831,8,0,8,1767789008.5397637,1045,0,0,1,8,1,9,9,63.700316190719604,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
5,Custom-DDQN,167.30881930662994,9,1,9,1767789072.2409434,1046,0,0,0,9,0,9,9,4.335055351257324,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
6,Custom-DDQN,106.75236266074081,7,0,7,1767789076.57699,1047,0,0,2,7,2,9,9,113.6342225074768,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,7,1.0,2.8073549210477178
7,Custom-DDQN,195.81058809516,9,1,9,1767789190.2122488,1048,0,0,0,9,0,9,9,3.973482370376587,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
8,Custom-DDQN,168.46862913297852,9,1,9,1767789194.187226,1049,0,0,0,9,0,9,9,3.1007583141326904,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
9,Custom-DDQN,144.54143444264685,8,0,8,1767789197.2944767,1050,0,0,1,8,1,9,9,59.89961504936218,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
10,Custom-DDQN,136.77262375307802,8,0,8,1767789257.1961007,1051,0,0,1,8,1,9,9,57.87772178649902,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
1,Duel-DDQN,140.19384280736864,9,1,9,1767789315.1294434,2042,0,0,0,9,0,9,9,7.6060545444488525,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
2,Duel-DDQN,177.2795252890963,9,1,9,1767789322.7364964,2043,0,0,0,9,0,9,9,4.523300647735596,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
3,Duel-DDQN,152.24112992336757,8,0,8,1767789327.2607908,2044,0,0,1,8,1,9,9,66.35780072212219,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
4,Duel-DDQN,170.57449864604524,9,1,9,1767789393.620083,2045,0,0,0,9,0,9,9,3.8609440326690674,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
5,Duel-DDQN,165.36956850726642,9,1,9,1767789397.4820263,2046,0,0,0,9,0,9,9,2.3629953861236572,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
6,Duel-DDQN,159.65415514932926,9,1,9,1767789399.8460217,2047,0,0,0,9,0,9,9,3.245718002319336,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
7,Duel-DDQN,169.88222751914714,8,0,8,1767789403.0927417,2048,0,0,1,8,1,9,9,64.9615433216095,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
8,Duel-DDQN,118.08506918430895,8,0,8,1767789468.0557952,2049,0,0,1,8,1,9,9,68.06097960472107,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
9,Duel-DDQN,160.0802173773323,9,1,9,1767789536.1183777,2050,0,0,0,9,0,9,9,3.434645175933838,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
10,Duel-DDQN,168.05851710559952,9,1,9,1767789539.5550683,2051,0,0,0,9,0,9,9,4.949411630630493,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
1,PER-DDQN-Light,154.03156088846032,9,1,9,1767789544.5451264,3042,0,0,0,9,0,9,9,4.685513734817505,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
2,PER-DDQN-Light,164.8616237352282,9,1,9,1767789549.2321327,3043,0,0,0,9,0,9,9,5.12744140625,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
3,PER-DDQN-Light,179.5570854445837,9,1,9,1767789554.3600786,3044,0,0,0,9,0,9,9,4.065048456192017,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
