episode,model,seed,agent1_reward,success,cubes_picked,pick_failures,successful_picks,unreachable_cubes,path_efficiency,action_entropy,agent2_reward,reshuffles_performed,total_distance_reduced,total_time_saved,total_reward,episode_length,duration,timestamp,planner,grid_size,num_cubes
1,Heuristic,42,,True,9,0,9,0,1.0,0.0,,5,0.46839599008732224,0.9367919801746445,,9,0.3652489185333252,2026-01-19T03:04:32.701934,Isaac Sim RRT,4,9
2,Heuristic,42,,True,9,0,9,0,1.0,0.0,,5,0.3288712800727246,0.6577425601454492,,9,0.3736600875854492,2026-01-19T03:04:33.103108,Isaac Sim RRT,4,9
3,Heuristic,42,,True,9,0,9,0,1.0,0.0,,5,0.4662407457368889,0.9324814914737778,,9,0.5430183410644531,2026-01-19T03:04:33.665658,Isaac Sim RRT,4,9
1,Duel-DDQN+MASAC,42,126.87547547974299,True,9,0,9,0,1.0,0.0,205.02417674558498,5,0.7620883727924999,1.5241767455849997,331.89965222532794,9,1.074732780456543,2026-01-19T03:05:23.615444,Isaac Sim RRT,4,9
2,Duel-DDQN+MASAC,42,120.48769113593518,True,9,0,9,0,1.0,0.0,201.812346074338,5,0.6561730371690094,1.3123460743380189,322.30003721027316,9,0.9448766708374023,2026-01-19T03:05:24.579357,Isaac Sim RRT,4,9
3,Duel-DDQN+MASAC,42,127.57514568204607,True,9,0,9,0,1.0,0.0,203.45114621417858,5,0.7255731070892986,1.4511462141785971,331.02629189622456,9,1.0116558074951172,2026-01-19T03:05:25.610387,Isaac Sim RRT,4,9
1,PER-DDQN-Light+MASAC,42,139.55254170917974,True,9,0,9,0,1.0,0.0,160.95983946328747,5,0.7299197316437409,1.4598394632874818,300.5123811724672,9,0.9736862182617188,2026-01-19T03:06:15.828184,Isaac Sim RRT,4,9
2,PER-DDQN-Light+MASAC,42,-948.5195987124713,False,8,0,8,1,1.0,0.0,160.7107884840866,5,0.6053942420433085,1.210788484086617,-787.8088102283847,50,89.44826126098633,2026-01-19T03:07:45.311940,Isaac Sim RRT,4,9
3,PER-DDQN-Light+MASAC,42,112.38517525496934,True,9,0,9,0,1.0,0.0,160.60550838278732,5,1.3027541913936656,2.605508382787331,272.99068363775666,10,5.327256441116333,2026-01-19T03:07:50.667722,Isaac Sim RRT,4,9
1,PER-DDQN-Full+MASAC,42,127.1259570941581,True,9,0,9,0,1.0,0.0,203.16790965097286,5,0.5839548254864391,1.1679096509728781,330.293866745131,9,0.9424540996551514,2026-01-19T03:08:38.013281,Isaac Sim RRT,4,9
2,PER-DDQN-Full+MASAC,42,49.180237605692454,False,8,0,8,1,1.0,0.0,201.24582749646817,5,0.3729137482340884,0.7458274964681768,250.4260651021606,9,3.294445753097534,2026-01-19T03:08:41.329201,Isaac Sim RRT,4,9
3,PER-DDQN-Full+MASAC,42,-1192.0602053641421,False,1,0,1,8,1.0,0.0,197.3157921779698,5,-0.09210391101508719,-0.18420782203017438,-994.7444131861723,50,122.31444334983826,2026-01-19T03:10:43.694372,Isaac Sim RRT,4,9
1,C51-DDQN+MASAC,42,137.69989094677027,True,9,0,9,0,1.0,0.0,161.12610607909164,5,0.8130530395458262,1.6261060790916524,298.8259970258619,9,0.8276443481445312,2026-01-19T03:11:54.323521,Isaac Sim RRT,4,9
2,C51-DDQN+MASAC,42,113.46468576616108,True,9,0,9,0,1.0,0.0,161.93063890939342,5,0.46531945469671937,0.9306389093934387,275.3953246755545,9,0.874929666519165,2026-01-19T03:11:55.226009,Isaac Sim RRT,4,9
3,C51-DDQN+MASAC,42,149.44155268748295,True,9,0,9,0,1.0,0.0,202.71386798678589,5,1.1069339933929494,2.213867986785899,352.15542067426884,9,1.043320655822754,2026-01-19T03:11:56.291418,Isaac Sim RRT,4,9
1,SAC-Discrete+MASAC,42,-1186.8631074424127,False,1,0,1,8,1.0,0.0,60.53959077381592,2,0.01979538690796101,0.03959077381592202,-1126.3235166685968,50,102.70056772232056,2026-01-19T03:13:50.836542,Isaac Sim RRT,4,9
2,SAC-Discrete+MASAC,42,130.31899414716912,True,9,0,9,0,1.0,0.0,122.2582766679451,5,0.3791383339725525,0.758276667945105,252.57727081511425,9,0.6997470855712891,2026-01-19T03:13:51.559762,Isaac Sim RRT,4,9
3,SAC-Discrete+MASAC,42,71.77321572211304,False,8,0,8,1,1.0,0.0,202.04935115473606,5,0.7746755773680385,1.549351154736077,273.8225668768491,8,0.6978573799133301,2026-01-19T03:13:52.291697,Isaac Sim RRT,4,9
1,PPO-Discrete+MASAC,42,117.21581048475434,True,9,0,9,0,1.0,0.0,203.4818356281395,5,0.740917814069753,1.481835628139506,320.69764611289384,9,0.7456212043762207,2026-01-19T03:14:12.700112,Isaac Sim RRT,4,9
2,PPO-Discrete+MASAC,42,145.22489432395753,True,9,0,9,0,1.0,0.0,200.28695663707592,5,1.393478318537968,2.786956637075936,345.5118509610335,9,0.7563090324401855,2026-01-19T03:14:13.481418,Isaac Sim RRT,4,9
3,PPO-Discrete+MASAC,42,127.27436600183442,True,9,0,9,0,1.0,0.0,201.61566790400695,5,0.5578339520034841,1.1156679040069681,328.8900339058414,9,0.9939532279968262,2026-01-19T03:14:14.504435,Isaac Sim RRT,4,9
1,DDQN+MASAC,42,130.47168877711016,True,9,0,9,0,1.0,0.0,162.43494576221096,5,0.7174728811054871,1.4349457622109743,292.90663453932115,9,0.9266228675842285,2026-01-19T03:14:35.114700,Isaac Sim RRT,4,9
2,DDQN+MASAC,42,133.45118496733036,True,9,0,9,0,1.0,0.0,202.46537562667083,5,0.9826878133354238,1.9653756266708475,335.9165605940012,9,1.026618480682373,2026-01-19T03:14:36.159353,Isaac Sim RRT,4,9
3,DDQN+MASAC,42,129.64396493207943,True,9,0,9,0,1.0,0.0,201.91230294006206,5,0.7061514700310405,1.412302940062081,331.55626787214146,9,0.9340457916259766,2026-01-19T03:14:37.115938,Isaac Sim RRT,4,9
