global_timestep,episode,step_in_episode,model,seed,reward,cumulative_reward,reshuffled,distance_reduced,time_saved,cubes_picked_so_far,done,truncated,timestamp,planner
1,1,1,Heuristic,42,,,True,0.0,0.0,1,False,False,2026-01-19T04:51:41.693185,Isaac Sim RRT
2,1,2,Heuristic,42,,,True,0.0,0.0,2,False,False,2026-01-19T04:51:41.742786,Isaac Sim RRT
3,1,3,Heuristic,42,,,True,0.0,0.0,3,False,False,2026-01-19T04:51:41.878468,Isaac Sim RRT
4,1,4,Heuristic,42,,,True,0.0,0.0,4,False,False,2026-01-19T04:51:41.933656,Isaac Sim RRT
5,1,5,Heuristic,42,,,True,0.0,0.0,5,False,False,2026-01-19T04:51:41.963715,Isaac Sim RRT
6,1,6,Heuristic,42,,,False,0.0,0.0,6,False,False,2026-01-19T04:51:42.045994,Isaac Sim RRT
7,1,7,Heuristic,42,,,False,0.0,0.0,7,False,False,2026-01-19T04:51:42.134250,Isaac Sim RRT
8,1,8,Heuristic,42,,,False,0.0,0.0,8,False,False,2026-01-19T04:51:42.184218,Isaac Sim RRT
9,1,9,Heuristic,42,,,False,0.0,0.0,9,True,False,2026-01-19T04:51:42.223818,Isaac Sim RRT
10,2,1,Heuristic,42,,,True,0.0,0.0,1,False,False,2026-01-19T04:51:42.316377,Isaac Sim RRT
11,2,2,Heuristic,42,,,True,0.0,0.0,2,False,False,2026-01-19T04:51:42.361947,Isaac Sim RRT
12,2,3,Heuristic,42,,,True,0.0,0.0,3,False,False,2026-01-19T04:51:42.431057,Isaac Sim RRT
13,2,4,Heuristic,42,,,True,0.0,0.0,4,False,False,2026-01-19T04:51:42.559256,Isaac Sim RRT
14,2,5,Heuristic,42,,,True,0.0,0.0,5,False,False,2026-01-19T04:51:42.641085,Isaac Sim RRT
15,2,6,Heuristic,42,,,False,0.0,0.0,6,False,False,2026-01-19T04:51:42.670605,Isaac Sim RRT
16,2,7,Heuristic,42,,,False,0.0,0.0,7,False,False,2026-01-19T04:51:42.698762,Isaac Sim RRT
17,2,8,Heuristic,42,,,False,0.0,0.0,8,False,False,2026-01-19T04:51:42.721659,Isaac Sim RRT
18,2,9,Heuristic,42,,,False,0.0,0.0,9,True,False,2026-01-19T04:51:42.745240,Isaac Sim RRT
19,3,1,Heuristic,42,,,True,0.0,0.0,1,False,False,2026-01-19T04:51:42.833102,Isaac Sim RRT
20,3,2,Heuristic,42,,,True,0.0,0.0,2,False,False,2026-01-19T04:51:42.879159,Isaac Sim RRT
21,3,3,Heuristic,42,,,True,0.0,0.0,3,False,False,2026-01-19T04:51:42.916698,Isaac Sim RRT
22,3,4,Heuristic,42,,,True,0.0,0.0,4,False,False,2026-01-19T04:51:43.031256,Isaac Sim RRT
23,3,5,Heuristic,42,,,True,0.0,0.0,5,False,False,2026-01-19T04:51:43.070794,Isaac Sim RRT
24,3,6,Heuristic,42,,,False,0.0,0.0,6,False,False,2026-01-19T04:51:43.105616,Isaac Sim RRT
25,3,7,Heuristic,42,,,False,0.0,0.0,7,False,False,2026-01-19T04:51:43.224273,Isaac Sim RRT
26,3,8,Heuristic,42,,,False,0.0,0.0,8,False,False,2026-01-19T04:51:43.304532,Isaac Sim RRT
27,3,9,Heuristic,42,,,False,0.0,0.0,9,True,False,2026-01-19T04:51:43.335937,Isaac Sim RRT
28,4,1,Heuristic,42,,,True,0.0,0.0,1,False,False,2026-01-19T04:51:43.422709,Isaac Sim RRT
29,4,2,Heuristic,42,,,True,0.0,0.0,2,False,False,2026-01-19T04:51:43.472769,Isaac Sim RRT
30,4,3,Heuristic,42,,,True,0.0,0.0,3,False,False,2026-01-19T04:51:43.543297,Isaac Sim RRT
31,4,4,Heuristic,42,,,True,0.0,0.0,4,False,False,2026-01-19T04:51:43.586516,Isaac Sim RRT
32,4,5,Heuristic,42,,,True,0.0,0.0,5,False,False,2026-01-19T04:51:43.630437,Isaac Sim RRT
33,4,6,Heuristic,42,,,False,0.0,0.0,6,False,False,2026-01-19T04:51:43.687364,Isaac Sim RRT
34,4,7,Heuristic,42,,,False,0.0,0.0,7,False,False,2026-01-19T04:51:43.710393,Isaac Sim RRT
35,4,8,Heuristic,42,,,False,0.0,0.0,8,False,False,2026-01-19T04:51:43.736939,Isaac Sim RRT
36,4,9,Heuristic,42,,,False,0.0,0.0,9,True,False,2026-01-19T04:51:43.769869,Isaac Sim RRT
37,5,1,Heuristic,42,,,True,0.0,0.0,1,False,False,2026-01-19T04:51:43.862729,Isaac Sim RRT
38,5,2,Heuristic,42,,,True,0.0,0.0,2,False,False,2026-01-19T04:51:43.915290,Isaac Sim RRT
39,5,3,Heuristic,42,,,True,0.0,0.0,3,False,False,2026-01-19T04:51:43.965371,Isaac Sim RRT
40,5,4,Heuristic,42,,,True,0.0,0.0,4,False,False,2026-01-19T04:51:44.028383,Isaac Sim RRT
41,5,5,Heuristic,42,,,True,0.0,0.0,5,False,False,2026-01-19T04:51:44.056871,Isaac Sim RRT
42,5,6,Heuristic,42,,,False,0.0,0.0,6,False,False,2026-01-19T04:51:44.085783,Isaac Sim RRT
43,5,7,Heuristic,42,,,False,0.0,0.0,7,False,False,2026-01-19T04:51:44.154272,Isaac Sim RRT
44,5,8,Heuristic,42,,,False,0.0,0.0,8,False,False,2026-01-19T04:51:44.179514,Isaac Sim RRT
45,5,9,Heuristic,42,,,False,0.0,0.0,9,True,False,2026-01-19T04:51:44.212586,Isaac Sim RRT
46,6,1,Heuristic,42,,,True,0.0,0.0,1,False,False,2026-01-19T04:51:44.292740,Isaac Sim RRT
47,6,2,Heuristic,42,,,True,0.0,0.0,2,False,False,2026-01-19T04:51:44.349855,Isaac Sim RRT
48,6,3,Heuristic,42,,,True,0.0,0.0,3,False,False,2026-01-19T04:51:44.402724,Isaac Sim RRT
49,6,4,Heuristic,42,,,True,0.0,0.0,4,False,False,2026-01-19T04:51:44.455189,Isaac Sim RRT
50,6,5,Heuristic,42,,,True,0.0,0.0,5,False,False,2026-01-19T04:51:44.491851,Isaac Sim RRT
51,6,6,Heuristic,42,,,False,0.0,0.0,6,False,False,2026-01-19T04:51:44.534357,Isaac Sim RRT
52,6,7,Heuristic,42,,,False,0.0,0.0,7,False,False,2026-01-19T04:51:44.558856,Isaac Sim RRT
53,6,8,Heuristic,42,,,False,0.0,0.0,8,False,False,2026-01-19T04:51:44.589183,Isaac Sim RRT
54,6,9,Heuristic,42,,,False,0.0,0.0,9,True,False,2026-01-19T04:51:44.617227,Isaac Sim RRT
55,7,1,Heuristic,42,,,True,0.0,0.0,1,False,False,2026-01-19T04:51:44.722862,Isaac Sim RRT
56,7,2,Heuristic,42,,,True,0.0,0.0,2,False,False,2026-01-19T04:51:44.774423,Isaac Sim RRT
57,7,3,Heuristic,42,,,True,0.0,0.0,3,False,False,2026-01-19T04:51:44.806091,Isaac Sim RRT
58,7,4,Heuristic,42,,,True,0.0,0.0,4,False,False,2026-01-19T04:51:44.852132,Isaac Sim RRT
59,7,5,Heuristic,42,,,True,0.0,0.0,5,False,False,2026-01-19T04:51:44.871529,Isaac Sim RRT
60,7,6,Heuristic,42,,,False,0.0,0.0,6,False,False,2026-01-19T04:51:44.931592,Isaac Sim RRT
61,7,7,Heuristic,42,,,False,0.0,0.0,7,False,False,2026-01-19T04:51:44.952154,Isaac Sim RRT
62,7,8,Heuristic,42,,,False,0.0,0.0,8,False,False,2026-01-19T04:51:45.004294,Isaac Sim RRT
63,7,9,Heuristic,42,,,False,0.0,0.0,9,True,False,2026-01-19T04:51:45.030297,Isaac Sim RRT
64,8,1,Heuristic,42,,,True,0.0,0.0,1,False,False,2026-01-19T04:51:45.126791,Isaac Sim RRT
65,8,2,Heuristic,42,,,True,0.0,0.0,2,False,False,2026-01-19T04:51:45.185451,Isaac Sim RRT
66,8,3,Heuristic,42,,,True,0.0,0.0,3,False,False,2026-01-19T04:51:45.222497,Isaac Sim RRT
67,8,4,Heuristic,42,,,True,0.0,0.0,4,False,False,2026-01-19T04:51:45.254130,Isaac Sim RRT
68,8,5,Heuristic,42,,,True,0.0,0.0,5,False,False,2026-01-19T04:51:45.277662,Isaac Sim RRT
69,8,6,Heuristic,42,,,False,0.0,0.0,6,False,False,2026-01-19T04:51:45.304162,Isaac Sim RRT
70,8,7,Heuristic,42,,,False,0.0,0.0,7,False,False,2026-01-19T04:51:45.342081,Isaac Sim RRT
71,8,8,Heuristic,42,,,False,0.0,0.0,8,False,False,2026-01-19T04:51:45.386134,Isaac Sim RRT
72,8,9,Heuristic,42,,,False,0.0,0.0,9,True,False,2026-01-19T04:51:45.436605,Isaac Sim RRT
73,9,1,Heuristic,42,,,True,0.0,0.0,1,False,False,2026-01-19T04:51:45.517195,Isaac Sim RRT
74,9,2,Heuristic,42,,,True,0.0,0.0,2,False,False,2026-01-19T04:51:45.561291,Isaac Sim RRT
75,9,3,Heuristic,42,,,True,0.0,0.0,3,False,False,2026-01-19T04:51:45.596727,Isaac Sim RRT
76,9,4,Heuristic,42,,,True,0.0,0.0,4,False,False,2026-01-19T04:51:45.623939,Isaac Sim RRT
77,9,5,Heuristic,42,,,True,0.0,0.0,5,False,False,2026-01-19T04:51:45.687886,Isaac Sim RRT
78,9,6,Heuristic,42,,,False,0.0,0.0,6,False,False,2026-01-19T04:51:45.736000,Isaac Sim RRT
79,9,7,Heuristic,42,,,False,0.0,0.0,7,False,False,2026-01-19T04:51:45.764038,Isaac Sim RRT
80,9,8,Heuristic,42,,,False,0.0,0.0,8,False,False,2026-01-19T04:51:45.789578,Isaac Sim RRT
81,9,9,Heuristic,42,,,False,0.0,0.0,9,True,False,2026-01-19T04:51:45.826115,Isaac Sim RRT
82,10,1,Heuristic,42,,,True,0.0,0.0,1,False,False,2026-01-19T04:51:45.915798,Isaac Sim RRT
83,10,2,Heuristic,42,,,True,0.0,0.0,2,False,False,2026-01-19T04:51:45.956345,Isaac Sim RRT
84,10,3,Heuristic,42,,,True,0.0,0.0,3,False,False,2026-01-19T04:51:46.004328,Isaac Sim RRT
85,10,4,Heuristic,42,,,True,0.0,0.0,4,False,False,2026-01-19T04:51:46.051370,Isaac Sim RRT
86,10,5,Heuristic,42,,,True,0.0,0.0,5,False,False,2026-01-19T04:51:46.107377,Isaac Sim RRT
87,10,6,Heuristic,42,,,False,0.0,0.0,6,False,False,2026-01-19T04:51:46.131683,Isaac Sim RRT
88,10,7,Heuristic,42,,,False,0.0,0.0,7,False,False,2026-01-19T04:51:46.153838,Isaac Sim RRT
89,10,8,Heuristic,42,,,False,0.0,0.0,8,False,False,2026-01-19T04:51:46.208016,Isaac Sim RRT
