episode,model,seed,agent1_reward,success,cubes_picked,pick_failures,successful_picks,unreachable_cubes,path_efficiency,action_entropy,agent2_reward,reshuffles_performed,total_distance_reduced,total_time_saved,total_reward,episode_length,duration,timestamp,planner,grid_size,num_cubes
1,Heuristic,42,,True,9,0,9,0,1.0,0.0,,5,0.43314056044693094,0.8662811208938619,,9,0.42121315002441406,2026-01-18T21:30:08.586113,Isaac Sim RRT,4,9
2,Heuristic,42,,True,9,0,9,0,1.0,0.0,,5,0.2575984300361035,0.515196860072207,,9,0.4541590213775635,2026-01-18T21:30:09.077561,Isaac Sim RRT,4,9
3,Heuristic,42,,True,9,0,9,0,1.0,0.0,,5,0.4541940509813347,0.9083881019626694,,9,0.3989737033843994,2026-01-18T21:30:09.514482,Isaac Sim RRT,4,9
1,Duel-DDQN+MASAC,42,-953.0250064631944,False,8,0,8,1,1.0,0.0,200.8942106573999,5,0.19710532869996156,0.3942106573999231,-752.1307958057945,50,92.68561005592346,2026-01-18T21:32:31.845962,Isaac Sim RRT,4,9
2,Duel-DDQN+MASAC,42,-1128.4884803062946,False,3,0,3,6,1.0,0.0,162.87522240935516,5,1.1876112046775869,2.3752224093551737,-965.6132578969396,50,103.30567765235901,2026-01-18T21:34:15.196151,Isaac Sim RRT,4,9
3,Duel-DDQN+MASAC,42,56.297662107664166,False,8,0,8,1,1.0,0.0,164.6802051496871,5,0.340102574843563,0.680205149687126,220.9778672573513,9,3.176283359527588,2026-01-18T21:34:18.393242,Isaac Sim RRT,4,9
1,PER-DDQN-Light+MASAC,42,139.85826160048424,True,9,0,9,0,1.0,0.0,201.44908746539306,5,0.47454373269653827,0.9490874653930765,341.30734906587736,9,1.7817113399505615,2026-01-18T21:34:58.945250,Isaac Sim RRT,4,9
2,PER-DDQN-Light+MASAC,42,-929.04786043048,False,8,0,8,1,1.0,0.0,80.70699083590011,5,0.10349541795006001,0.20699083590012002,-848.3408695945799,50,93.82895541191101,2026-01-18T21:36:32.799272,Isaac Sim RRT,4,9
3,PER-DDQN-Light+MASAC,42,-939.004698119075,False,8,0,8,1,1.0,0.0,120.1171274450943,5,0.8085637225471527,1.6171274450943054,-818.8875706739807,50,90.4866726398468,2026-01-18T21:38:03.318976,Isaac Sim RRT,4,9
1,PER-DDQN-Full+MASAC,42,-11.46894599913195,False,8,0,8,1,1.0,0.0,197.7437015216598,5,0.1218507608299137,0.2437015216598274,186.27475552252784,11,7.581319093704224,2026-01-18T21:38:33.870791,Isaac Sim RRT,4,9
2,PER-DDQN-Full+MASAC,42,-929.8880946480607,False,8,0,8,1,1.0,0.0,100.77449670111389,5,0.38724835055694884,0.7744967011138977,-829.1135979469468,50,103.62852144241333,2026-01-18T21:40:17.539521,Isaac Sim RRT,4,9
3,PER-DDQN-Full+MASAC,42,130.01184260739257,True,9,0,9,0,1.0,0.0,183.55235237429648,5,0.026176187148240382,0.052352374296480764,313.564194981689,9,0.6570017337799072,2026-01-18T21:40:18.224420,Isaac Sim RRT,4,9
1,C51-DDQN+MASAC,42,80.90630997348995,False,8,0,8,1,1.0,0.0,200.87450732008048,5,0.9372536600402498,1.8745073200804996,281.78081729357046,8,1.1124682426452637,2026-01-18T21:41:09.246742,Isaac Sim RRT,4,9
2,C51-DDQN+MASAC,42,58.10015003058659,False,8,0,8,1,1.0,0.0,162.43381571775066,5,0.7169078588753388,1.4338157177506776,220.53396574833724,8,0.6453590393066406,2026-01-18T21:41:09.937093,Isaac Sim RRT,4,9
3,C51-DDQN+MASAC,42,119.05079420639302,True,9,0,9,0,1.0,0.0,163.4605027481295,5,0.48025137406476043,0.9605027481295209,282.51129695452255,9,0.5957326889038086,2026-01-18T21:41:10.565581,Isaac Sim RRT,4,9
1,SAC-Discrete+MASAC,42,31.065091568220197,False,8,0,8,1,1.0,0.0,202.856205309021,5,1.1781026545105031,2.3562053090210062,233.92129687724116,10,5.300841331481934,2026-01-18T21:42:19.058494,Isaac Sim RRT,4,9
2,SAC-Discrete+MASAC,42,156.46643316337259,True,9,0,9,0,1.0,0.0,160.61024546628582,5,0.5551227331429169,1.1102454662858339,317.0766786296584,9,0.6369462013244629,2026-01-18T21:42:19.711975,Isaac Sim RRT,4,9
3,SAC-Discrete+MASAC,42,140.69904193408019,True,9,0,9,0,1.0,0.0,200.86261090098571,5,0.931305450492864,1.862610900985728,341.56165283506596,9,1.012294054031372,2026-01-18T21:42:20.761639,Isaac Sim RRT,4,9
1,DDQN+MASAC,42,143.76049999172278,True,9,0,9,0,1.0,0.0,200.89457549935497,5,0.9472877496774843,1.8945754993549686,344.6550754910777,9,0.6983721256256104,2026-01-18T21:42:30.945823,Isaac Sim RRT,4,9
2,DDQN+MASAC,42,135.00796736435836,True,9,0,9,0,1.0,0.0,160.66756079985188,5,0.5837803999259441,1.1675607998518882,295.6755281642102,9,0.9900267124176025,2026-01-18T21:42:31.967596,Isaac Sim RRT,4,9
3,DDQN+MASAC,42,120.84548538601481,True,9,0,9,0,1.0,0.0,160.37539486481236,5,1.187697432406184,2.375394864812368,281.2208802508272,10,3.109907627105713,2026-01-18T21:42:35.120184,Isaac Sim RRT,4,9
