global_timestep,episode,step_in_episode,model,seed,reward,cumulative_reward,reshuffled,distance_reduced,time_saved,cubes_picked_so_far,done,truncated,timestamp,planner
1,1,1,Heuristic,42,,,True,0.0,0.0,1,False,False,2026-01-18T21:30:08.217549,Isaac Sim RRT
2,1,2,Heuristic,42,,,True,0.0,0.0,2,False,False,2026-01-18T21:30:08.254342,Isaac Sim RRT
3,1,3,Heuristic,42,,,True,0.0,0.0,3,False,False,2026-01-18T21:30:08.303947,Isaac Sim RRT
4,1,4,Heuristic,42,,,True,0.0,0.0,4,False,False,2026-01-18T21:30:08.356845,Isaac Sim RRT
5,1,5,Heuristic,42,,,True,0.0,0.0,5,False,False,2026-01-18T21:30:08.407877,Isaac Sim RRT
6,1,6,Heuristic,42,,,False,0.0,0.0,6,False,False,2026-01-18T21:30:08.433528,Isaac Sim RRT
7,1,7,Heuristic,42,,,False,0.0,0.0,7,False,False,2026-01-18T21:30:08.468965,Isaac Sim RRT
8,1,8,Heuristic,42,,,False,0.0,0.0,8,False,False,2026-01-18T21:30:08.522861,Isaac Sim RRT
9,1,9,Heuristic,42,,,False,0.0,0.0,9,True,False,2026-01-18T21:30:08.585084,Isaac Sim RRT
10,2,1,Heuristic,42,,,True,0.0,0.0,1,False,False,2026-01-18T21:30:08.670286,Isaac Sim RRT
11,2,2,Heuristic,42,,,True,0.0,0.0,2,False,False,2026-01-18T21:30:08.707385,Isaac Sim RRT
12,2,3,Heuristic,42,,,True,0.0,0.0,3,False,False,2026-01-18T21:30:08.750002,Isaac Sim RRT
13,2,4,Heuristic,42,,,True,0.0,0.0,4,False,False,2026-01-18T21:30:08.824685,Isaac Sim RRT
14,2,5,Heuristic,42,,,True,0.0,0.0,5,False,False,2026-01-18T21:30:08.893993,Isaac Sim RRT
15,2,6,Heuristic,42,,,False,0.0,0.0,6,False,False,2026-01-18T21:30:08.929928,Isaac Sim RRT
16,2,7,Heuristic,42,,,False,0.0,0.0,7,False,False,2026-01-18T21:30:08.981530,Isaac Sim RRT
17,2,8,Heuristic,42,,,False,0.0,0.0,8,False,False,2026-01-18T21:30:09.008716,Isaac Sim RRT
18,2,9,Heuristic,42,,,False,0.0,0.0,9,True,False,2026-01-18T21:30:09.076037,Isaac Sim RRT
19,3,1,Heuristic,42,,,True,0.0,0.0,1,False,False,2026-01-18T21:30:09.166034,Isaac Sim RRT
20,3,2,Heuristic,42,,,True,0.0,0.0,2,False,False,2026-01-18T21:30:09.207691,Isaac Sim RRT
21,3,3,Heuristic,42,,,True,0.0,0.0,3,False,False,2026-01-18T21:30:09.261839,Isaac Sim RRT
22,3,4,Heuristic,42,,,True,0.0,0.0,4,False,False,2026-01-18T21:30:09.326961,Isaac Sim RRT
23,3,5,Heuristic,42,,,True,0.0,0.0,5,False,False,2026-01-18T21:30:09.361276,Isaac Sim RRT
24,3,6,Heuristic,42,,,False,0.0,0.0,6,False,False,2026-01-18T21:30:09.388460,Isaac Sim RRT
25,3,7,Heuristic,42,,,False,0.0,0.0,7,False,False,2026-01-18T21:30:09.436079,Isaac Sim RRT
26,3,8,Heuristic,42,,,False,0.0,0.0,8,False,False,2026-01-18T21:30:09.470126,Isaac Sim RRT
27,3,9,Heuristic,42,,,False,0.0,0.0,9,True,False,2026-01-18T21:30:09.512974,Isaac Sim RRT
28,1,1,Duel-DDQN+MASAC,42,48.220494730283626,48.220494730283626,True,0.0,0.0,1,False,False,2026-01-18T21:30:59.456783,Isaac Sim RRT
29,1,2,Duel-DDQN+MASAC,42,3.540117845412528,51.76061257569616,False,0.0,0.0,2,False,False,2026-01-18T21:30:59.557828,Isaac Sim RRT
30,1,3,Duel-DDQN+MASAC,42,46.517212890805666,98.27782546650182,True,0.0,0.0,3,False,False,2026-01-18T21:30:59.699352,Isaac Sim RRT
31,1,4,Duel-DDQN+MASAC,42,49.42682581778443,147.70465128428626,True,0.0,0.0,4,False,False,2026-01-18T21:30:59.786090,Isaac Sim RRT
32,1,5,Duel-DDQN+MASAC,42,48.54226533925981,196.24691662354607,True,0.0,0.0,5,False,False,2026-01-18T21:30:59.864518,Isaac Sim RRT
33,1,6,Duel-DDQN+MASAC,42,48.32605134539243,244.57296796893849,True,0.0,0.0,6,False,False,2026-01-18T21:31:00.020157,Isaac Sim RRT
34,1,7,Duel-DDQN+MASAC,42,8.183859292711618,252.7568272616501,False,0.0,0.0,7,False,False,2026-01-18T21:31:00.289419,Isaac Sim RRT
35,1,8,Duel-DDQN+MASAC,42,20.112376932555406,272.8692041942055,False,0.0,0.0,8,False,False,2026-01-18T21:31:00.445052,Isaac Sim RRT
36,1,9,Duel-DDQN+MASAC,42,-25.0,247.8692041942055,False,0.0,0.0,8,False,False,2026-01-18T21:31:02.669144,Isaac Sim RRT
37,1,10,Duel-DDQN+MASAC,42,-25.0,222.8692041942055,False,0.0,0.0,8,False,False,2026-01-18T21:31:04.885702,Isaac Sim RRT
