episode,total_reward,episode_length,reshuffles_performed,total_distance_reduced,total_time_saved,cubes_picked,success,algorithm,scenario,planner,seed,run_id
45,317.235667504559,9,5,0.22594959728432107,0.45189919456864214,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
46,298.30255998003423,9,5,0.11323124836284837,0.22646249672569674,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
47,252.4443255974578,9,5,1.1017898252394307,2.2035796504788614,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
48,284.2049825244956,9,5,0.8835856301583705,1.767171260316741,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
49,287.22982158123386,9,5,0.4891322869640419,0.9782645739280837,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
50,327.68238386707486,9,5,1.6676739158433582,3.3353478316867164,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
51,292.2336689145298,9,5,0.9736593053215105,1.947318610643021,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
52,306.14217016751957,9,5,0.26240772674877366,0.5248154534975473,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
53,282.3551548153618,9,5,0.2772679939695739,0.5545359879391478,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
54,325.2949366322587,9,5,-0.1296991971996836,-0.2593983943993672,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
55,288.0992356159493,9,5,1.0847752673425135,2.169550534685027,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
56,246.61940281166085,9,5,1.097609220246261,2.195218440492522,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
57,255.32101433108474,9,5,0.7498606294256955,1.499721258851391,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
58,256.59393704434694,9,5,0.09076780326349698,0.18153560652699396,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
59,266.38018988356566,9,5,0.22548619133659353,0.45097238267318707,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
60,246.26808663840941,9,5,0.7022655762510281,1.4045311525020563,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
61,319.9568829523137,9,5,1.434710434762844,2.869420869525688,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
62,302.5684723278117,9,5,0.3956472597760772,0.7912945195521544,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
63,333.4578135575572,9,5,0.5884928732769774,1.1769857465539548,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
64,354.36095440497945,9,5,1.7887974008218803,3.5775948016437606,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
65,256.9187842479441,8,5,1.4934592812352814,2.9869185624705628,8,0.8888888888888888,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
66,236.0082414710937,8,5,1.0429781658448634,2.0859563316897267,8,0.8888888888888888,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
67,297.3546643208526,9,5,-0.04532867522750861,-0.09065735045501722,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
68,331.307472342132,9,5,-0.8162244819518337,-1.6324489639036674,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
69,341.5185133034984,9,5,1.4880684836999931,2.9761369673999862,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
70,218.6612409768726,9,5,0.6472108862870791,1.2944217725741582,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
71,264.39211509206194,9,5,0.23909092096771234,0.4781818419354247,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
72,285.889581056153,9,5,1.0681399343610585,2.136279868722117,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
73,246.8338784606963,9,5,0.7442666790956118,1.4885333581912237,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
74,275.4522683971476,9,5,0.06307423262084955,0.1261484652416991,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
75,268.0492928960423,9,5,1.0666585801244557,2.1333171602489114,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
76,310.2035973405791,9,5,-0.09894078205727885,-0.1978815641145577,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
77,285.5160032992708,9,5,1.0192227004171195,2.038445400834239,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
