episode,total_reward,episode_length,reshuffles_performed,total_distance_reduced,total_time_saved,cubes_picked,success,algorithm,scenario,planner,seed,run_id
41,340.0121462714653,9,5,0.20383939785380156,0.4076787957076031,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
42,342.2250593365122,9,5,0.7632754567203572,1.5265509134407145,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
43,-835.420258428768,50,5,0.44060829885517594,0.8812165977103519,6,0.6666666666666666,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
44,-884.9128695822172,50,5,0.7698929682460267,1.5397859364920534,7,0.7777777777777778,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
45,319.1730802868789,9,5,0.659549958037019,1.319099916074038,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
46,317.93140489103644,9,5,1.2284909608898213,2.4569819217796427,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
47,325.77244429091365,9,5,1.292576499959811,2.585152999919622,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
48,334.6853111804911,9,5,1.7022175871328318,3.4044351742656636,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
49,-1112.8172472335564,50,5,0.017512866101799696,0.03502573220359939,2,0.2222222222222222,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
50,334.5724939460146,9,5,0.816375565820699,1.632751131641398,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
51,291.2958185365878,9,5,0.45676451706390786,0.9135290341278157,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
52,345.9243406700225,9,5,0.6199205043849996,1.2398410087699991,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
53,271.9067794000945,9,5,0.7514426245056183,1.5028852490112365,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
54,-960.831725634825,50,5,0.6774330375694531,1.3548660751389061,3,0.3333333333333333,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
55,-1052.9127871824503,50,5,0.35982588043753155,0.7196517608750631,3,0.3333333333333333,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
56,301.04496421883937,9,5,0.4314649617854728,0.8629299235709456,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
57,340.83951337539054,9,5,0.6052349571647146,1.2104699143294293,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
58,330.9656443837256,9,5,0.8991814002447742,1.7983628004895484,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
59,293.31263721114885,9,5,0.554135346570978,1.108270693141956,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
60,341.5860225988179,9,5,0.46647826475519927,0.9329565295103985,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
61,344.8483616122793,9,5,0.8062948706684163,1.6125897413368326,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
62,-1083.9162006721078,50,5,0.3965043949096315,0.793008789819263,2,0.2222222222222222,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
63,350.6171766488698,9,5,1.2212485042307881,2.4424970084615762,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
64,290.62357535671714,9,5,0.5456215317981592,1.0912430635963184,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
65,301.8120218045677,9,5,0.12691876294905396,0.25383752589810793,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
