model,model_type,avg_reward,std_reward,success_rate,avg_length,avg_picks,avg_duration,avg_collisions,avg_rrt_failures,avg_pick_failures,avg_successful_picks,avg_unreachable_cubes,avg_path_efficiency,avg_action_entropy,avg_unique_actions,avg_action_diversity,episodes
Custom-DDQN,ddqn,158.55167354742176,28.42207426875796,0.9444444444444444,8.5,8.5,66.68078775405884,0.0,0.0,0.5,8.5,0.5,0.0,3.0826904918448568,8.5,1.0,10
DDPG,continuous,149.38217685710987,13.884584642265212,0.9666666666666666,8.7,8.7,68.61212155818939,0.0,0.0,0.3,8.7,0.3,0.0,3.1189474997544737,8.7,1.0,10
TD3,continuous,148.81824455086488,18.265010242788428,0.9777777777777779,8.8,8.8,47.15327758789063,0.0,0.0,0.2,8.8,0.2,0.0,3.13366799223427,8.8,1.0,10
PPO-Continuous,continuous,148.07022270406847,22.433628309160547,0.9555555555555555,8.6,8.6,59.844763255119325,0.0,0.0,0.4,8.6,0.4,0.0,3.0944362499852476,8.6,1.0,10
SAC-Continuous,continuous,164.85901681440902,19.399035664629885,0.9888888888888889,8.9,8.9,11.88134319782257,0.0,0.0,0.1,8.9,0.1,0.0,3.1529325000140824,8.9,1.0,10
