episode,model,reward,length,success,picks,start_time,seed,collisions,rrt_failures,pick_failures,successful_picks,unreachable_cubes,optimal_steps,total_cubes,duration,unattempted_picks,path_efficiency,unique_actions,action_diversity_ratio,action_entropy
1,Custom-DDQN,173.8621786156719,9,1,9,1767758381.1415465,1042,0,0,0,9,0,9,9,2.3847298622131348,0,1.0,9,1.0,3.169925000143887
2,Custom-DDQN,169.72846043587566,9,1,9,1767758383.5272741,1043,0,0,0,9,0,9,9,4.039222478866577,0,1.0,9,1.0,3.169925000143887
3,Custom-DDQN,198.47487996298827,9,1,9,1767758387.5674958,1044,0,0,0,9,0,9,9,3.1913726329803467,0,1.0,9,1.0,3.169925000143887
4,Custom-DDQN,123.79673142101097,8,0,8,1767758390.7598724,1045,0,0,1,8,1,9,9,57.067150831222534,1,0.8888888888888888,8,1.0,2.9999999988458437
5,Custom-DDQN,167.30882835290845,9,1,9,1767758447.828022,1046,0,0,0,9,0,9,9,3.720672845840454,0,1.0,9,1.0,3.169925000143887
6,Custom-DDQN,106.75236344007754,7,0,7,1767758451.5502028,1047,0,0,2,7,2,9,9,101.2855772972107,2,0.7777777777777778,7,1.0,2.8073549210477178
7,Custom-DDQN,195.8105912715773,9,1,9,1767758552.8367836,1048,0,0,0,9,0,9,9,2.7627995014190674,0,1.0,9,1.0,3.169925000143887
8,Custom-DDQN,168.4686291502615,9,1,9,1767758555.6005912,1049,0,0,0,9,0,9,9,1.9791743755340576,0,1.0,9,1.0,3.169925000143887
9,Custom-DDQN,144.54143435661567,8,0,8,1767758557.5807703,1050,0,0,1,8,1,9,9,63.17975687980652,1,0.8888888888888888,8,1.0,2.9999999988458437
10,Custom-DDQN,136.77262259896787,8,0,8,1767758620.7617018,1051,0,0,1,8,1,9,9,53.690157413482666,1,0.8888888888888888,8,1.0,2.9999999988458437
11,Custom-DDQN,137.6145590424765,8,0,8,1767758674.4533603,1052,0,0,1,8,1,9,9,52.05903100967407,1,0.8888888888888888,8,1.0,2.9999999988458437
12,Custom-DDQN,183.64567547510796,9,1,9,1767758726.5133922,1053,0,0,0,9,0,9,9,2.070340633392334,0,1.0,9,1.0,3.169925000143887
13,Custom-DDQN,154.986341651923,9,1,9,1767758728.584197,1054,0,0,0,9,0,9,9,2.408261299133301,0,1.0,9,1.0,3.169925000143887
14,Custom-DDQN,161.31090348969036,8,0,8,1767758730.993447,1055,0,0,1,8,1,9,9,59.20964074134827,1,0.8888888888888888,8,1.0,2.9999999988458437
15,Custom-DDQN,147.52918537543363,9,1,9,1767758790.2040882,1056,0,0,0,9,0,9,9,2.4787709712982178,0,1.0,9,1.0,3.169925000143887
16,Custom-DDQN,115.05195204940344,6,0,6,1767758792.6838539,1057,0,0,3,6,3,9,9,106.66256928443909,3,0.6666666666666666,6,1.0,2.584962499855539
