episode,model,reward,length,success,picks,start_time,seed,collisions,rrt_failures,pick_failures,successful_picks,unreachable_cubes,optimal_steps,total_cubes,duration,unattempted_picks,path_efficiency,unique_actions,action_diversity_ratio,action_entropy
1,Custom-DDQN,173.8621777954496,9,1,9,1767735433.7435007,1042,0,0,0,9,0,9,9,3.4257397651672363,0,1.0,9,1.0,3.169925000143887
2,Custom-DDQN,169.72845914017765,9,1,9,1767735437.1707366,1043,0,0,0,9,0,9,9,4.6530961990356445,0,1.0,9,1.0,3.169925000143887
3,Custom-DDQN,198.47487425032938,9,1,9,1767735441.8246744,1044,0,0,0,9,0,9,9,3.5504937171936035,0,1.0,9,1.0,3.169925000143887
4,Custom-DDQN,123.7967264928661,8,0,8,1767735445.3760827,1045,0,0,1,8,1,9,9,59.85772490501404,1,0.8888888888888888,8,1.0,2.9999999988458437
5,Custom-DDQN,167.30881644565426,9,1,9,1767735505.2342315,1046,0,0,0,9,0,9,9,4.466797828674316,0,1.0,9,1.0,3.169925000143887
1,DDPG,150.03767938714444,9,1,9,1767735509.7330744,2042,0,0,0,9,0,9,9,4.636183500289917,0,1.0,9,1.0,3.169925000143887
2,DDPG,155.0691344947923,9,1,9,1767735514.3702505,2043,0,0,0,9,0,9,9,3.2417492866516113,0,1.0,9,1.0,3.169925000143887
3,DDPG,136.14265218280673,8,0,8,1767735517.6130004,2044,0,0,1,8,1,9,9,69.95272541046143,1,0.8888888888888888,8,1.0,2.9999999988458437
4,DDPG,156.30272067761126,9,1,9,1767735587.5667315,2045,0,0,0,9,0,9,9,4.854503154754639,0,1.0,9,1.0,3.169925000143887
5,DDPG,145.8887954393884,9,1,9,1767735592.422736,2046,0,0,0,9,0,9,9,2.873692274093628,0,1.0,9,1.0,3.169925000143887
1,TD3,142.85498580249606,9,1,9,1767735595.329376,3042,0,0,0,9,0,9,9,3.0548532009124756,0,1.0,9,1.0,3.169925000143887
2,TD3,155.65602896596775,9,1,9,1767735598.3847327,3043,0,0,0,9,0,9,9,4.416269779205322,0,1.0,9,1.0,3.169925000143887
3,TD3,161.85889195493115,9,1,9,1767735602.8020036,3044,0,0,0,9,0,9,9,2.961595058441162,0,1.0,9,1.0,3.169925000143887
4,TD3,133.06203730708313,9,1,9,1767735605.7706857,3045,0,0,0,9,0,9,9,6.36647891998291,0,1.0,9,1.0,3.169925000143887
5,TD3,162.73937136895375,9,1,9,1767735612.1391625,3046,0,0,0,9,0,9,9,5.233374118804932,0,1.0,9,1.0,3.169925000143887
1,PPO-Continuous,165.94484602215675,9,1,9,1767735617.4080565,4042,0,0,0,9,0,9,9,2.953131675720215,0,1.0,9,1.0,3.169925000143887
2,PPO-Continuous,184.33894772132442,9,1,9,1767735620.3626869,4043,0,0,0,9,0,9,9,4.755534648895264,0,1.0,9,1.0,3.169925000143887
3,PPO-Continuous,105.03047545441116,7,0,7,1767735625.1192214,4044,0,0,2,7,2,9,9,130.03180480003357,2,0.7777777777777778,7,1.0,2.8073549210477178
4,PPO-Continuous,151.60503984064124,9,1,9,1767735755.152526,4045,0,0,0,9,0,9,9,4.102957487106323,0,1.0,9,1.0,3.169925000143887
5,PPO-Continuous,162.24739445883068,8,0,8,1767735759.257494,4046,0,0,1,8,1,9,9,74.77342319488525,1,0.8888888888888888,8,1.0,2.9999999988458437
1,SAC-Continuous,188.34891674006394,9,1,9,1767735834.0780187,5042,0,0,0,9,0,9,9,4.03948712348938,0,1.0,9,1.0,3.169925000143887
2,SAC-Continuous,154.58534504729428,9,1,9,1767735838.118472,5043,0,0,0,9,0,9,9,5.844746828079224,0,1.0,9,1.0,3.169925000143887
3,SAC-Continuous,199.62416738472027,9,1,9,1767735843.9642196,5044,0,0,0,9,0,9,9,2.225442886352539,0,1.0,9,1.0,3.169925000143887
4,SAC-Continuous,163.21289832029964,9,1,9,1767735846.1901557,5045,0,0,0,9,0,9,9,2.336226224899292,0,1.0,9,1.0,3.169925000143887
5,SAC-Continuous,179.6432597302874,9,1,9,1767735848.5277727,5046,0,0,0,9,0,9,9,3.4890635013580322,0,1.0,9,1.0,3.169925000143887
