episode,model,reward,length,success,picks,start_time,seed,collisions,rrt_failures,pick_failures,successful_picks,unreachable_cubes,optimal_steps,total_cubes,duration,total_rrt_path_length,avg_rrt_path_length,total_rrt_optimal_path_length,avg_rrt_optimal_path_length,avg_rrt_planning_time,rrt_success_rate,unattempted_picks,path_efficiency,unique_actions,action_diversity_ratio,action_entropy
7,TD3,159.77862050857087,9,1,9,1767792359.9150705,3048,0,0,0,9,0,9,9,9.877270460128784,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
8,TD3,154.2757262040886,9,1,9,1767792369.7953038,3049,0,0,0,9,0,9,9,14.420615196228027,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
9,TD3,102.44128366223593,7,0,7,1767792384.2189806,3050,0,0,2,7,2,9,9,360.6555154323578,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,7,1.0,2.8073549210477178
10,TD3,136.5149475764826,9,1,9,1767792744.877882,3051,0,0,0,9,0,9,9,8.647902011871338,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
1,PPO-Continuous,165.960718777025,9,1,9,1767792753.6351216,4042,0,0,0,9,0,9,9,9.127215385437012,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
2,PPO-Continuous,184.3578696090858,9,1,9,1767792762.762337,4043,0,0,0,9,0,9,9,14.250101566314697,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
3,PPO-Continuous,95.89824864619551,6,0,6,1767792777.0215502,4044,0,0,3,6,3,9,9,333.2751498222351,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,6,1.0,2.584962499855539
4,PPO-Continuous,151.62377863185853,9,1,9,1767793110.3023994,4045,0,0,0,9,0,9,9,9.292337894439697,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
5,PPO-Continuous,162.26218865753364,8,0,8,1767793119.5947373,4046,0,0,1,8,1,9,9,176.54894638061523,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
6,PPO-Continuous,144.4684933869042,9,1,9,1767793296.1475904,4047,0,0,0,9,0,9,9,15.93789029121399,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
7,PPO-Continuous,135.3384892347397,9,1,9,1767793312.0854807,4048,0,0,0,9,0,9,9,8.687409400939941,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
8,PPO-Continuous,150.58822988781344,9,1,9,1767793320.788699,4049,0,0,0,9,0,9,9,6.314110279083252,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
9,PPO-Continuous,156.52203928785525,9,1,9,1767793327.1057847,4050,0,0,0,9,0,9,9,13.255762815475464,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
10,PPO-Continuous,133.68217092167345,9,1,9,1767793340.3615475,4051,0,0,0,9,0,9,9,11.758708715438843,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
1,SAC-Continuous,188.36580087565636,9,1,9,1767793352.1538968,5042,0,0,0,9,0,9,9,2.9998152256011963,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
2,SAC-Continuous,154.59565615935563,9,1,9,1767793355.1552472,5043,0,0,0,9,0,9,9,5.704197883605957,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
3,SAC-Continuous,199.6366491801459,9,1,9,1767793360.8604455,5044,0,0,0,9,0,9,9,1.8016314506530762,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
4,SAC-Continuous,163.22327666354812,9,1,9,1767793362.6635766,5045,0,0,0,9,0,9,9,1.9072597026824951,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
5,SAC-Continuous,179.6584124090219,9,1,9,1767793364.5718365,5046,0,0,0,9,0,9,9,2.77272629737854,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
6,SAC-Continuous,155.05003787868395,9,1,9,1767793367.3460624,5047,0,0,0,9,0,9,9,2.613182306289673,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
7,SAC-Continuous,174.57345739061466,9,1,9,1767793369.9597456,5048,0,0,0,9,0,9,9,2.26589035987854,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
8,SAC-Continuous,132.37296457691292,8,0,8,1767793372.2266352,5049,0,0,1,8,1,9,9,69.64038610458374,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
9,SAC-Continuous,147.4657562581172,9,1,9,1767793441.8696733,5050,0,0,0,9,0,9,9,8.93942379951477,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
10,SAC-Continuous,153.64815675203351,9,1,9,1767793450.809097,5051,0,0,0,9,0,9,9,20.16891884803772,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
