model,model_type,avg_reward,std_reward,success_rate,avg_length,avg_picks,avg_duration,avg_collisions,avg_rrt_failures,avg_pick_failures,avg_successful_picks,avg_unreachable_cubes,avg_path_efficiency,avg_action_entropy,avg_unique_actions,avg_action_diversity,episodes
Custom-DDQN,ddqn,151.90516373098714,25.12446370026182,0.9236812570145905,8.313131313131313,8.313131313131313,35.14690046599417,0.0,0.0,0.6868686868686869,8.313131313131313,0.6868686868686869,0.9236812570145905,3.047417010327273,8.313131313131313,1.0,99
DDPG,continuous,145.4665914164781,19.70373200275692,0.9506172839506173,8.555555555555555,8.555555555555555,26.473890198601616,0.0,0.0,0.4444444444444444,8.555555555555555,0.4444444444444444,0.9506172839506173,3.092495829073094,8.555555555555555,1.0,99
TD3,continuous,144.19034143506335,21.92328201486287,0.9517396184062852,8.565656565656566,8.565656565656566,25.30888167294589,0.0,0.0,0.43434343434343436,8.565656565656566,0.43434343434343436,0.9517396184062852,3.0925347906781795,8.565656565656566,1.0,99
PPO-Continuous,continuous,144.51863757899653,19.967771118821354,0.947250280583614,8.525252525252526,8.525252525252526,27.436801939299613,0.0,0.0,0.47474747474747475,8.525252525252526,0.47474747474747475,0.947250280583614,3.0863576212267465,8.525252525252526,1.0,99
SAC-Continuous,continuous,148.95920902382176,19.692275677828185,0.947250280583614,8.525252525252526,8.525252525252526,60.69436592044252,0.0,0.0,0.47474747474747475,8.525252525252526,0.47474747474747475,0.947250280583614,3.086887595165071,8.525252525252526,1.0,99
