episode,model,reward,length,success,picks,start_time,seed,collisions,rrt_failures,pick_failures,successful_picks,unreachable_cubes,optimal_steps,total_cubes,duration,total_rrt_path_length,avg_rrt_path_length,total_rrt_optimal_path_length,avg_rrt_optimal_path_length,avg_rrt_planning_time,rrt_success_rate,unattempted_picks,path_efficiency,unique_actions,action_diversity_ratio,action_entropy
1,Custom-DDQN,173.8621804170353,9,1,9,1767798912.9139535,1042,0,0,0,9,0,9,9,4.1905224323272705,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
2,Custom-DDQN,169.72846087662583,9,1,9,1767798917.1118805,1043,0,0,0,9,0,9,9,5.867667198181152,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
3,Custom-DDQN,198.4748759612732,9,1,9,1767798922.9820447,1044,0,0,0,9,0,9,9,4.75429630279541,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
4,Custom-DDQN,123.79672705605932,8,0,8,1767798927.7393513,1045,0,0,1,8,1,9,9,91.77334117889404,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
5,Custom-DDQN,167.30881920526662,9,1,9,1767799019.5157094,1046,0,0,0,9,0,9,9,6.920469045639038,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
6,Custom-DDQN,106.75236488335956,7,0,7,1767799026.439192,1047,0,0,2,7,2,9,9,155.33648777008057,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,7,1.0,2.8073549210477178
7,Custom-DDQN,195.8105910344541,9,1,9,1767799181.7811887,1048,0,0,0,9,0,9,9,5.219950437545776,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
8,Custom-DDQN,168.46862812920574,9,1,9,1767799187.003034,1049,0,0,0,9,0,9,9,3.522718667984009,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
9,Custom-DDQN,144.5414352156808,8,0,8,1767799190.5282626,1050,0,0,1,8,1,9,9,93.02721548080444,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
10,Custom-DDQN,136.77262456440712,8,0,8,1767799283.5620513,1051,0,0,1,8,1,9,9,81.68371725082397,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
1,DDPG,150.02065476750323,9,1,9,1767799365.3517177,2042,0,0,0,9,0,9,9,7.183148145675659,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
2,DDPG,155.09362265352638,9,1,9,1767799372.537374,2043,0,0,0,9,0,9,9,5.646007299423218,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
3,DDPG,136.16343264170308,8,0,8,1767799378.1928942,2044,0,0,1,8,1,9,9,103.58859705924988,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
4,DDPG,156.3215708136509,9,1,9,1767799481.7874975,2045,0,0,0,9,0,9,9,8.908843994140625,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
5,DDPG,145.90394248613777,9,1,9,1767799490.6978517,2046,0,0,0,9,0,9,9,4.954796552658081,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
6,DDPG,143.56045248950815,9,1,9,1767799495.654155,2047,0,0,0,9,0,9,9,5.753376245498657,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
7,DDPG,176.095140989735,8,0,8,1767799501.4100413,2048,0,0,1,8,1,9,9,94.58298993110657,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
8,DDPG,120.51149190727268,8,0,8,1767799595.9940305,2049,0,0,1,8,1,9,9,84.81754040718079,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
9,DDPG,152.43227430714649,9,1,9,1767799680.8140712,2050,0,0,0,9,0,9,9,4.377877473831177,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
10,DDPG,157.71918178019075,9,1,9,1767799685.1954572,2051,0,0,0,9,0,9,9,4.659240484237671,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
1,TD3,142.88272267867524,9,1,9,1767799689.9409022,3042,0,0,0,9,0,9,9,4.645822286605835,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
