step,episode,loss,step_reward,epsilon,q_value,episode_reward,episode_length,avg_reward_100,success_rate
74,12,,27.735112,1.000000,-0.061714,37.528878,2,151.480578,1.000000
75,12,,28.407472,1.000000,-0.080845,65.936350,3,151.480578,1.000000
76,12,,0.512589,1.000000,-0.051890,66.448939,4,151.480578,1.000000
77,12,,26.186788,1.000000,0.158340,92.635728,5,151.480578,1.000000
78,12,,65.919848,1.000000,-0.142727,158.555575,6,151.480578,1.000000
79,13,,31.119552,1.000000,0.023369,31.119552,1,152.024809,1.000000
80,13,,26.892742,1.000000,-0.175198,58.012294,2,152.024809,1.000000
81,13,,28.913289,1.000000,0.250184,86.925583,3,152.024809,1.000000
82,13,,-8.587270,1.000000,0.194973,78.338313,4,152.024809,1.000000
83,13,,18.348410,1.000000,-0.038649,96.686724,5,152.024809,1.000000
84,13,,60.205130,1.000000,-0.092657,156.891853,6,152.024809,1.000000
85,14,,7.593192,1.000000,0.130750,7.593192,1,152.372455,1.000000
86,14,,8.851051,1.000000,0.181544,16.444243,2,152.372455,1.000000
87,14,,1.144967,1.000000,-0.001340,17.589210,3,152.372455,1.000000
88,14,,25.770563,1.000000,0.198222,43.359773,4,152.372455,1.000000
89,14,,11.074918,1.000000,-0.170775,54.434691,5,152.372455,1.000000
90,14,,54.700351,1.000000,-0.164910,109.135042,6,152.372455,1.000000
91,15,,22.237973,1.000000,-0.187692,22.237973,1,149.489961,1.000000
92,15,,20.193343,1.000000,0.028637,42.431316,2,149.489961,1.000000
93,15,,17.679234,1.000000,-0.110793,60.110549,3,149.489961,1.000000
94,15,,7.627869,1.000000,0.215666,67.738419,4,149.489961,1.000000
95,15,,24.082149,1.000000,-0.046399,91.820568,5,149.489961,1.000000
96,15,,73.256271,1.000000,0.208909,165.076839,6,149.489961,1.000000
97,16,,31.313355,1.000000,-0.032301,31.313355,1,150.464140,1.000000
98,16,,31.048679,1.000000,-0.152472,62.362035,2,150.464140,1.000000
99,16,,21.361492,1.000000,0.217706,83.723526,3,150.464140,1.000000
100,16,,16.831593,1.000000,0.183522,100.555119,4,150.464140,1.000000
101,16,,12.284901,1.000000,-0.033968,112.840021,5,150.464140,1.000000
102,16,,67.758423,1.000000,-0.008147,180.598444,6,150.464140,1.000000
103,17,,30.413881,1.000000,-0.168114,30.413881,1,152.236747,1.000000
104,17,,10.649206,1.000000,0.182356,41.063087,2,152.236747,1.000000
105,17,,21.596285,1.000000,-0.083548,62.659372,3,152.236747,1.000000
106,17,,19.347664,1.000000,-0.063555,82.007036,4,152.236747,1.000000
107,17,,1.730741,1.000000,0.146024,83.737777,5,152.236747,1.000000
108,17,,53.902340,1.000000,-0.097739,137.640117,6,152.236747,1.000000
109,18,,27.050029,1.000000,0.169633,27.050029,1,151.425823,1.000000
110,18,,9.424791,1.000000,0.062960,36.474821,2,151.425823,1.000000
111,18,,7.312414,1.000000,-0.135058,43.787235,3,151.425823,1.000000
112,18,,23.135602,1.000000,-0.047089,66.922837,4,151.425823,1.000000
113,18,,27.819157,1.000000,-0.050183,94.741994,5,151.425823,1.000000
114,18,,60.375903,1.000000,0.139284,155.117896,6,151.425823,1.000000
115,19,,31.059909,1.000000,0.152795,31.059909,1,151.620142,1.000000
116,19,,19.270547,1.000000,0.014177,50.330456,2,151.620142,1.000000
117,19,,27.647007,1.000000,-0.109899,77.977463,3,151.620142,1.000000
118,19,,10.649603,1.000000,0.187425,88.627066,4,151.620142,1.000000
119,19,,10.333942,1.000000,0.002884,98.961008,5,151.620142,1.000000
120,19,,51.119110,1.000000,-0.090777,150.080118,6,151.620142,1.000000
121,20,,25.766522,1.000000,0.025194,25.766522,1,151.543141,1.000000
122,20,,23.495364,1.000000,-0.084264,49.261886,2,151.543141,1.000000
123,20,,17.652457,1.000000,-0.148412,66.914343,3,151.543141,1.000000
124,20,,25.017428,1.000000,-0.067954,91.931771,4,151.543141,1.000000
125,20,,22.565716,1.000000,0.194946,114.497487,5,151.543141,1.000000
126,20,,53.302670,1.000000,0.172061,167.800157,6,151.543141,1.000000
127,21,,11.553103,1.000000,-0.032988,11.553103,1,152.317285,1.000000
128,21,,3.418211,1.000000,0.207012,14.971314,2,152.317285,1.000000
129,21,,11.210700,1.000000,0.205028,26.182014,3,152.317285,1.000000
130,21,,26.205314,1.000000,-0.014653,52.387328,4,152.317285,1.000000
131,21,,27.356700,1.000000,-0.139226,79.744028,5,152.317285,1.000000
132,21,,58.766850,1.000000,-0.175441,138.510878,6,152.317285,1.000000
133,22,,9.749533,1.000000,0.176611,9.749533,1,151.689721,1.000000
134,22,,19.808215,1.000000,0.160681,29.557748,2,151.689721,1.000000
135,22,,7.313859,1.000000,-0.086798,36.871607,3,151.689721,1.000000
136,22,,23.847273,1.000000,-0.026702,60.718881,4,151.689721,1.000000
137,22,,19.364174,1.000000,-0.077928,80.083055,5,151.689721,1.000000
138,22,,63.954399,1.000000,-0.160401,144.037453,6,151.689721,1.000000
139,23,,10.449101,1.000000,0.230098,10.449101,1,151.357014,1.000000
140,23,,21.965139,1.000000,0.044415,32.414240,2,151.357014,1.000000
141,23,,27.354427,1.000000,0.155883,59.768667,3,151.357014,1.000000
142,23,,28.697221,1.000000,-0.034535,88.465888,4,151.357014,1.000000
143,23,,0.194749,1.000000,-0.131093,88.660636,5,151.357014,1.000000
144,23,,56.352404,1.000000,-0.193704,145.013040,6,151.357014,1.000000
145,24,,26.230572,1.000000,0.181457,26.230572,1,151.092681,1.000000
146,24,,27.419909,1.000000,-0.170066,53.650481,2,151.092681,1.000000
147,24,,16.876909,1.000000,0.029088,70.527390,3,151.092681,1.000000
148,24,,22.297426,1.000000,-0.073406,92.824816,4,151.092681,1.000000
149,24,,11.549662,1.000000,-0.080638,104.374478,5,151.092681,1.000000
150,24,,39.149364,1.000000,0.155319,143.523842,6,151.092681,1.000000
151,25,,33.929848,1.000000,0.079421,33.929848,1,150.789928,1.000000
152,25,,22.519492,1.000000,0.212491,56.449339,2,150.789928,1.000000
153,25,,14.729207,1.000000,0.018124,71.178547,3,150.789928,1.000000
154,25,,10.853303,1.000000,-0.196306,82.031850,4,150.789928,1.000000
155,25,,1.421251,1.000000,-0.160196,83.453101,5,150.789928,1.000000
156,25,,56.961651,1.000000,0.188294,140.414751,6,150.789928,1.000000
157,26,,24.593411,1.000000,-0.045145,24.593411,1,150.390882,1.000000
158,26,,28.947599,1.000000,0.169904,53.541010,2,150.390882,1.000000
159,26,,27.277246,1.000000,0.103144,80.818256,3,150.390882,1.000000
160,26,,28.005229,1.000000,-0.109053,108.823485,4,150.390882,1.000000
161,26,,10.573940,1.000000,-0.058078,119.397425,5,150.390882,1.000000
162,26,,50.091597,1.000000,-0.015716,169.489021,6,150.390882,1.000000
163,27,,12.109262,1.000000,-0.011202,12.109262,1,151.098221,1.000000
164,27,,10.936722,1.000000,-0.182288,23.045984,2,151.098221,1.000000
165,27,,16.084766,1.000000,-0.033100,39.130750,3,151.098221,1.000000
166,27,,23.696662,1.000000,0.013490,62.827412,4,151.098221,1.000000
167,27,,28.992197,1.000000,0.226158,91.819610,5,151.098221,1.000000
168,27,,69.763059,1.000000,0.171650,161.582668,6,151.098221,1.000000
169,28,,20.325842,1.000000,-0.049030,20.325842,1,151.472665,1.000000
170,28,,25.177396,1.000000,-0.121757,45.503237,2,151.472665,1.000000
171,28,,12.404285,1.000000,0.168421,57.907522,3,151.472665,1.000000
172,28,,22.301192,1.000000,-0.074712,80.208714,4,151.472665,1.000000
173,28,,6.629526,1.000000,-0.066800,86.838240,5,151.472665,1.000000
174,28,,61.249505,1.000000,0.134043,148.087745,6,151.472665,1.000000
175,29,,10.195352,1.000000,-0.065770,10.195352,1,151.355944,1.000000
176,29,,21.043706,1.000000,0.252368,31.239059,2,151.355944,1.000000
177,29,,17.736835,1.000000,-0.038244,48.975893,3,151.355944,1.000000
178,29,,10.884749,1.000000,-0.168151,59.860642,4,151.355944,1.000000
179,29,,8.158601,1.000000,-0.010098,68.019243,5,151.355944,1.000000
180,29,,59.544649,1.000000,0.160502,127.563892,6,151.355944,1.000000
181,30,,28.901970,1.000000,-0.047360,28.901970,1,150.562876,1.000000
182,30,,0.291229,1.000000,-0.045033,29.193198,2,150.562876,1.000000
183,30,,20.574785,1.000000,0.175175,49.767983,3,150.562876,1.000000
184,30,,27.090459,1.000000,0.040050,76.858442,4,150.562876,1.000000
185,30,,19.929231,1.000000,-0.094345,96.787673,5,150.562876,1.000000
186,30,,73.274174,1.000000,0.157472,170.061847,6,150.562876,1.000000
187,31,,19.962726,1.000000,0.149767,19.962726,1,151.191875,1.000000
188,31,,20.351138,1.000000,-0.004673,40.313863,2,151.191875,1.000000
189,31,,4.496223,1.000000,0.133827,44.810087,3,151.191875,1.000000
190,31,,4.641519,1.000000,-0.158553,49.451605,4,151.191875,1.000000
191,31,,12.699756,1.000000,-0.192267,62.151361,5,151.191875,1.000000
192,31,,57.854208,1.000000,-0.066332,120.005569,6,151.191875,1.000000
193,32,,22.904015,1.000000,0.031760,22.904015,1,150.217303,1.000000
194,32,,25.553542,1.000000,-0.155174,48.457557,2,150.217303,1.000000
195,32,,17.724141,1.000000,-0.081097,66.181698,3,150.217303,1.000000
196,32,,-0.069817,1.000000,0.187127,66.111881,4,150.217303,1.000000
197,32,,17.659708,1.000000,0.198725,83.771588,5,150.217303,1.000000
198,32,,63.023517,1.000000,-0.059853,146.795106,6,150.217303,1.000000
199,33,,1.915125,1.000000,0.159321,1.915125,1,150.113600,1.000000
200,33,,11.864662,1.000000,0.001061,13.779787,2,150.113600,1.000000
201,33,,28.027907,1.000000,-0.151547,41.807694,3,150.113600,1.000000
202,33,,17.578961,1.000000,0.142625,59.386654,4,150.113600,1.000000
203,33,,19.749577,1.000000,-0.062939,79.136232,5,150.113600,1.000000
204,33,,61.802926,1.000000,-0.107290,140.939158,6,150.113600,1.000000
205,34,,31.015970,1.000000,-0.100800,31.015970,1,149.843763,1.000000
206,34,,25.262767,1.000000,-0.127883,56.278737,2,149.843763,1.000000
207,34,,27.640311,1.000000,-0.092095,83.919048,3,149.843763,1.000000
208,34,,29.588582,1.000000,0.126139,113.507629,4,149.843763,1.000000
209,34,,14.520881,1.000000,-0.095798,128.028510,5,149.843763,1.000000
210,34,,54.706399,1.000000,0.172670,182.734909,6,149.843763,1.000000
211,35,,21.864725,1.000000,-0.041104,21.864725,1,150.783510,1.000000
212,35,,10.127142,1.000000,0.012666,31.991866,2,150.783510,1.000000
213,35,,11.305245,1.000000,0.182705,43.297112,3,150.783510,1.000000
214,35,,15.688937,1.000000,0.129905,58.986049,4,150.783510,1.000000
215,35,,21.500840,1.000000,-0.129075,80.486889,5,150.783510,1.000000
216,35,,73.815996,1.000000,-0.041355,154.302885,6,150.783510,1.000000
217,36,,24.675763,1.000000,0.168916,24.675763,1,150.881271,1.000000
218,36,,11.697698,1.000000,0.026694,36.373461,2,150.881271,1.000000
219,36,,10.719247,1.000000,-0.177261,47.092708,3,150.881271,1.000000
220,36,,18.920426,1.000000,-0.019907,66.013134,4,150.881271,1.000000
221,36,,21.964259,1.000000,0.155812,87.977393,5,150.881271,1.000000
222,36,,71.697959,1.000000,-0.118584,159.675352,6,150.881271,1.000000
223,37,,12.604907,1.000000,0.008395,12.604907,1,151.118949,1.000000
224,37,,27.063328,1.000000,0.192263,39.668235,2,151.118949,1.000000
225,37,,17.227541,1.000000,-0.115853,56.895776,3,151.118949,1.000000
226,37,,17.603211,1.000000,-0.059664,74.498988,4,151.118949,1.000000
227,37,,23.807250,1.000000,-0.134097,98.306238,5,151.118949,1.000000
228,37,,55.995759,1.000000,0.110558,154.301997,6,151.118949,1.000000
229,38,,25.135365,1.000000,0.032211,25.135365,1,151.202713,1.000000
230,38,,31.048103,1.000000,-0.088460,56.183469,2,151.202713,1.000000
231,38,,-0.892269,1.000000,0.235730,55.291199,3,151.202713,1.000000
232,38,,17.587881,1.000000,-0.054724,72.879080,4,151.202713,1.000000
233,38,,28.224256,1.000000,-0.146405,101.103336,5,151.202713,1.000000
234,38,,59.098998,1.000000,0.159232,160.202334,6,151.202713,1.000000
235,39,,28.038004,1.000000,0.020419,28.038004,1,151.433473,1.000000
236,39,,14.975313,1.000000,0.198840,43.013317,2,151.433473,1.000000
237,39,,9.069153,1.000000,0.155694,52.082470,3,151.433473,1.000000
238,39,,17.564583,1.000000,-0.027525,69.647052,4,151.433473,1.000000
239,39,,10.227007,1.000000,-0.216208,79.874059,5,151.433473,1.000000
240,39,,30.855343,1.000000,-0.139151,110.729402,6,151.433473,1.000000
241,40,,19.849393,1.000000,0.226554,19.849393,1,150.415871,1.000000
242,40,,8.218813,1.000000,-0.098512,28.068206,2,150.415871,1.000000
