step,episode,loss,step_reward,epsilon,q_value,episode_reward,episode_length,avg_reward_100,success_rate
74,12,,10.721239,1.000000,-0.054205,34.916741,2,125.523763,1.000000
75,12,,17.175610,1.000000,0.214430,52.092351,3,125.523763,1.000000
76,12,,10.413841,1.000000,0.128555,62.506192,4,125.523763,1.000000
77,12,,3.435637,1.000000,-0.097535,65.941829,5,125.523763,1.000000
78,12,,56.458216,1.000000,-0.056469,122.400045,6,125.523763,1.000000
79,13,,18.341608,1.000000,-0.059116,18.341608,1,125.283477,1.000000
80,13,,25.200570,1.000000,0.198669,43.542178,2,125.283477,1.000000
81,13,,11.433330,1.000000,-0.010882,54.975508,3,125.283477,1.000000
82,13,,24.075497,1.000000,-0.124126,79.051005,4,125.283477,1.000000
83,13,,20.618514,1.000000,-0.005138,99.669520,5,125.283477,1.000000
84,13,,53.911785,1.000000,0.138245,153.581305,6,125.283477,1.000000
85,14,,17.640747,1.000000,0.139832,17.640747,1,127.304750,1.000000
86,14,,6.541569,1.000000,0.036036,24.182316,2,127.304750,1.000000
87,14,,16.215744,1.000000,0.122351,40.398060,3,127.304750,1.000000
88,14,,23.254234,1.000000,-0.059334,63.652293,4,127.304750,1.000000
89,14,,12.766964,1.000000,-0.090357,76.419257,5,127.304750,1.000000
90,14,,48.981346,1.000000,-0.048206,125.400603,6,127.304750,1.000000
91,15,,16.465074,1.000000,0.147869,16.465074,1,127.177807,1.000000
92,15,,11.274715,1.000000,0.023640,27.739790,2,127.177807,1.000000
93,15,,12.306674,1.000000,0.185007,40.046464,3,127.177807,1.000000
94,15,,1.209839,1.000000,-0.117361,41.256303,4,127.177807,1.000000
95,15,,10.410763,1.000000,-0.021144,51.667065,5,127.177807,1.000000
96,15,,53.249581,1.000000,-0.093157,104.916646,6,127.177807,1.000000
97,16,,27.634583,1.000000,-0.027954,27.634583,1,125.786484,1.000000
98,16,,11.449309,1.000000,0.082443,39.083893,2,125.786484,1.000000
99,16,,17.145970,1.000000,0.172810,56.229863,3,125.786484,1.000000
100,16,,1.421357,1.000000,-0.115343,57.651220,4,125.786484,1.000000
101,16,,10.468368,1.000000,-0.004609,68.119588,5,125.786484,1.000000
102,16,,55.978964,1.000000,0.158989,124.098552,6,125.786484,1.000000
103,17,,23.366093,1.000000,-0.141542,23.366093,1,125.687194,1.000000
104,17,,12.867069,1.000000,-0.069461,36.233162,2,125.687194,1.000000
105,17,,16.695375,1.000000,0.186187,52.928537,3,125.687194,1.000000
106,17,,1.452968,1.000000,0.127120,54.381505,4,125.687194,1.000000
107,17,,9.946876,1.000000,-0.067433,64.328381,5,125.687194,1.000000
108,17,,58.612165,1.000000,-0.035803,122.940546,6,125.687194,1.000000
109,18,,10.076786,1.000000,0.155783,10.076786,1,125.534603,1.000000
110,18,,20.290882,1.000000,0.154265,30.367668,2,125.534603,1.000000
111,18,,15.292559,1.000000,-0.008705,45.660227,3,125.534603,1.000000
112,18,,11.899021,1.000000,0.026681,57.559248,4,125.534603,1.000000
113,18,,21.766574,1.000000,-0.065725,79.325823,5,125.534603,1.000000
114,18,,66.056390,1.000000,-0.137549,145.382212,6,125.534603,1.000000
115,19,,25.974855,1.000000,0.132607,25.974855,1,126.579214,1.000000
