step,episode,loss,step_reward,epsilon,q_value,episode_reward,episode_length,avg_reward_100,success_rate
1,0,,14.984305,1.000000,-0.097774,14.984305,1,0.000000,0.000000
2,0,,27.597363,1.000000,0.078509,42.581668,2,0.000000,0.000000
3,0,,4.800116,1.000000,-0.000990,47.381784,3,0.000000,0.000000
4,0,,64.084817,1.000000,0.044213,111.466601,4,0.000000,0.000000
5,1,,35.105130,1.000000,0.015361,35.105130,1,111.466601,1.000000
6,1,,21.819101,1.000000,0.000406,56.924231,2,111.466601,1.000000
7,1,,18.111915,1.000000,-0.139090,75.036146,3,111.466601,1.000000
8,1,,56.400577,1.000000,0.016373,131.436723,4,111.466601,1.000000
9,2,,35.912717,1.000000,0.035356,35.912717,1,121.451662,1.000000
10,2,,13.943459,1.000000,-0.029659,49.856176,2,121.451662,1.000000
11,2,,21.534470,1.000000,0.008491,71.390647,3,121.451662,1.000000
12,2,,71.706595,1.000000,0.031837,143.097242,4,121.451662,1.000000
13,3,,36.332421,1.000000,0.026141,36.332421,1,128.666855,1.000000
14,3,,21.136451,1.000000,-0.041256,57.468871,2,128.666855,1.000000
15,3,,30.869533,1.000000,0.009595,88.338404,3,128.666855,1.000000
16,3,,59.222560,1.000000,0.020847,147.560964,4,128.666855,1.000000
17,4,,32.202839,1.000000,-0.010712,32.202839,1,133.390382,1.000000
18,4,,24.855552,1.000000,-0.086512,57.058390,2,133.390382,1.000000
19,4,,13.615671,1.000000,0.031650,70.674061,3,133.390382,1.000000
20,4,,51.224103,1.000000,0.047663,121.898164,4,133.390382,1.000000
21,5,,35.838471,1.000000,0.002874,35.838471,1,131.091939,1.000000
22,5,,11.622895,1.000000,0.018651,47.461366,2,131.091939,1.000000
23,5,,28.080642,1.000000,-0.151686,75.542007,3,131.091939,1.000000
24,5,,63.393485,1.000000,0.003170,138.935493,4,131.091939,1.000000
25,6,,14.716667,1.000000,0.035549,14.716667,1,132.399198,1.000000
26,6,,27.497377,1.000000,-0.016926,42.214044,2,132.399198,1.000000
27,6,,18.663415,1.000000,0.024374,60.877460,3,132.399198,1.000000
28,6,,62.724776,1.000000,-0.124552,123.602236,4,132.399198,1.000000
29,7,,36.384528,1.000000,0.001512,36.384528,1,131.142489,1.000000
30,7,,19.651232,1.000000,-0.061122,56.035761,2,131.142489,1.000000
31,7,,20.709311,1.000000,0.029578,76.745072,3,131.142489,1.000000
32,7,,55.737428,1.000000,0.022191,132.482500,4,131.142489,1.000000
33,8,,21.737287,1.000000,-0.001050,21.737287,1,131.309990,1.000000
34,8,,31.448949,1.000000,-0.117952,53.186236,2,131.309990,1.000000
35,8,,14.455664,1.000000,-0.005595,67.641900,3,131.309990,1.000000
36,8,,43.178899,1.000000,-0.006469,110.820800,4,131.309990,1.000000
37,9,,33.235703,1.000000,0.026952,33.235703,1,129.033414,1.000000
38,9,,21.345127,1.000000,-0.009502,54.580830,2,129.033414,1.000000
39,9,,27.873943,1.000000,-0.003088,82.454773,3,129.033414,1.000000
40,9,,65.832625,1.000000,-0.157942,148.287398,4,129.033414,1.000000
41,10,,32.826007,1.000000,0.008042,32.826007,1,130.958812,1.000000
42,10,,25.537487,1.000000,-0.105594,58.363495,2,130.958812,1.000000
43,10,,11.432634,1.000000,-0.000733,69.796128,3,130.958812,1.000000
44,10,,73.709703,1.000000,0.028094,143.505831,4,130.958812,1.000000
45,11,,33.893406,1.000000,0.007849,33.893406,1,132.099450,1.000000
46,11,,21.000823,1.000000,0.012035,54.894229,2,132.099450,1.000000
47,11,,-8.315009,1.000000,0.009369,46.579220,3,132.099450,1.000000
48,11,,63.813110,1.000000,-0.124343,110.392330,4,132.099450,1.000000
49,12,,13.125859,1.000000,0.017879,13.125859,1,130.290523,1.000000
50,12,,-8.651666,1.000000,-0.035199,4.474193,2,130.290523,1.000000
51,12,,-8.370227,1.000000,0.032595,-3.896034,3,130.290523,1.000000
52,12,,40.915923,1.000000,-0.087750,37.019888,4,130.290523,1.000000
53,13,,34.085803,1.000000,0.023464,34.085803,1,123.115859,1.000000
54,13,,28.955300,1.000000,-0.014377,63.041103,2,123.115859,1.000000
55,13,,16.846531,1.000000,0.015288,79.887635,3,123.115859,1.000000
56,13,,71.346631,1.000000,-0.139828,151.234265,4,123.115859,1.000000
57,14,,21.061039,1.000000,-0.075322,21.061039,1,125.124317,1.000000
58,14,,19.113394,1.000000,0.046264,40.174433,2,125.124317,1.000000
59,14,,13.094348,1.000000,0.023039,53.268782,3,125.124317,1.000000
60,14,,70.859960,1.000000,-0.017136,124.128742,4,125.124317,1.000000
61,15,,32.728075,1.000000,-0.078946,32.728075,1,125.057945,1.000000
62,15,,27.325077,1.000000,0.052155,60.053151,2,125.057945,1.000000
63,15,,16.784394,1.000000,0.015335,76.837546,3,125.057945,1.000000
64,15,,59.861690,1.000000,0.045583,136.699236,4,125.057945,1.000000
65,16,,21.469611,1.000000,0.009779,21.469611,1,125.785526,1.000000
66,16,,28.475667,1.000000,-0.097741,49.945277,2,125.785526,1.000000
67,16,,21.014310,1.000000,-0.003158,70.959587,3,125.785526,1.000000
68,16,,59.825809,1.000000,0.002175,130.785396,4,125.785526,1.000000
69,17,,28.874884,1.000000,-0.007408,28.874884,1,126.079636,1.000000
