step,episode,loss,step_reward,epsilon,q_value,episode_reward,episode_length,avg_reward_100,success_rate
1,0,,20.467879,1.000000,-0.132338,20.467879,1,0.000000,0.000000
2,0,,25.242346,1.000000,-0.126641,45.710225,2,0.000000,0.000000
3,0,,8.810086,1.000000,-0.061868,54.520310,3,0.000000,0.000000
4,0,,11.446693,1.000000,-0.019874,65.967004,4,0.000000,0.000000
5,0,,1.330793,1.000000,0.187640,67.297797,5,0.000000,0.000000
6,0,,10.632860,1.000000,-0.018523,77.930657,6,0.000000,0.000000
7,0,,17.036938,1.000000,0.081823,94.967595,7,0.000000,0.000000
8,0,,16.812968,1.000000,0.030291,111.780563,8,0.000000,0.000000
9,0,,50.939347,1.000000,-0.092022,162.719910,9,0.000000,0.000000
10,1,,25.168416,1.000000,0.010785,25.168416,1,162.719910,1.000000
11,1,,0.090629,1.000000,0.120956,25.259045,2,162.719910,1.000000
12,1,,15.883878,1.000000,-0.075050,41.142923,3,162.719910,1.000000
13,1,,5.395168,1.000000,0.068839,46.538091,4,162.719910,1.000000
14,1,,6.889078,1.000000,-0.060902,53.427168,5,162.719910,1.000000
15,1,,8.041270,1.000000,-0.057260,61.468438,6,162.719910,1.000000
16,1,,10.419194,1.000000,-0.043309,71.887632,7,162.719910,1.000000
17,1,,11.473648,1.000000,-0.147343,83.361280,8,162.719910,1.000000
18,1,,53.262224,1.000000,0.064396,136.623504,9,162.719910,1.000000
19,2,,22.954908,1.000000,0.052382,22.954908,1,149.671707,1.000000
20,2,,25.162018,1.000000,0.015694,48.116925,2,149.671707,1.000000
21,2,,4.049688,1.000000,0.120411,52.166613,3,149.671707,1.000000
22,2,,9.105750,1.000000,-0.032230,61.272364,4,149.671707,1.000000
23,2,,17.559874,1.000000,0.008671,78.832238,5,149.671707,1.000000
24,2,,0.545493,1.000000,-0.029262,79.377731,6,149.671707,1.000000
25,2,,8.449386,1.000000,-0.044294,87.827116,7,149.671707,1.000000
26,2,,8.935564,1.000000,0.076929,96.762680,8,149.671707,1.000000
