episode,total_reward,length,success,avg_reward_100,success_rate_100
0,162.719910,9,1,162.719910,1.000000
1,136.623504,9,1,149.671707,1.000000
2,147.709444,9,1,149.017619,1.000000
3,167.286487,9,1,153.584836,1.000000
4,167.903392,9,1,156.448547,1.000000
5,168.520016,9,1,158.460459,1.000000
6,166.744779,9,1,159.643933,1.000000
7,164.011915,9,1,160.189931,1.000000
8,142.647163,9,1,158.240734,1.000000
9,153.764180,9,1,157.793079,1.000000
10,150.653603,9,1,157.144036,1.000000
11,165.597676,9,1,157.848506,1.000000
12,143.550668,9,1,156.748672,1.000000
13,164.017808,9,1,157.267896,1.000000
14,152.943542,9,1,156.979606,1.000000
15,151.524578,9,1,156.638666,1.000000
16,138.011123,9,1,155.542929,1.000000
17,169.742543,9,1,156.331796,1.000000
18,178.676180,9,1,157.507816,1.000000
19,181.859026,9,1,158.725377,1.000000
20,144.235665,9,1,158.035390,1.000000
21,158.532341,9,1,158.057979,1.000000
22,177.705002,9,1,158.912198,1.000000
23,155.637989,9,1,158.775772,1.000000
24,155.622447,9,1,158.649639,1.000000
25,171.872253,9,1,159.158201,1.000000
26,153.275471,9,1,158.940322,1.000000
27,128.892863,9,1,157.867199,1.000000
28,172.435521,9,1,158.369555,1.000000
29,150.512491,9,1,158.107653,1.000000
30,154.273634,9,1,157.983975,1.000000
31,162.086149,9,1,158.112168,1.000000
32,138.737686,9,1,157.525062,1.000000
33,140.054924,9,1,157.011234,1.000000
34,152.312085,9,1,156.876973,1.000000
35,130.493185,9,1,156.144090,1.000000
36,125.170129,9,1,155.306956,1.000000
37,134.890606,9,1,154.769684,1.000000
38,103.783233,9,1,153.462339,1.000000
39,158.801964,9,1,153.595829,1.000000
40,140.570888,9,1,153.278148,1.000000
41,144.367839,9,1,153.065998,1.000000
42,143.662172,9,1,152.847304,1.000000
43,135.630271,9,1,152.456008,1.000000
44,153.890662,9,1,152.487889,1.000000
45,143.247358,9,1,152.287008,1.000000
46,132.338589,9,1,151.862573,1.000000
47,169.671550,9,1,152.233594,1.000000
48,154.543994,9,1,152.280745,1.000000
49,153.532489,9,1,152.305780,1.000000
50,148.130492,9,1,152.223911,1.000000
51,154.271452,9,1,152.263287,1.000000
52,152.247853,9,1,152.262996,1.000000
53,144.902675,9,1,152.126694,1.000000
54,157.655991,9,1,152.227226,1.000000
55,153.755615,9,1,152.254519,1.000000
56,157.594869,9,1,152.348209,1.000000
57,151.304514,9,1,152.330215,1.000000
58,153.257058,9,1,152.345924,1.000000
59,148.425107,9,1,152.280577,1.000000
60,166.838648,9,1,152.519234,1.000000
61,173.586871,9,1,152.859034,1.000000
62,171.800349,9,1,153.159690,1.000000
