episode,total_reward,length,success,avg_reward_100,success_rate_100
0,85.412770,4,1,85.412770,1.000000
1,90.412770,4,1,87.912770,1.000000
2,95.180491,4,1,90.335344,1.000000
3,90.412770,4,1,90.354700,1.000000
4,93.804818,4,1,91.044724,1.000000
5,99.867544,4,1,92.515194,1.000000
6,85.412770,4,1,91.500562,1.000000
7,99.867544,4,1,92.546435,1.000000
8,87.210964,4,1,91.953605,1.000000
9,99.867544,4,1,92.744999,1.000000
10,87.210964,4,1,92.241904,1.000000
11,93.804818,4,1,92.372147,1.000000
12,94.867544,4,1,92.564101,1.000000
13,93.804818,4,1,92.652723,1.000000
14,94.867544,4,1,92.800378,1.000000
15,87.210964,4,1,92.451040,1.000000
16,93.804818,4,1,92.530674,1.000000
17,87.210964,4,1,92.235134,1.000000
18,90.412770,4,1,92.139220,1.000000
19,87.210964,4,1,91.892808,1.000000
20,93.804818,4,1,91.983856,1.000000
21,93.804818,4,1,92.066627,1.000000
22,87.210964,4,1,91.855511,1.000000
23,95.180491,4,1,91.994052,1.000000
24,87.210964,4,1,91.802728,1.000000
25,85.412770,4,1,91.556961,1.000000
26,85.412770,4,1,91.329398,1.000000
27,90.412770,4,1,91.296661,1.000000
28,87.210964,4,1,91.155775,1.000000
29,85.412770,4,1,90.964342,1.000000
30,87.210964,4,1,90.843265,1.000000
31,87.210964,4,1,90.729756,1.000000
32,94.867544,4,1,90.855143,1.000000
33,93.804818,4,1,90.941898,1.000000
34,87.210964,4,1,90.835300,1.000000
35,90.412770,4,1,90.823563,1.000000
36,90.412770,4,1,90.812461,1.000000
37,99.867544,4,1,91.050752,1.000000
38,87.210964,4,1,90.952296,1.000000
39,87.210964,4,1,90.858763,1.000000
40,87.210964,4,1,90.769792,1.000000
41,93.804818,4,1,90.842055,1.000000
42,87.210964,4,1,90.757611,1.000000
43,93.804818,4,1,90.826866,1.000000
44,95.180491,4,1,90.923613,1.000000
45,85.412770,4,1,90.803812,1.000000
46,95.180491,4,1,90.896933,1.000000
47,85.412770,4,1,90.782679,1.000000
48,90.412770,4,1,90.775130,1.000000
49,95.180491,4,1,90.863237,1.000000
50,87.210964,4,1,90.791624,1.000000
51,95.180491,4,1,90.876025,1.000000
52,90.412770,4,1,90.867285,1.000000
53,90.412770,4,1,90.858868,1.000000
54,87.210964,4,1,90.792542,1.000000
55,90.412770,4,1,90.785761,1.000000
56,85.412770,4,1,90.691498,1.000000
