episode,total_reward,length,success,avg_reward_100,success_rate_100
0,125.589276,6,1,125.589276,1.000000
1,130.427629,6,1,128.008452,1.000000
2,125.886845,6,1,127.301250,1.000000
3,120.988173,6,1,125.722981,1.000000
4,137.619964,6,1,128.102377,1.000000
5,109.263527,6,1,124.962569,1.000000
6,119.040292,6,1,124.116529,1.000000
7,133.485600,6,1,125.287663,1.000000
8,146.924872,6,1,127.691798,1.000000
9,130.889660,6,1,128.011584,1.000000
10,123.630448,6,1,127.613299,1.000000
11,102.538867,6,1,125.523763,1.000000
12,122.400045,6,1,125.283477,1.000000
13,153.581305,6,1,127.304750,1.000000
14,125.400603,6,1,127.177807,1.000000
15,104.916646,6,1,125.786484,1.000000
16,124.098552,6,1,125.687194,1.000000
17,122.940546,6,1,125.534603,1.000000
18,145.382212,6,1,126.579214,1.000000
19,141.166131,6,1,127.308560,1.000000
20,132.475844,6,1,127.554621,1.000000
21,127.732719,6,1,127.562716,1.000000
22,102.377143,6,1,126.467691,1.000000
23,135.155710,6,1,126.829692,1.000000
24,122.214988,6,1,126.645104,1.000000
25,117.688252,6,1,126.300610,1.000000
26,121.401212,6,1,126.119150,1.000000
27,85.781977,6,1,124.678537,1.000000
28,122.314717,6,1,124.597026,1.000000
29,125.001908,6,1,124.610522,1.000000
30,121.376911,6,1,124.506212,1.000000
31,83.121997,6,1,123.212955,1.000000
32,120.572000,6,1,123.132926,1.000000
33,116.994962,6,1,122.952398,1.000000
34,108.669106,6,1,122.544304,1.000000
35,134.416185,6,1,122.874078,1.000000
36,124.706525,6,1,122.923604,1.000000
37,124.223940,6,1,122.957823,1.000000
38,115.709250,6,1,122.771963,1.000000
39,125.760516,6,1,122.846676,1.000000
40,117.092358,6,1,122.706327,1.000000
41,119.275441,6,1,122.624639,1.000000
42,94.360153,6,1,121.967326,1.000000
43,115.016945,6,1,121.809363,1.000000
44,107.059161,6,1,121.481580,1.000000
45,143.690486,6,1,121.964383,1.000000
46,137.845793,6,1,122.302285,1.000000
47,105.842900,6,1,121.959381,1.000000
48,144.381087,6,1,122.416967,1.000000
49,108.975747,6,1,122.148143,1.000000
50,120.651883,6,1,122.118804,1.000000
51,117.980089,6,1,122.039213,1.000000
52,108.456741,6,1,121.782940,1.000000
53,160.367316,6,1,122.497466,1.000000
54,136.910948,6,1,122.759529,1.000000
55,114.587665,6,1,122.613603,1.000000
56,138.330278,6,1,122.889334,1.000000
57,114.086444,6,1,122.737560,1.000000
58,118.198200,6,1,122.660622,1.000000
59,125.602734,6,1,122.709657,1.000000
60,118.518135,6,1,122.640944,1.000000
61,126.456412,6,1,122.702483,1.000000
62,135.847200,6,1,122.911130,1.000000
63,134.067199,6,1,123.085443,1.000000
64,141.756883,6,1,123.372696,1.000000
65,126.061457,6,1,123.413435,1.000000
66,117.048031,6,1,123.318429,1.000000
67,129.508719,6,1,123.409463,1.000000
68,124.875822,6,1,123.430714,1.000000
69,113.601703,6,1,123.290300,1.000000
70,123.732202,6,1,123.296524,1.000000
71,117.177746,6,1,123.211541,1.000000
72,110.645083,6,1,123.039398,1.000000
73,108.810124,6,1,122.847110,1.000000
74,115.709061,6,1,122.751936,1.000000
75,125.397848,6,1,122.786751,1.000000
76,117.826104,6,1,122.722327,1.000000
77,115.782164,6,1,122.633350,1.000000
78,122.400105,6,1,122.630398,1.000000
79,105.723786,6,1,122.419065,1.000000
80,100.910372,6,1,122.153526,1.000000
81,118.400646,6,1,122.107759,1.000000
82,131.185624,6,1,122.217131,1.000000
83,140.599675,6,1,122.435971,1.000000
84,134.876911,6,1,122.582335,1.000000
