episode,total_reward,length,success,avg_reward_100,success_rate_100
151,133.589580,6,1,134.546059,1.000000
152,130.019593,6,1,134.511854,1.000000
153,133.589580,6,1,134.455196,1.000000
154,129.870034,6,1,134.362838,1.000000
155,129.870034,6,1,134.362838,1.000000
156,130.019593,6,1,134.362838,1.000000
157,129.870034,6,1,134.362838,1.000000
158,133.589580,6,1,134.307675,1.000000
159,133.589580,6,1,134.344870,1.000000
160,139.255422,6,1,134.346366,1.000000
161,133.440021,6,1,134.344870,1.000000
162,129.870034,6,1,134.251016,1.000000
163,129.870034,6,1,134.158658,1.000000
164,130.019593,6,1,134.121949,1.000000
165,139.255422,6,1,134.123445,1.000000
166,133.589580,6,1,134.159145,1.000000
167,130.019593,6,1,134.123445,1.000000
168,133.540936,6,1,134.122958,1.000000
169,139.255422,6,1,134.179617,1.000000
170,129.870034,6,1,134.087258,1.000000
171,130.019593,6,1,134.088754,1.000000
172,133.589580,6,1,134.090250,1.000000
173,139.105863,6,1,134.182608,1.000000
174,130.019593,6,1,134.184103,1.000000
175,133.589580,6,1,134.127445,1.000000
176,139.255422,6,1,134.184590,1.000000
177,139.255422,6,1,134.241735,1.000000
178,139.105863,6,1,134.297384,1.000000
179,133.589580,6,1,134.297384,1.000000
180,129.870034,6,1,134.297384,1.000000
181,130.019593,6,1,134.206521,1.000000
182,139.255422,6,1,134.264675,1.000000
183,130.019593,6,1,134.230471,1.000000
184,129.870034,6,1,134.228975,1.000000
185,139.255422,6,1,134.321334,1.000000
186,139.255422,6,1,134.322829,1.000000
187,139.255422,6,1,134.415188,1.000000
188,130.019593,6,1,134.324325,1.000000
189,133.440021,6,1,134.266171,1.000000
190,130.019593,6,1,134.231967,1.000000
191,129.870034,6,1,134.193762,1.000000
192,133.440021,6,1,134.229462,1.000000
193,139.255422,6,1,134.287616,1.000000
194,139.255422,6,1,134.287616,1.000000
195,139.255422,6,1,134.379974,1.000000
196,130.019593,6,1,134.344761,1.000000
197,139.255422,6,1,134.400410,1.000000
198,139.105863,6,1,134.492768,1.000000
199,139.105863,6,1,134.583631,1.000000
200,130.019593,6,1,134.492768,1.000000
201,139.105863,6,1,134.549427,1.000000
202,130.019593,6,1,134.514213,1.000000
203,139.255422,6,1,134.514213,1.000000
204,130.019593,6,1,134.514213,1.000000
205,139.255422,6,1,134.571358,1.000000
206,129.870034,6,1,134.569863,1.000000
207,139.105863,6,1,134.568367,1.000000
208,129.870034,6,1,134.531172,1.000000
209,130.019593,6,1,134.496967,1.000000
210,139.105863,6,1,134.496967,1.000000
211,133.690495,6,1,134.497976,1.000000
212,129.870034,6,1,134.460781,1.000000
213,130.019593,6,1,134.368423,1.000000
214,130.019593,6,1,134.334218,1.000000
215,130.019593,6,1,134.243356,1.000000
216,129.870034,6,1,134.150997,1.000000
217,129.870034,6,1,134.150997,1.000000
218,130.019593,6,1,134.058639,1.000000
219,130.019593,6,1,134.024435,1.000000
220,129.870034,6,1,133.987726,1.000000
221,130.019593,6,1,133.952026,1.000000
222,139.105863,6,1,134.042889,1.000000
223,130.019593,6,1,133.952026,1.000000
224,133.589580,6,1,133.896863,1.000000
225,130.019593,6,1,133.862659,1.000000
226,139.255422,6,1,133.919804,1.000000
227,133.440021,6,1,133.861650,1.000000
228,129.870034,6,1,133.860154,1.000000
229,130.019593,6,1,133.769291,1.000000
230,129.870034,6,1,133.732096,1.000000
231,139.255422,6,1,133.788754,1.000000
232,130.019593,6,1,133.696396,1.000000
233,133.440021,6,1,133.638242,1.000000
234,129.870034,6,1,133.544388,1.000000
235,130.019593,6,1,133.508688,1.000000
236,130.019593,6,1,133.416330,1.000000
237,130.019593,6,1,133.416330,1.000000
238,133.440021,6,1,133.452030,1.000000
239,130.019593,6,1,133.417826,1.000000
240,139.255422,6,1,133.417826,1.000000
241,130.019593,6,1,133.417826,1.000000
242,133.690495,6,1,133.454535,1.000000
243,130.019593,6,1,133.362176,1.000000
244,139.105863,6,1,133.417826,1.000000
245,133.589580,6,1,133.361167,1.000000
246,130.019593,6,1,133.326963,1.000000
247,133.440021,6,1,133.361167,1.000000
248,133.589580,6,1,133.396867,1.000000
249,139.105863,6,1,133.396867,1.000000
250,139.255422,6,1,133.396867,1.000000
251,139.255422,6,1,133.453525,1.000000
252,133.589580,6,1,133.489225,1.000000
253,130.019593,6,1,133.453525,1.000000
254,139.255422,6,1,133.547379,1.000000
255,129.870034,6,1,133.547379,1.000000
256,139.255422,6,1,133.639738,1.000000
257,139.255422,6,1,133.733591,1.000000
258,130.019593,6,1,133.697892,1.000000
259,139.105863,6,1,133.753054,1.000000
260,133.440021,6,1,133.694900,1.000000
261,133.589580,6,1,133.696396,1.000000
262,139.255422,6,1,133.790250,1.000000
263,139.255422,6,1,133.884104,1.000000
264,129.870034,6,1,133.882608,1.000000
265,139.105863,6,1,133.881113,1.000000
266,139.255422,6,1,133.937771,1.000000
267,129.870034,6,1,133.936275,1.000000
268,139.255422,6,1,133.993420,1.000000
269,139.105863,6,1,133.991925,1.000000
270,130.019593,6,1,133.993420,1.000000
271,133.440021,6,1,134.027625,1.000000
272,130.019593,6,1,133.991925,1.000000
273,130.019593,6,1,133.901062,1.000000
274,139.105863,6,1,133.991925,1.000000
275,139.255422,6,1,134.048583,1.000000
276,130.019593,6,1,133.956225,1.000000
277,139.105863,6,1,133.954729,1.000000
278,133.589580,6,1,133.899566,1.000000
279,130.019593,6,1,133.863867,1.000000
280,139.105863,6,1,133.956225,1.000000
281,133.589580,6,1,133.991925,1.000000
282,139.255422,6,1,133.991925,1.000000
283,139.255422,6,1,134.084283,1.000000
284,139.255422,6,1,134.178137,1.000000
285,139.105863,6,1,134.176641,1.000000
286,139.255422,6,1,134.176641,1.000000
287,139.255422,6,1,134.176641,1.000000
288,139.105863,6,1,134.267504,1.000000
289,139.105863,6,1,134.324162,1.000000
290,139.105863,6,1,134.415025,1.000000
291,139.105863,6,1,134.507383,1.000000
292,129.870034,6,1,134.471684,1.000000
293,139.105863,6,1,134.470188,1.000000
294,133.589580,6,1,134.413530,1.000000
295,130.019593,6,1,134.321171,1.000000
296,133.440021,6,1,134.355376,1.000000
297,130.019593,6,1,134.263017,1.000000
298,130.019593,6,1,134.172155,1.000000
299,139.105863,6,1,134.172155,1.000000
300,139.105863,6,1,134.263017,1.000000
301,139.105863,6,1,134.263017,1.000000
302,139.105863,6,1,134.353880,1.000000
303,129.870034,6,1,134.260026,1.000000
304,139.105863,6,1,134.350889,1.000000
305,139.105863,6,1,134.349393,1.000000
306,139.255422,6,1,134.443247,1.000000
307,139.255422,6,1,134.444743,1.000000
308,130.019593,6,1,134.446238,1.000000
309,139.255422,6,1,134.538597,1.000000
310,139.255422,6,1,134.540092,1.000000
311,139.105863,6,1,134.594246,1.000000
312,139.255422,6,1,134.688100,1.000000
313,139.105863,6,1,134.778962,1.000000
314,139.105863,6,1,134.869825,1.000000
315,139.255422,6,1,134.962183,1.000000
316,139.105863,6,1,135.054542,1.000000
317,139.105863,6,1,135.146900,1.000000
318,139.105863,6,1,135.237763,1.000000
319,130.019593,6,1,135.237763,1.000000
320,139.255422,6,1,135.331617,1.000000
321,130.019593,6,1,135.331617,1.000000
322,139.255422,6,1,135.333112,1.000000
323,139.105863,6,1,135.423975,1.000000
324,130.019593,6,1,135.388275,1.000000
325,139.255422,6,1,135.480633,1.000000
326,139.255422,6,1,135.480633,1.000000
327,133.540936,6,1,135.481642,1.000000
328,139.105863,6,1,135.574001,1.000000
329,139.105863,6,1,135.664863,1.000000
330,139.105863,6,1,135.757222,1.000000
331,139.105863,6,1,135.755726,1.000000
332,139.105863,6,1,135.846589,1.000000
333,133.589580,6,1,135.848084,1.000000
334,139.105863,6,1,135.940443,1.000000
335,139.105863,6,1,136.031305,1.000000
336,133.589580,6,1,136.067005,1.000000
337,133.540936,6,1,136.102219,1.000000
338,139.255422,6,1,136.160373,1.000000
339,139.255422,6,1,136.252731,1.000000
340,139.105863,6,1,136.251235,1.000000
341,139.105863,6,1,136.342098,1.000000
342,139.105863,6,1,136.396252,1.000000
343,129.870034,6,1,136.394756,1.000000
344,130.019593,6,1,136.303893,1.000000
345,139.105863,6,1,136.359056,1.000000
346,139.255422,6,1,136.451415,1.000000
347,139.105863,6,1,136.508073,1.000000
348,139.255422,6,1,136.564731,1.000000
349,139.105863,6,1,136.564731,1.000000
350,133.690495,6,1,136.509082,1.000000
351,129.870034,6,1,136.415228,1.000000
352,139.255422,6,1,136.471887,1.000000
353,139.255422,6,1,136.564245,1.000000
354,139.255422,6,1,136.564245,1.000000
355,133.440021,6,1,136.599945,1.000000
356,139.255422,6,1,136.599945,1.000000
357,130.019593,6,1,136.507587,1.000000
358,133.589580,6,1,136.543286,1.000000
359,139.255422,6,1,136.544782,1.000000
360,139.255422,6,1,136.602936,1.000000
361,139.255422,6,1,136.659594,1.000000
362,139.105863,6,1,136.658099,1.000000
363,130.019593,6,1,136.565741,1.000000
364,129.870034,6,1,136.565741,1.000000
365,139.255422,6,1,136.567236,1.000000
366,139.255422,6,1,136.567236,1.000000
367,139.255422,6,1,136.661090,1.000000
368,139.105863,6,1,136.659594,1.000000
369,139.105863,6,1,136.659594,1.000000
370,139.105863,6,1,136.750457,1.000000
371,139.105863,6,1,136.807116,1.000000
372,139.255422,6,1,136.899474,1.000000
373,133.440021,6,1,136.933678,1.000000
374,139.105863,6,1,136.933678,1.000000
375,139.255422,6,1,136.933678,1.000000
376,139.255422,6,1,137.026036,1.000000
377,139.105863,6,1,137.026036,1.000000
378,139.105863,6,1,137.081199,1.000000
379,139.105863,6,1,137.172062,1.000000
380,139.105863,6,1,137.172062,1.000000
381,139.105863,6,1,137.227225,1.000000
382,139.255422,6,1,137.227225,1.000000
383,139.105863,6,1,137.225729,1.000000
384,133.440021,6,1,137.167575,1.000000
385,139.255422,6,1,137.169071,1.000000
386,139.105863,6,1,137.167575,1.000000
387,139.105863,6,1,137.166080,1.000000
388,133.589580,6,1,137.110917,1.000000
389,139.105863,6,1,137.110917,1.000000
390,139.105863,6,1,137.110917,1.000000
391,139.255422,6,1,137.112412,1.000000
392,139.255422,6,1,137.206266,1.000000
393,139.105863,6,1,137.206266,1.000000
394,139.105863,6,1,137.261429,1.000000
395,139.105863,6,1,137.352292,1.000000
396,139.105863,6,1,137.408950,1.000000
397,139.105863,6,1,137.499813,1.000000
398,139.255422,6,1,137.592171,1.000000
399,139.255422,6,1,137.593667,1.000000
400,129.870034,6,1,137.501308,1.000000
401,130.019593,6,1,137.410446,1.000000
402,129.870034,6,1,137.318087,1.000000
403,133.440021,6,1,137.353787,1.000000
404,139.255422,6,1,137.355283,1.000000
405,139.255422,6,1,137.356779,1.000000
406,139.105863,6,1,137.355283,1.000000
407,133.589580,6,1,137.298625,1.000000
408,139.255422,6,1,137.390983,1.000000
409,139.105863,6,1,137.389487,1.000000
410,139.105863,6,1,137.387992,1.000000
411,139.255422,6,1,137.389487,1.000000
412,129.870034,6,1,137.295633,1.000000
413,139.255422,6,1,137.297129,1.000000
414,139.255422,6,1,137.298625,1.000000
415,139.105863,6,1,137.297129,1.000000
416,139.105863,6,1,137.297129,1.000000
417,139.105863,6,1,137.297129,1.000000
418,139.255422,6,1,137.298625,1.000000
419,133.540936,6,1,137.333838,1.000000
420,139.255422,6,1,137.333838,1.000000
421,139.255422,6,1,137.426196,1.000000
422,139.105863,6,1,137.424701,1.000000
423,139.255422,6,1,137.426196,1.000000
424,139.105863,6,1,137.517059,1.000000
425,139.255422,6,1,137.517059,1.000000
426,139.255422,6,1,137.517059,1.000000
427,129.870034,6,1,137.480350,1.000000
428,139.105863,6,1,137.480350,1.000000
429,130.019593,6,1,137.389487,1.000000
430,139.255422,6,1,137.390983,1.000000
431,139.255422,6,1,137.392478,1.000000
432,139.105863,6,1,137.392478,1.000000
433,139.105863,6,1,137.447641,1.000000
434,139.255422,6,1,137.449137,1.000000
435,139.255422,6,1,137.450632,1.000000
436,139.105863,6,1,137.505795,1.000000
437,139.255422,6,1,137.562940,1.000000
438,130.019593,6,1,137.470582,1.000000
439,139.105863,6,1,137.469086,1.000000
440,139.255422,6,1,137.470582,1.000000
441,139.255422,6,1,137.472077,1.000000
442,139.105863,6,1,137.472077,1.000000
443,139.255422,6,1,137.565931,1.000000
444,139.255422,6,1,137.658290,1.000000
445,139.105863,6,1,137.658290,1.000000
446,139.255422,6,1,137.658290,1.000000
447,139.105863,6,1,137.658290,1.000000
448,133.589580,6,1,137.601631,1.000000
449,139.255422,6,1,137.603127,1.000000
450,139.105863,6,1,137.657280,1.000000
451,139.255422,6,1,137.751134,1.000000
452,139.255422,6,1,137.751134,1.000000
453,139.105863,6,1,137.749639,1.000000
454,139.255422,6,1,137.749639,1.000000
455,139.105863,6,1,137.806297,1.000000
456,139.255422,6,1,137.806297,1.000000
457,139.105863,6,1,137.897160,1.000000
458,133.589580,6,1,137.897160,1.000000
459,139.105863,6,1,137.895664,1.000000
460,139.255422,6,1,137.895664,1.000000
461,139.255422,6,1,137.895664,1.000000
462,139.105863,6,1,137.895664,1.000000
463,139.105863,6,1,137.986527,1.000000
464,130.019593,6,1,137.988023,1.000000
465,139.255422,6,1,137.988023,1.000000
466,139.255422,6,1,137.988023,1.000000
467,139.105863,6,1,137.986527,1.000000
468,139.105863,6,1,137.986527,1.000000
469,139.255422,6,1,137.988023,1.000000
470,139.105863,6,1,137.988023,1.000000
