global_timestep,episode,step_in_episode,model,seed,reward,cumulative_reward,reshuffled,distance_reduced,time_saved,cubes_picked_so_far,done,truncated,timestamp,planner
1,1,1,DDPG+MASAC,42,48.2279626923356,48.2279626923356,True,0.0,0.0,1,False,False,2026-01-19T03:03:22.664794,Isaac Sim RRT
2,1,2,DDPG+MASAC,42,29.826031653997802,78.05399434633341,True,0.0,0.0,1,False,False,2026-01-19T03:03:22.689822,Isaac Sim RRT
3,1,3,DDPG+MASAC,42,33.77178523272412,111.82577957905752,True,0.0,0.0,1,False,False,2026-01-19T03:03:22.712860,Isaac Sim RRT
4,1,4,DDPG+MASAC,42,30.981522708055877,142.8073022871134,True,0.0,0.0,1,False,False,2026-01-19T03:03:22.735397,Isaac Sim RRT
5,1,5,DDPG+MASAC,42,33.77178523272412,176.57908751983751,True,0.0,0.0,1,False,False,2026-01-19T03:03:22.755450,Isaac Sim RRT
6,1,6,DDPG+MASAC,42,-10.0,166.57908751983751,False,0.0,0.0,1,False,False,2026-01-19T03:03:22.774469,Isaac Sim RRT
7,1,7,DDPG+MASAC,42,-10.0,156.57908751983751,False,0.0,0.0,1,False,False,2026-01-19T03:03:22.793500,Isaac Sim RRT
8,1,8,DDPG+MASAC,42,-10.0,146.57908751983751,False,0.0,0.0,1,False,False,2026-01-19T03:03:22.814017,Isaac Sim RRT
9,1,9,DDPG+MASAC,42,-10.0,136.57908751983751,False,0.0,0.0,1,False,False,2026-01-19T03:03:22.832534,Isaac Sim RRT
10,1,10,DDPG+MASAC,42,-10.0,126.57908751983751,False,0.0,0.0,1,False,False,2026-01-19T03:03:22.858569,Isaac Sim RRT
11,1,11,DDPG+MASAC,42,-10.0,116.57908751983751,False,0.0,0.0,1,False,False,2026-01-19T03:03:22.878083,Isaac Sim RRT
12,1,12,DDPG+MASAC,42,-10.0,106.57908751983751,False,0.0,0.0,1,False,False,2026-01-19T03:03:22.894094,Isaac Sim RRT
13,1,13,DDPG+MASAC,42,-10.0,96.57908751983751,False,0.0,0.0,1,False,False,2026-01-19T03:03:22.916109,Isaac Sim RRT
14,1,14,DDPG+MASAC,42,-10.0,86.57908751983751,False,0.0,0.0,1,False,False,2026-01-19T03:03:22.935126,Isaac Sim RRT
15,1,15,DDPG+MASAC,42,-10.0,76.57908751983751,False,0.0,0.0,1,False,False,2026-01-19T03:03:22.954144,Isaac Sim RRT
16,1,16,DDPG+MASAC,42,-10.0,66.57908751983751,False,0.0,0.0,1,False,False,2026-01-19T03:03:22.974666,Isaac Sim RRT
17,1,17,DDPG+MASAC,42,-10.0,56.579087519837515,False,0.0,0.0,1,False,False,2026-01-19T03:03:22.995855,Isaac Sim RRT
18,1,18,DDPG+MASAC,42,-10.0,46.579087519837515,False,0.0,0.0,1,False,False,2026-01-19T03:03:23.013397,Isaac Sim RRT
19,1,19,DDPG+MASAC,42,-10.0,36.579087519837515,False,0.0,0.0,1,False,False,2026-01-19T03:03:23.032411,Isaac Sim RRT
20,1,20,DDPG+MASAC,42,-10.0,26.579087519837515,False,0.0,0.0,1,False,False,2026-01-19T03:03:23.053647,Isaac Sim RRT
21,1,21,DDPG+MASAC,42,-10.0,16.579087519837515,False,0.0,0.0,1,False,False,2026-01-19T03:03:23.070664,Isaac Sim RRT
22,1,22,DDPG+MASAC,42,-10.0,6.579087519837515,False,0.0,0.0,1,False,False,2026-01-19T03:03:23.090195,Isaac Sim RRT
23,1,23,DDPG+MASAC,42,-10.0,-3.4209124801624853,False,0.0,0.0,1,False,False,2026-01-19T03:03:23.109710,Isaac Sim RRT
