episode,total_reward,episode_length,reshuffles_performed,total_distance_reduced,total_time_saved,timestamp,cube_0_final_dist,cube_1_final_dist,cube_2_final_dist,cube_3_final_dist
0,7.647609524035147,4,2,0.07380476201757347,0.14760952403514693,2026-01-14T23:59:57.724757,0.6158206462860107,1.0674406290054321,0.8014131784439087,0.8152687549591064
1,7.454583838467549,4,2,-0.022708080766225436,-0.04541616153245087,2026-01-14T23:59:57.873672,0.8812849521636963,1.0133198499679565,0.7001563906669617,0.8014131784439087
2,4.117802768391197,4,2,-0.19109861580440146,-0.3821972316088029,2026-01-14T23:59:58.015438,0.6382978558540344,0.7929446697235107,1.0711214542388916,0.8152687549591064
3,8.279208246033436,4,2,0.3896041230167181,0.7792082460334362,2026-01-14T23:59:58.164308,0.6423885822296143,0.8152687549591064,0.983869731426239,0.9943386316299438
4,1.4116216502168666,4,1,-0.04418917489156671,-0.08837834978313341,2026-01-14T23:59:58.292201,1.006784439086914,0.6595931649208069,0.7696027755737305,0.7347913980484009
5,9.866664909808112,4,2,0.4333324549040555,0.866664909808111,2026-01-14T23:59:58.415432,0.8152687549591064,0.6301323771476746,0.7673515677452087,0.6595931649208069
6,7.893955819585264,4,2,0.19697790979263197,0.39395581958526393,2026-01-14T23:59:58.554855,0.990179181098938,0.6345611214637756,0.8014131784439087,0.7396371364593506
7,9.891956591097784,4,2,0.4459782955488919,0.8919565910977838,2026-01-14T23:59:58.678502,0.8017188310623169,0.8152687549591064,0.7158645391464233,0.6595931649208069
8,7.6117303074563285,4,2,0.05586515372816436,0.11173030745632873,2026-01-14T23:59:58.827111,0.9747588634490967,0.7798417806625366,0.8812849521636963,0.7396371364593506
9,9.978914845589768,4,2,0.48945742279488436,0.9789148455897687,2026-01-14T23:59:58.927057,0.714221179485321,0.6392885446548462,0.8014131784439087,0.6423885822296143
10,9.953537606684637,4,2,0.4767688033423184,0.9535376066846368,2026-01-14T23:59:59.025216,1.0354721546173096,0.8152687549591064,0.7382241487503052,0.6595931649208069
11,6.878123482225228,4,1,0.4390617411126142,0.8781234822252284,2026-01-14T23:59:59.143140,0.6105929613113403,0.6595931649208069,0.7346979379653931,1.037042498588562
12,10.17112561065808,4,2,0.5855628053290409,1.1711256106580819,2026-01-14T23:59:59.242888,0.7867453694343567,0.6595931649208069,0.6423885822296143,0.7339797019958496
