episode,total_reward,episode_length,reshuffles_performed,total_distance_reduced,total_time_saved,timestamp,cube_0_final_dist,cube_1_final_dist,cube_2_final_dist,cube_3_final_dist
1,1.9558726416112067,4,1,0.22793632080560328,0.45587264161120655,2026-01-14T23:08:21.935605,0.4554689824581146,0.3913605213165283,0.4506376385688782,0.300526887178421
2,4.612365207265908,4,2,-0.1938173963670461,-0.3876347927340922,2026-01-14T23:08:23.020453,0.3154350817203522,0.380215048789978,0.5154251456260681,0.6597165465354919
3,5.6328276125734975,4,3,0.3164138062867488,0.6328276125734976,2026-01-14T23:08:25.720522,0.4399479031562805,0.31727442145347595,0.4535008668899536,0.5179340839385986
4,4.861624499546146,4,2,0.18081224977307297,0.36162449954614595,2026-01-14T23:08:26.683322,0.6721221804618835,0.31676894426345825,0.4616958498954773,0.6026301383972168
5,5.446846373573347,4,3,0.22342318678667356,0.4468463735733471,2026-01-14T23:08:27.489668,0.4616958498954773,0.6481671929359436,0.3118150234222412,0.5154251456260681
6,5.146338111854532,4,4,0.3231690559272661,0.6463381118545322,2026-01-14T23:08:29.916510,0.31727442145347595,0.31367769837379456,0.4616958498954773,0.4535008668899536
7,6.771487516786083,4,3,0.13574375839304093,0.27148751678608185,2026-01-14T23:08:31.117399,0.5154251456260681,0.3957188129425049,0.6026301383972168,0.30522626638412476
8,7.181624657800759,4,3,-0.15918767109962034,-0.3183753421992407,2026-01-14T23:08:34.163120,0.6402983665466309,0.6026301383972168,0.4491618871688843,0.4616958498954773
9,6.500082072445342,4,3,4.1036222670931544e-05,8.207244534186309e-05,2026-01-14T23:08:36.165729,0.44339269399642944,0.3049142062664032,0.6088210344314575,0.38801881670951843
10,3.8211492043226913,4,2,0.16057460216134561,0.32114920432269123,2026-01-14T23:08:37.802455,0.3082336187362671,0.386252760887146,0.4616958498954773,0.6686506271362305
11,4.42907244216593,4,3,0.21453622108296488,0.42907244216592977,2026-01-14T23:08:40.609261,0.3913605213165283,0.6505098938941956,0.31727442145347595,0.3065057098865509
12,3.625386404445429,4,2,0.0626932022227143,0.1253864044454286,2026-01-14T23:08:41.614753,0.3966097831726074,0.4535008668899536,0.4616958498954773,0.5843511819839478
13,3.06676447604246,2,2,-0.21661776197876992,-0.43323552395753984,2026-01-14T23:08:42.574888,0.6505098938941956,0.49709904193878174,0.6026301383972168,0.3078882098197937
