episode,total_reward,episode_length,reshuffles_performed,total_distance_reduced,total_time_saved,timestamp,cube_0_final_dist,cube_1_final_dist,cube_2_final_dist,cube_3_final_dist,cube_4_final_dist,cube_5_final_dist
1,3.063647363664964,5,2,0.031823681832481965,0.06364736366496393,2026-01-14T23:10:27.681884,0.2939703166484833,0.3935507833957672,0.5413991808891296,0.7087350487709045,0.666267991065979,0.5258945226669312
2,6.602015109971673,6,3,0.3010075549858368,0.6020151099716736,2026-01-14T23:10:30.658715,0.5321347713470459,0.5243215560913086,0.4344240128993988,0.3907851576805115,0.6595171093940735,0.39758938550949097
3,4.610424540635533,5,2,0.055212270317766154,0.11042454063553231,2026-01-14T23:11:29.783938,0.5433350205421448,0.41335248947143555,0.7051377296447754,0.41965827345848083,0.4857088029384613,0.40269744396209717
4,9.676636555807065,6,5,0.338318277903532,0.676636555807064,2026-01-14T23:11:57.635656,0.5334466099739075,0.5413991808891296,0.41358351707458496,0.38744425773620605,0.6784334778785706,0.3973827362060547
5,7.673061378755339,5,3,0.0865306893776695,0.173061378755339,2026-01-14T23:12:40.358002,0.5940648317337036,0.6342940926551819,0.3744758665561676,0.70972740650177,0.5353519320487976,0.3212335705757141
6,9.029709485237866,5,3,-0.23514525738106679,-0.47029051476213357,2026-01-14T23:13:35.683831,0.41028982400894165,0.5243215560913086,0.7095137238502502,0.38744425773620605,0.4749162197113037,0.6535608768463135
7,12.07410684288802,7,5,-0.21294657855598992,-0.42589315711197984,2026-01-14T23:14:01.349869,0.27645397186279297,0.41965827345848083,0.3771286904811859,0.3905083239078522,0.5027405619621277,0.666267991065979
8,8.162824895160927,6,4,0.08141244758046395,0.1628248951609279,2026-01-14T23:14:29.596414,0.40504416823387146,0.4046916365623474,0.6531215906143188,0.6464619636535645,0.3011518716812134,0.3909952640533447
9,5.987355678677629,5,3,-0.2563221606611854,-0.5126443213223708,2026-01-14T23:15:02.678792,0.6592242121696472,0.32012903690338135,0.6325138211250305,0.70972740650177,0.37539032101631165,0.5243215560913086
