episode,total_reward,episode_length,reshuffles_performed,total_distance_reduced,total_time_saved,timestamp,cube_0_final_dist,cube_1_final_dist,cube_2_final_dist,cube_3_final_dist,cube_4_final_dist,cube_5_final_dist,cube_6_final_dist,cube_7_final_dist,cube_8_final_dist
0,8.394687177503194,8,5,-0.3026564112484027,-0.6053128224968054,2026-01-14T23:41:28.802071,0.8074732422828674,1.208656668663025,0.7290008664131165,1.0794200897216797,0.6760274171829224,0.9704117774963379,0.8467662930488586,0.757636547088623,1.1061484813690186
1,17.310426276528855,9,5,0.40521313826442684,0.8104262765288537,2026-01-14T23:43:57.145845,0.5720928311347961,0.8574456572532654,0.842147946357727,0.6150652170181274,0.7359822988510132,1.1270596981048584,1.0860096216201782,0.6433861255645752,0.7367584705352783
2,22.50806813262144,9,4,0.7540340663107191,1.5080681326214382,2026-01-14T23:47:14.302929,1.0161787271499634,0.5681220889091492,0.8574456572532654,0.6140172481536865,0.7695538401603699,0.8737760782241821,1.1147046089172363,0.8467662930488586,0.7598140239715576
3,22.599886760125322,9,4,0.7999433800626622,1.5998867601253244,2026-01-14T23:47:53.096870,0.6164792776107788,0.7318611741065979,0.8074732422828674,0.6963686943054199,0.7524713277816772,0.8467662930488586,0.6760274171829224,1.1229735612869263,0.7355531454086304
4,15.319255405839176,8,5,0.15962770291958772,0.31925540583917544,2026-01-14T23:52:51.654513,1.2058838605880737,1.0970152616500854,0.8074732422828674,0.5770346522331238,0.7695538401603699,0.6918410062789917,0.9075455069541931,0.8634787797927856,0.757636547088623
5,7.960428866096995,8,2,0.23021443304849776,0.4604288660969955,2026-01-14T23:56:55.195169,0.601037323474884,0.8574456572532654,1.0986311435699463,0.8467662930488586,0.8491486310958862,0.8876817226409912,0.6488307118415833,0.7133354544639587,0.9143766760826111
