step,episode,loss_ddqn,loss_masac,loss_cvd,q_value_ddqn,q_overestimation_ddqn,epsilon_ddqn,epsilon_masac,reward_total,reward_agent1,reward_agent2,episode_reward,episode_length,episode_reshuffles,cubes_picked,avg_reward_100,success_rate
1008,85,462.293762,3642.258392,803.208984,54.033764,79.033764,0.010000,0.010000,-25.000000,-25.000000,0.000000,90.700946,12,5,7,183.674775,0.956349
1009,85,358.643372,4628.944593,1128.822632,56.684597,81.684597,0.010000,0.010000,-25.000000,-25.000000,0.000000,65.700946,13,5,7,183.674775,0.956349
1010,85,273.086731,4392.952362,563.712891,65.259514,7.188673,0.010000,0.010000,58.070841,58.070841,0.000000,123.771787,14,5,8,183.674775,0.956349
1011,86,381.466248,2907.746189,688.865173,119.804657,65.774139,0.010000,0.010000,54.030518,13.324348,40.706169,54.030518,1,1,1,182.970034,0.955556
1012,86,377.646515,1083.370066,794.049255,110.710938,58.391038,0.010000,0.010000,52.319899,12.296536,40.023363,106.350417,2,2,2,182.970034,0.955556
1013,86,319.665253,5962.058786,754.309326,106.970367,60.470364,0.010000,0.010000,46.500004,7.234461,39.265542,152.850421,3,3,3,182.970034,0.955556
1014,86,177.589325,4942.871922,694.566345,82.375397,77.022295,0.010000,0.010000,5.353102,15.353102,-10.000000,158.203523,4,4,4,182.970034,0.955556
1015,86,355.515533,1446.526943,817.143616,69.251198,104.251198,0.010000,0.010000,-35.000000,-25.000000,-10.000000,123.203523,5,5,4,182.970034,0.955556
1016,86,327.460632,5314.715250,1303.193115,86.677147,70.195989,0.010000,0.010000,16.481158,16.481158,0.000000,139.684680,6,5,5,182.970034,0.955556
1017,86,777.366577,4173.698105,780.450012,67.173103,92.173103,0.010000,0.010000,-25.000000,-25.000000,0.000000,114.684680,7,5,5,182.970034,0.955556
1018,86,239.323013,5854.276035,1172.147949,77.099037,102.099037,0.010000,0.010000,-25.000000,-25.000000,0.000000,89.684680,8,5,5,182.970034,0.955556
1019,86,350.375916,2234.559902,792.955017,63.018970,43.971519,0.010000,0.010000,19.047451,19.047451,0.000000,108.732132,9,5,6,182.970034,0.955556
1020,86,395.599304,2758.892340,568.815918,64.460869,89.460869,0.010000,0.010000,-25.000000,-25.000000,0.000000,83.732132,10,5,6,182.970034,0.955556
1021,86,589.515625,3535.362679,790.047241,71.436577,96.436577,0.010000,0.010000,-25.000000,-25.000000,0.000000,58.732132,11,5,6,182.970034,0.955556
1022,86,421.055450,5024.644979,905.998230,73.295921,98.295921,0.010000,0.010000,-25.000000,-25.000000,0.000000,33.732132,12,5,6,182.970034,0.955556
1023,86,299.093567,3323.888298,816.135193,68.609734,93.609734,0.010000,0.010000,-25.000000,-25.000000,0.000000,8.732132,13,5,6,182.970034,0.955556
1024,86,473.196381,3563.684875,847.636230,68.475830,3.097909,0.010000,0.010000,65.377921,65.377921,0.000000,74.110053,14,5,7,182.970034,0.955556
1025,87,297.430420,6149.736717,871.890625,114.355980,66.573298,0.010000,0.010000,47.782681,8.160318,39.622364,47.782681,1,1,1,181.704220,0.953488
1026,87,329.369995,3096.513828,668.877075,108.102409,58.555777,0.010000,0.010000,49.546633,9.735982,39.810651,97.329314,2,2,2,181.704220,0.953488
1027,87,374.592621,5199.327372,1146.055542,96.761444,81.559265,0.010000,0.010000,15.202179,15.202179,0.000000,112.531494,3,3,3,181.704220,0.953488
1028,87,372.968567,5147.642096,1027.751709,92.047363,97.143883,0.010000,0.010000,-5.096520,4.903480,-10.000000,107.434974,4,4,4,181.704220,0.953488
1029,87,343.506226,5514.021103,865.486328,87.026001,88.834381,0.010000,0.010000,-1.808380,8.191620,-10.000000,105.626594,5,5,5,181.704220,0.953488
1030,87,386.661041,3721.565767,760.058472,78.112396,71.875924,0.010000,0.010000,6.236473,6.236473,0.000000,111.863067,6,5,6,181.704220,0.953488
1031,87,318.396240,7214.642126,828.891113,73.127678,57.173471,0.010000,0.010000,15.954207,15.954207,0.000000,127.817274,7,5,7,181.704220,0.953488
1032,87,322.733459,3888.542700,566.409424,69.282745,54.919120,0.010000,0.010000,14.363625,14.363625,0.000000,142.180899,8,5,8,181.704220,0.953488
1033,87,453.892487,3444.801565,640.203247,69.806648,10.313494,0.010000,0.010000,59.493154,59.493154,0.000000,201.674053,9,5,9,181.704220,0.953488
1034,88,432.814331,2172.038412,967.431030,115.988670,59.079476,0.010000,0.010000,56.909194,16.586846,40.322348,56.909194,1,1,1,181.933758,0.954023
1035,88,485.080750,2642.002605,692.161621,108.583054,61.458939,0.010000,0.010000,47.124115,7.155674,39.968441,104.033309,2,2,2,181.933758,0.954023
1036,88,407.267090,3330.449028,926.067200,113.495010,64.565521,0.010000,0.010000,48.929489,9.609750,39.319739,152.962798,3,3,3,181.933758,0.954023
1037,88,374.126862,4241.204397,810.378906,103.210594,86.968023,0.010000,0.010000,16.242571,16.242571,0.000000,169.205369,4,4,4,181.933758,0.954023
1038,88,646.391235,4844.699999,1115.774170,84.227600,86.125329,0.010000,0.010000,-1.897729,8.102271,-10.000000,167.307640,5,5,5,181.933758,0.954023
1039,88,411.730103,1793.793871,650.330933,80.078888,72.133807,0.010000,0.010000,7.945081,7.945081,0.000000,175.252720,6,5,6,181.933758,0.954023
1040,88,260.781311,4459.321869,639.804504,80.824883,64.869339,0.010000,0.010000,15.955543,15.955543,0.000000,191.208264,7,5,7,181.933758,0.954023
1041,88,259.196594,5054.413692,1066.447754,89.338203,80.625178,0.010000,0.010000,8.713026,8.713026,0.000000,199.921289,8,5,8,181.933758,0.954023
1042,88,573.305969,4829.803162,725.247437,55.658504,-3.847500,0.010000,0.010000,59.506004,59.506004,0.000000,259.427294,9,5,9,181.933758,0.954023
1043,89,359.628967,3620.889338,966.618469,116.032913,69.976283,0.010000,0.010000,46.056630,5.407684,40.648946,46.056630,1,1,1,182.814367,0.954545
1044,89,410.914093,3584.738779,691.207825,108.258232,60.538693,0.010000,0.010000,47.719539,7.010940,40.708599,93.776169,2,2,2,182.814367,0.954545
1045,89,280.244934,4696.851761,932.690369,98.954941,83.767765,0.010000,0.010000,15.187175,-25.000000,40.187175,108.963345,3,3,2,182.814367,0.954545
1046,89,594.500183,3456.342859,839.540894,81.090393,66.229275,0.010000,0.010000,14.861118,-25.000000,39.861118,123.824463,4,4,2,182.814367,0.954545
1047,89,376.658478,1511.741993,1109.252197,84.100418,67.830987,0.010000,0.010000,16.269431,-25.000000,41.269431,140.093894,5,5,2,182.814367,0.954545
1048,89,436.971588,4889.677837,835.239990,94.456985,119.456985,0.010000,0.010000,-25.000000,-25.000000,0.000000,115.093894,6,5,2,182.814367,0.954545
1049,89,415.289093,3691.057621,939.804077,97.886131,122.886131,0.010000,0.010000,-25.000000,-25.000000,0.000000,90.093894,7,5,2,182.814367,0.954545
1050,89,412.474121,3948.514364,659.429199,90.444954,115.444954,0.010000,0.010000,-25.000000,-25.000000,0.000000,65.093894,8,5,2,182.814367,0.954545
1051,89,317.656281,8274.700048,802.336548,93.701973,118.701973,0.010000,0.010000,-25.000000,-25.000000,0.000000,40.093894,9,5,2,182.814367,0.954545
1052,89,256.251343,5016.907127,1149.634766,96.266556,121.266556,0.010000,0.010000,-25.000000,-25.000000,0.000000,15.093894,10,5,2,182.814367,0.954545
1053,89,348.157745,5279.552736,955.849304,94.938004,85.543123,0.010000,0.010000,9.394881,9.394881,0.000000,24.488775,11,5,3,182.814367,0.954545
1054,89,390.420135,5598.744652,905.031982,75.513351,60.229649,0.010000,0.010000,15.283702,15.283702,0.000000,39.772477,12,5,4,182.814367,0.954545
1055,89,244.833755,6196.040445,839.192627,73.051285,98.051285,0.010000,0.010000,-25.000000,-25.000000,0.000000,14.772477,13,5,4,182.814367,0.954545
1056,89,360.009155,5984.682554,610.412109,76.608994,101.608994,0.010000,0.010000,-25.000000,-25.000000,0.000000,-10.227523,14,5,4,182.814367,0.954545
1057,89,407.194733,2108.240707,707.164490,88.454185,84.432113,0.010000,0.010000,4.022072,4.022072,0.000000,-6.205451,15,5,5,182.814367,0.954545
1058,89,351.043030,2695.091827,1218.502197,57.920956,82.920956,0.010000,0.010000,-25.000000,-25.000000,0.000000,-31.205451,16,5,5,182.814367,0.954545
1059,89,618.394409,2400.740927,842.447388,81.322235,106.322235,0.010000,0.010000,-25.000000,-25.000000,0.000000,-56.205451,17,5,5,182.814367,0.954545
1060,89,257.668152,3710.225769,964.828491,90.187828,115.187828,0.010000,0.010000,-25.000000,-25.000000,0.000000,-81.205451,18,5,5,182.814367,0.954545
1061,89,352.354248,7379.411037,731.294983,66.351585,91.351585,0.010000,0.010000,-25.000000,-25.000000,0.000000,-106.205451,19,5,5,182.814367,0.954545
1062,89,399.250549,3543.259392,778.761353,81.665688,106.665688,0.010000,0.010000,-25.000000,-25.000000,0.000000,-131.205451,20,5,5,182.814367,0.954545
1063,89,372.841766,3815.679199,875.186829,71.944962,96.944962,0.010000,0.010000,-25.000000,-25.000000,0.000000,-156.205451,21,5,5,182.814367,0.954545
1064,89,349.666962,3411.756403,825.510742,81.234436,106.234436,0.010000,0.010000,-25.000000,-25.000000,0.000000,-181.205451,22,5,5,182.814367,0.954545
1065,89,405.443390,4370.358391,618.432861,81.915108,106.915108,0.010000,0.010000,-25.000000,-25.000000,0.000000,-206.205451,23,5,5,182.814367,0.954545
1066,89,242.813293,5690.485607,876.152222,75.685463,100.685463,0.010000,0.010000,-25.000000,-25.000000,0.000000,-231.205451,24,5,5,182.814367,0.954545
1067,89,445.044281,3126.728411,690.143188,73.144890,98.144890,0.010000,0.010000,-25.000000,-25.000000,0.000000,-256.205451,25,5,5,182.814367,0.954545
1068,89,539.471130,5318.648993,865.306274,72.417633,97.417633,0.010000,0.010000,-25.000000,-25.000000,0.000000,-281.205451,26,5,5,182.814367,0.954545
1069,89,494.538818,9598.183393,927.392639,82.565384,107.565384,0.010000,0.010000,-25.000000,-25.000000,0.000000,-306.205451,27,5,5,182.814367,0.954545
1070,89,678.084900,6730.544271,1079.376465,80.138885,105.138885,0.010000,0.010000,-25.000000,-25.000000,0.000000,-331.205451,28,5,5,182.814367,0.954545
1071,89,519.198425,4096.858084,740.572876,83.371078,108.371078,0.010000,0.010000,-25.000000,-25.000000,0.000000,-356.205451,29,5,5,182.814367,0.954545
1072,89,413.296204,5106.050068,759.842651,99.446823,124.446823,0.010000,0.010000,-25.000000,-25.000000,0.000000,-381.205451,30,5,5,182.814367,0.954545
1073,89,192.694305,5139.933332,913.520142,74.173958,99.173958,0.010000,0.010000,-25.000000,-25.000000,0.000000,-406.205451,31,5,5,182.814367,0.954545
1074,89,462.318542,8593.567587,780.266846,81.298347,106.298347,0.010000,0.010000,-25.000000,-25.000000,0.000000,-431.205451,32,5,5,182.814367,0.954545
1075,89,311.621765,3682.389547,941.767761,78.621696,103.621696,0.010000,0.010000,-25.000000,-25.000000,0.000000,-456.205451,33,5,5,182.814367,0.954545
1076,89,453.574249,4206.268927,926.092346,56.443703,81.443703,0.010000,0.010000,-25.000000,-25.000000,0.000000,-481.205451,34,5,5,182.814367,0.954545
1077,89,571.777405,3790.273050,948.192566,90.779839,69.206365,0.010000,0.010000,21.573473,21.573473,0.000000,-459.631977,35,5,6,182.814367,0.954545
1078,89,379.513336,6815.616953,865.760132,71.789917,96.789917,0.010000,0.010000,-25.000000,-25.000000,0.000000,-484.631977,36,5,6,182.814367,0.954545
1079,89,313.106018,9591.713493,771.055359,77.642120,102.642120,0.010000,0.010000,-25.000000,-25.000000,0.000000,-509.631977,37,5,6,182.814367,0.954545
1080,89,266.257996,3592.369524,996.940186,81.709908,106.709908,0.010000,0.010000,-25.000000,-25.000000,0.000000,-534.631977,38,5,6,182.814367,0.954545
1081,89,160.603210,8757.087088,780.707153,70.623749,95.623749,0.010000,0.010000,-25.000000,-25.000000,0.000000,-559.631977,39,5,6,182.814367,0.954545
1082,89,390.108215,3257.494240,715.699707,78.422729,103.422729,0.010000,0.010000,-25.000000,-25.000000,0.000000,-584.631977,40,5,6,182.814367,0.954545
1083,89,453.287140,5123.442053,1044.231445,68.027451,93.027451,0.010000,0.010000,-25.000000,-25.000000,0.000000,-609.631977,41,5,6,182.814367,0.954545
1084,89,624.615845,5261.203321,847.089600,69.092079,94.092079,0.010000,0.010000,-25.000000,-25.000000,0.000000,-634.631977,42,5,6,182.814367,0.954545
1085,89,420.172852,2275.955711,728.906494,72.132538,97.132538,0.010000,0.010000,-25.000000,-25.000000,0.000000,-659.631977,43,5,6,182.814367,0.954545
1086,89,435.213623,3457.315805,618.925903,76.046036,101.046036,0.010000,0.010000,-25.000000,-25.000000,0.000000,-684.631977,44,5,6,182.814367,0.954545
1087,89,337.083740,6527.214008,961.950867,76.841591,101.841591,0.010000,0.010000,-25.000000,-25.000000,0.000000,-709.631977,45,5,6,182.814367,0.954545
1088,89,298.456238,6070.616867,1121.797119,90.426353,115.426353,0.010000,0.010000,-25.000000,-25.000000,0.000000,-734.631977,46,5,6,182.814367,0.954545
1089,89,448.263580,4834.491047,691.128662,79.532669,104.532669,0.010000,0.010000,-25.000000,-25.000000,0.000000,-759.631977,47,5,6,182.814367,0.954545
1090,89,332.398071,6314.636135,1167.804199,77.181770,102.181770,0.010000,0.010000,-25.000000,-25.000000,0.000000,-784.631977,48,5,6,182.814367,0.954545
1091,89,279.153076,5439.510353,674.203491,80.127228,76.313563,0.010000,0.010000,3.813664,3.813664,0.000000,-780.818313,49,5,7,182.814367,0.954545
1092,89,502.125702,8172.877983,739.788391,65.519417,65.519417,0.010000,0.010000,0.000000,0.000000,0.000000,-780.818313,50,5,7,182.814367,0.954545
1093,90,563.143066,3038.068424,935.582520,118.506752,74.648064,0.010000,0.010000,43.858688,3.701835,40.156853,43.858688,1,1,1,171.987033,0.952559
1094,90,540.898926,1406.600597,761.513184,123.092155,76.400317,0.010000,0.010000,46.691838,7.155674,39.536164,90.550526,2,2,2,171.987033,0.952559
1095,90,226.968719,4458.561924,782.595093,109.662926,61.746983,0.010000,0.010000,47.915943,8.217907,39.698036,138.466469,3,3,3,171.987033,0.952559
1096,90,484.857544,5736.928143,1025.988037,94.921341,88.366988,0.010000,0.010000,6.554353,16.554353,-10.000000,145.020822,4,4,4,171.987033,0.952559
1097,90,376.308014,7342.572433,788.941528,68.602325,20.877736,0.010000,0.010000,47.724589,8.217907,39.506682,192.745411,5,5,5,171.987033,0.952559
1098,90,355.083435,4865.208813,659.889893,71.366112,61.623016,0.010000,0.010000,9.743095,9.743095,0.000000,202.488506,6,5,6,171.987033,0.952559
1099,90,426.230896,2968.174519,834.780334,73.962280,66.456071,0.010000,0.010000,7.506209,7.506209,0.000000,209.994715,7,5,7,171.987033,0.952559
1100,90,507.701782,7671.219681,919.770630,87.263969,68.374896,0.010000,0.010000,18.889074,18.889074,0.000000,228.883789,8,5,8,171.987033,0.952559
1101,90,358.781738,5448.306641,1016.432678,65.407715,-3.647104,0.010000,0.010000,69.054819,69.054819,0.000000,297.938608,9,5,9,171.987033,0.952559
1102,91,406.455750,4995.667145,710.353271,132.883408,104.857211,0.010000,0.010000,28.026197,8.036135,19.990062,28.026197,1,1,1,173.386495,0.953086
1103,91,472.048431,3904.231136,847.845703,122.926346,75.766074,0.010000,0.010000,47.160272,7.605619,39.554652,75.186469,2,2,2,173.386495,0.953086
1104,91,288.905334,4490.500587,632.345337,113.106476,114.888569,0.010000,0.010000,-1.782093,8.217907,-10.000000,73.404376,3,3,3,173.386495,0.953086
1105,91,300.380035,3066.082886,1090.022705,99.329178,95.212541,0.010000,0.010000,4.116636,4.116636,0.000000,77.521012,4,4,4,173.386495,0.953086
1106,91,208.808594,8193.664597,919.952271,101.201973,52.984547,0.010000,0.010000,48.217426,7.221466,40.995960,125.738438,5,5,5,173.386495,0.953086
1107,91,667.684814,4255.206440,873.571167,101.969460,94.813786,0.010000,0.010000,7.155674,7.155674,0.000000,132.894112,6,5,6,173.386495,0.953086
1108,91,583.773804,5184.559563,733.083740,89.469093,81.199052,0.010000,0.010000,8.270041,8.270041,0.000000,141.164153,7,5,7,173.386495,0.953086
1109,91,349.241302,2389.993279,617.377197,72.356346,97.356346,0.010000,0.010000,-25.000000,-25.000000,0.000000,116.164153,8,5,7,173.386495,0.953086
1110,91,738.022339,6022.445702,748.722839,68.988434,93.988434,0.010000,0.010000,-25.000000,-25.000000,0.000000,91.164153,9,5,7,173.386495,0.953086
1111,91,305.675781,4645.780231,946.086548,68.091713,93.091713,0.010000,0.010000,-25.000000,-25.000000,0.000000,66.164153,10,5,7,173.386495,0.953086
1112,91,507.412109,4589.212276,715.918396,73.991364,25.321611,0.010000,0.010000,48.669752,48.669752,0.000000,114.833905,11,5,8,173.386495,0.953086
1113,92,672.729919,6205.355553,973.206787,116.819817,67.294461,0.010000,0.010000,49.525356,5.820310,43.705047,49.525356,1,1,1,172.743060,0.952381
1114,92,412.528931,2509.118782,825.791138,124.831581,109.173088,0.010000,0.010000,15.658493,15.658493,0.000000,65.183849,2,1,2,172.743060,0.952381
1115,92,304.641815,5692.046799,1097.357178,126.241791,78.743588,0.010000,0.010000,47.498203,7.432299,40.065904,112.682052,3,2,3,172.743060,0.952381
1116,92,328.200745,6623.935188,681.403809,103.776840,106.138079,0.010000,0.010000,-2.361239,7.638761,-10.000000,110.320813,4,3,4,172.743060,0.952381
1117,92,448.845367,4385.537655,732.094727,110.004745,61.729300,0.010000,0.010000,48.275445,7.339873,40.935572,158.596258,5,4,5,172.743060,0.952381
1118,92,472.866638,8004.260315,925.107788,93.655594,46.192362,0.010000,0.010000,47.463232,7.506209,39.957023,206.059490,6,5,6,172.743060,0.952381
1119,92,224.788696,3069.867016,924.646484,82.548767,74.452891,0.010000,0.010000,8.095876,8.095876,0.000000,214.155366,7,5,7,172.743060,0.952381
1120,92,364.788696,9369.905903,775.449219,91.704140,84.197931,0.010000,0.010000,7.506209,7.506209,0.000000,221.661575,8,5,8,172.743060,0.952381
1121,92,253.415985,4888.417614,890.895996,65.258408,-3.795945,0.010000,0.010000,69.054353,69.054353,0.000000,290.715928,9,5,9,172.743060,0.952381
1122,93,293.368256,2099.416565,660.735352,122.529411,76.476506,0.010000,0.010000,46.052906,2.371630,43.681275,46.052906,1,1,1,174.025374,0.952899
1123,93,501.833618,6017.385197,698.347534,133.866089,84.728147,0.010000,0.010000,49.137942,9.718461,39.419481,95.190848,2,2,2,174.025374,0.952899
1124,93,624.884460,1547.320782,917.825989,112.444748,66.282622,0.010000,0.010000,46.162126,5.534279,40.627847,141.352974,3,3,3,174.025374,0.952899
1125,93,397.340271,4309.707699,720.046936,95.680969,91.407507,0.010000,0.010000,4.273462,4.273462,0.000000,145.626436,4,4,4,174.025374,0.952899
1126,93,473.471893,6674.464626,633.455139,79.250786,64.877317,0.010000,0.010000,14.373469,-25.000000,39.373469,159.999905,5,5,4,174.025374,0.952899
1127,93,239.042648,1452.484959,512.066162,66.255531,91.255531,0.010000,0.010000,-25.000000,-25.000000,0.000000,134.999905,6,5,4,174.025374,0.952899
1128,93,571.860840,7509.710232,1043.734985,83.344650,108.344650,0.010000,0.010000,-25.000000,-25.000000,0.000000,109.999905,7,5,4,174.025374,0.952899
1129,93,445.868591,6709.187538,1022.745117,68.757584,93.757584,0.010000,0.010000,-25.000000,-25.000000,0.000000,84.999905,8,5,4,174.025374,0.952899
1130,93,349.088989,3021.898514,536.689697,65.865166,90.865166,0.010000,0.010000,-25.000000,-25.000000,0.000000,59.999905,9,5,4,174.025374,0.952899
1131,93,234.954071,5418.624969,732.768738,66.160645,49.595228,0.010000,0.010000,16.565416,16.565416,0.000000,76.565322,10,5,5,174.025374,0.952899
1132,93,407.466187,6531.293869,812.065308,73.215599,98.215599,0.010000,0.010000,-25.000000,-25.000000,0.000000,51.565322,11,5,5,174.025374,0.952899
1133,93,203.722351,8880.772114,744.036133,54.841202,79.841202,0.010000,0.010000,-25.000000,-25.000000,0.000000,26.565322,12,5,5,174.025374,0.952899
1134,93,207.264832,2970.508221,949.138123,58.540794,83.540794,0.010000,0.010000,-25.000000,-25.000000,0.000000,1.565322,13,5,5,174.025374,0.952899
1135,93,342.345947,8181.038387,960.891541,68.599754,93.599754,0.010000,0.010000,-25.000000,-25.000000,0.000000,-23.434678,14,5,5,174.025374,0.952899
1136,93,403.651123,4702.358795,685.356873,65.905869,90.905869,0.010000,0.010000,-25.000000,-25.000000,0.000000,-48.434678,15,5,5,174.025374,0.952899
1137,93,650.481079,4653.585979,705.361511,56.554871,81.554871,0.010000,0.010000,-25.000000,-25.000000,0.000000,-73.434678,16,5,5,174.025374,0.952899
1138,93,307.934357,8361.361786,804.738037,62.324844,87.324844,0.010000,0.010000,-25.000000,-25.000000,0.000000,-98.434678,17,5,5,174.025374,0.952899
1139,93,548.776794,9614.220787,665.222717,63.901409,88.901409,0.010000,0.010000,-25.000000,-25.000000,0.000000,-123.434678,18,5,5,174.025374,0.952899
1140,93,320.518982,3127.237759,702.984009,63.471634,88.471634,0.010000,0.010000,-25.000000,-25.000000,0.000000,-148.434678,19,5,5,174.025374,0.952899
1141,93,312.657715,9637.508991,888.350037,59.226475,84.226475,0.010000,0.010000,-25.000000,-25.000000,0.000000,-173.434678,20,5,5,174.025374,0.952899
1142,93,339.592285,12405.433002,1247.218018,62.715302,87.715302,0.010000,0.010000,-25.000000,-25.000000,0.000000,-198.434678,21,5,5,174.025374,0.952899
1143,93,361.084381,5097.692776,950.117188,70.954033,95.954033,0.010000,0.010000,-25.000000,-25.000000,0.000000,-223.434678,22,5,5,174.025374,0.952899
1144,93,296.516724,8313.704800,947.387939,65.337288,90.337288,0.010000,0.010000,-25.000000,-25.000000,0.000000,-248.434678,23,5,5,174.025374,0.952899
1145,93,252.569824,3466.710392,872.236572,59.243916,84.243916,0.010000,0.010000,-25.000000,-25.000000,0.000000,-273.434678,24,5,5,174.025374,0.952899
1146,93,255.830688,6464.248199,822.181030,53.685421,78.685421,0.010000,0.010000,-25.000000,-25.000000,0.000000,-298.434678,25,5,5,174.025374,0.952899
1147,93,526.564941,9407.771587,522.851135,61.785950,86.785950,0.010000,0.010000,-25.000000,-25.000000,0.000000,-323.434678,26,5,5,174.025374,0.952899
1148,93,432.911804,6667.164104,578.092590,70.295692,95.295692,0.010000,0.010000,-25.000000,-25.000000,0.000000,-348.434678,27,5,5,174.025374,0.952899
1149,93,252.071228,8731.774811,674.653381,62.633499,87.633499,0.010000,0.010000,-25.000000,-25.000000,0.000000,-373.434678,28,5,5,174.025374,0.952899
1150,93,473.949249,6801.026718,721.360046,54.701752,79.701752,0.010000,0.010000,-25.000000,-25.000000,0.000000,-398.434678,29,5,5,174.025374,0.952899
1151,93,468.240784,9264.116711,502.739075,63.190933,88.190933,0.010000,0.010000,-25.000000,-25.000000,0.000000,-423.434678,30,5,5,174.025374,0.952899
1152,93,476.371307,9803.672585,807.665100,67.471901,92.471901,0.010000,0.010000,-25.000000,-25.000000,0.000000,-448.434678,31,5,5,174.025374,0.952899
1153,93,471.025391,10149.789112,830.972595,64.493919,89.493919,0.010000,0.010000,-25.000000,-25.000000,0.000000,-473.434678,32,5,5,174.025374,0.952899
1154,93,284.544922,3564.658836,758.886475,63.131329,88.131329,0.010000,0.010000,-25.000000,-25.000000,0.000000,-498.434678,33,5,5,174.025374,0.952899
1155,93,402.027100,6752.359581,1063.207764,57.768486,82.768486,0.010000,0.010000,-25.000000,-25.000000,0.000000,-523.434678,34,5,5,174.025374,0.952899
1156,93,400.351257,4027.870136,804.998779,61.120171,86.120171,0.010000,0.010000,-25.000000,-25.000000,0.000000,-548.434678,35,5,5,174.025374,0.952899
1157,93,569.908508,5896.737598,472.502319,66.673370,91.673370,0.010000,0.010000,-25.000000,-25.000000,0.000000,-573.434678,36,5,5,174.025374,0.952899
1158,93,299.506226,8105.260372,685.579102,61.799496,86.799496,0.010000,0.010000,-25.000000,-25.000000,0.000000,-598.434678,37,5,5,174.025374,0.952899
1159,93,316.236084,5216.455563,1102.311646,66.898087,91.898087,0.010000,0.010000,-25.000000,-25.000000,0.000000,-623.434678,38,5,5,174.025374,0.952899
1160,93,229.791367,5156.675198,829.758667,78.371422,61.665977,0.010000,0.010000,16.705444,16.705444,0.000000,-606.729234,39,5,6,174.025374,0.952899
1161,93,241.365555,4919.681591,568.283569,51.581505,76.581505,0.010000,0.010000,-25.000000,-25.000000,0.000000,-631.729234,40,5,6,174.025374,0.952899
1162,93,245.737976,3603.419250,538.295959,57.239048,82.239048,0.010000,0.010000,-25.000000,-25.000000,0.000000,-656.729234,41,5,6,174.025374,0.952899
1163,93,283.277832,5033.363789,627.288818,64.270798,54.632364,0.010000,0.010000,9.638434,9.638434,0.000000,-647.090800,42,5,7,174.025374,0.952899
1164,93,562.184570,8172.026005,1092.380127,64.801003,89.801003,0.010000,0.010000,-25.000000,-25.000000,0.000000,-672.090800,43,5,7,174.025374,0.952899
1165,93,541.369995,7482.081963,841.519409,65.552330,90.552330,0.010000,0.010000,-25.000000,-25.000000,0.000000,-697.090800,44,5,7,174.025374,0.952899
1166,93,366.517456,10160.617905,788.613037,57.389507,82.389507,0.010000,0.010000,-25.000000,-25.000000,0.000000,-722.090800,45,5,7,174.025374,0.952899
1167,93,611.360474,3374.542576,570.049011,66.489952,91.489952,0.010000,0.010000,-25.000000,-25.000000,0.000000,-747.090800,46,5,7,174.025374,0.952899
1168,93,582.203247,4324.685375,907.821167,61.246639,86.246639,0.010000,0.010000,-25.000000,-25.000000,0.000000,-772.090800,47,5,7,174.025374,0.952899
1169,93,414.091522,3541.840664,815.489746,65.404503,90.404503,0.010000,0.010000,-25.000000,-25.000000,0.000000,-797.090800,48,5,7,174.025374,0.952899
1170,93,529.517578,2935.781471,489.586792,64.926125,89.926125,0.010000,0.010000,-25.000000,-25.000000,0.000000,-822.090800,49,5,7,174.025374,0.952899
1171,93,452.668488,8916.327110,968.927063,68.737762,68.737762,0.010000,0.010000,0.000000,0.000000,0.000000,-822.090800,50,5,7,174.025374,0.952899
1172,94,390.511841,5191.480236,694.721313,134.041260,107.525072,0.010000,0.010000,26.516187,3.179047,23.337140,26.516187,1,1,1,163.314447,0.951016
1173,94,718.172852,10117.813999,614.825439,118.372169,73.474580,0.010000,0.010000,44.897590,5.407684,39.489906,71.413777,2,2,2,163.314447,0.951016
1174,94,459.977783,5473.925220,402.818268,111.574158,114.816463,0.010000,0.010000,-3.242305,6.757695,-10.000000,68.171472,3,3,3,163.314447,0.951016
1175,94,610.472412,12361.688992,669.682190,109.035995,92.522218,0.010000,0.010000,16.513777,16.513777,0.000000,84.685249,4,4,4,163.314447,0.951016
1176,94,555.285645,10901.675606,863.449463,106.402298,108.839219,0.010000,0.010000,-2.436921,7.563079,-10.000000,82.248329,5,5,5,163.314447,0.951016
1177,94,528.063965,4754.430885,878.640503,89.298012,72.655679,0.010000,0.010000,16.642333,16.642333,0.000000,98.890662,6,5,6,163.314447,0.951016
1178,94,538.153564,13874.035172,728.234131,85.247772,72.834259,0.010000,0.010000,12.413513,12.413513,0.000000,111.304175,7,5,7,163.314447,0.951016
1179,94,435.900635,6627.266266,1152.197266,77.759445,54.534522,0.010000,0.010000,23.224923,23.224923,0.000000,134.529098,8,5,8,163.314447,0.951016
1180,94,508.957550,7329.753094,865.707825,75.341331,15.822047,0.010000,0.010000,59.519285,59.519285,0.000000,194.048383,9,5,9,163.314447,0.951016
1181,95,219.513840,5979.242065,865.892334,128.409973,81.431876,0.010000,0.010000,46.978097,7.551500,39.426597,46.978097,1,1,1,163.641404,0.951537
1182,95,532.625610,5448.602917,563.570068,126.311378,111.491810,0.010000,0.010000,14.819569,-25.000000,39.819569,61.797666,2,2,1,163.641404,0.951537
1183,95,316.939056,6851.559486,680.429565,120.552887,104.908558,0.010000,0.010000,15.644329,-25.000000,40.644329,77.441995,3,3,1,163.641404,0.951537
