step,episode,loss_ddqn,loss_masac,loss_cvd,q_value_ddqn,q_overestimation_ddqn,epsilon_ddqn,epsilon_masac,reward_total,reward_agent1,reward_agent2,episode_reward,episode_length,episode_reshuffles,cubes_picked,avg_reward_100,success_rate
181,19,,,,0.101112,-6.453241,0.403625,0.201812,6.554353,16.554353,-10.000000,205.298857,5,5,5,257.510496,0.969136
182,19,,,,0.147068,-13.002811,0.401606,0.200803,13.149879,13.149879,0.000000,218.448736,6,5,6,257.510496,0.969136
183,19,,,,0.130313,-7.242143,0.399598,0.199799,7.372456,7.372456,0.000000,225.821191,7,5,7,257.510496,0.969136
184,19,,,,0.096309,-17.276525,0.397600,0.198800,17.372834,17.372834,0.000000,243.194025,8,5,8,257.510496,0.969136
185,19,,,,0.091701,-60.679929,0.395612,0.197806,60.771630,60.771630,0.000000,303.965655,9,5,9,257.510496,0.969136
186,20,,,,0.101681,-55.174916,0.393634,0.196817,55.276597,15.353102,39.923495,55.276597,1,1,1,259.955504,0.970760
187,20,,,,0.068454,-58.744106,0.391666,0.195833,58.812559,15.575073,43.237487,114.089157,2,2,2,259.955504,0.970760
188,20,,,,0.073376,-46.877854,0.389708,0.194854,46.951230,7.227080,39.724151,161.040387,3,3,3,259.955504,0.970760
189,20,,,,0.051177,-47.491207,0.387759,0.193880,47.542384,7.965163,39.577221,208.582771,4,4,4,259.955504,0.970760
190,20,,,,0.085674,-47.634997,0.385821,0.192910,47.720671,8.217907,39.502764,256.303442,5,5,5,259.955504,0.970760
191,20,,,,0.049407,-16.371520,0.383891,0.191946,16.420927,16.420927,0.000000,272.724369,6,5,6,259.955504,0.970760
192,20,,,,0.092394,-7.413814,0.381972,0.190986,7.506209,7.506209,0.000000,280.230578,7,5,7,259.955504,0.970760
193,20,,,,0.045532,-13.112107,0.380062,0.190031,13.157639,13.157639,0.000000,293.388217,8,5,8,259.955504,0.970760
194,20,,,,0.050291,-57.857392,0.378162,0.189081,57.907684,57.907684,0.000000,351.295900,9,5,9,259.955504,0.970760
195,21,,,,0.097156,-59.401814,0.376271,0.188135,59.498970,16.280804,43.218166,59.498970,1,1,1,264.522524,0.972222
196,21,,,,0.068203,-49.356579,0.374390,0.187195,49.424782,8.319988,41.104794,108.923752,2,2,2,264.522524,0.972222
197,21,,,,0.068854,-2.338993,0.372518,0.186259,2.407848,7.407848,-5.000000,111.331599,3,3,3,264.522524,0.972222
198,21,,,,0.072380,-56.547300,0.370655,0.185328,56.619680,16.689172,39.930507,167.951279,4,4,4,264.522524,0.972222
199,21,,,,0.059936,-9.989605,0.368802,0.184401,10.049542,10.049542,0.000000,178.000821,5,5,5,264.522524,0.972222
200,21,,,,0.088072,-7.877935,0.366958,0.183479,7.966007,7.966007,0.000000,185.966827,6,5,6,264.522524,0.972222
201,21,,,,0.031255,-23.581074,0.365123,0.182562,23.612329,23.612329,0.000000,209.579156,7,5,7,264.522524,0.972222
202,21,,,,0.066565,-19.320310,0.363297,0.181649,19.386876,19.386876,0.000000,228.966032,8,5,8,264.522524,0.972222
203,21,,,,0.050279,-56.263385,0.361481,0.180740,56.313664,56.313664,0.000000,285.279696,9,5,9,264.522524,0.972222
204,22,,,,0.063956,-56.894872,0.359674,0.179837,56.958828,16.184255,40.774572,56.958828,1,1,1,265.510961,0.973545
