episode,total_reward,reward_agent1_total,reward_agent2_total,length,cubes_picked,success,reshuffles,distance_reduced,time_saved,avg_q_value,avg_q_overestimation,avg_reward_100,success_rate_100
46,339.760606,135.002695,204.757911,9,9,1.000000,5,0.628955,1.257911,30.364124,-7.387054,199.878953,0.956522
47,234.263135,130.910787,103.352348,9,9,1.000000,5,0.176174,0.352348,24.932002,-1.097235,200.610531,0.957447
48,241.487199,140.817392,100.669807,9,9,1.000000,5,0.334904,0.669807,27.077474,0.245563,201.462129,0.958333
49,227.186482,150.696747,76.489734,9,9,1.000000,5,-0.755133,-1.510266,31.156121,5.913179,201.987115,0.959184
50,247.319309,143.221150,104.098159,9,9,1.000000,5,-0.200920,-0.401841,27.361437,-0.118486,202.893759,0.960000
51,126.470803,15.140344,111.330458,12,8,0.888889,5,-0.084771,-0.169542,16.242550,5.703317,201.395270,0.958606
52,270.166109,146.497654,123.668455,9,9,1.000000,5,0.334228,0.668455,39.522109,9.503653,202.717786,0.959402
53,275.240770,163.518792,111.721978,9,9,1.000000,5,0.110989,0.221978,35.759763,5.177455,204.086144,0.960168
54,350.332500,138.787270,211.545230,9,9,1.000000,5,-0.477385,-0.954770,33.837370,-5.088463,206.794410,0.960905
55,184.741567,64.112622,120.628945,10,8,0.888889,5,-0.435527,-0.871055,38.966206,20.492050,206.393449,0.959596
56,289.987756,140.240010,149.747746,9,9,1.000000,5,0.123873,0.247746,40.053029,7.832168,207.886205,0.960317
57,-847.893861,-968.135995,120.242134,50,7,0.777778,5,0.121067,0.242134,19.504868,36.462745,189.363747,0.957115
58,295.316089,133.940571,161.375518,9,9,1.000000,5,0.187759,0.375518,50.319665,17.506766,191.190512,0.957854
59,297.412924,144.468039,152.944885,9,9,1.000000,5,0.222442,0.444885,48.125637,15.079756,192.990892,0.958569
60,296.032042,136.385822,159.646220,9,9,1.000000,5,0.073110,0.146220,50.135318,17.242869,194.708244,0.959259
61,253.370969,131.629826,121.741143,9,9,1.000000,5,0.120571,0.241143,51.918360,23.766030,195.669928,0.959927
62,228.573307,151.454650,77.118657,9,9,1.000000,5,-0.440672,-0.881343,48.026124,22.629090,196.200628,0.960573
63,254.661331,140.701176,113.960155,9,9,1.000000,5,-0.269923,-0.539845,52.988059,24.692355,197.128576,0.961199
64,210.258852,47.814862,162.443990,11,8,0.888889,5,-0.028005,-0.056010,42.536028,23.421587,197.333736,0.960069
65,311.287005,156.447168,154.839837,9,9,1.000000,5,-0.330081,-0.660163,51.365801,16.778356,199.086863,0.960684
66,284.495971,132.724579,151.771392,9,9,1.000000,5,1.135696,2.271392,61.153976,29.543313,200.380941,0.961279
67,295.392953,128.159563,167.233390,9,9,1.000000,5,-0.633305,-1.266610,65.203678,32.382239,201.799031,0.961857
68,247.977326,139.012434,108.964893,9,9,1.000000,5,0.232446,0.464893,56.586680,29.033643,202.478123,0.962418
69,178.437755,66.006561,112.431193,10,8,0.888889,5,-0.284403,-0.568807,55.062612,37.218837,202.129712,0.961353
70,207.636956,134.344543,73.292413,9,9,1.000000,5,-0.103793,-0.207587,61.485413,38.414640,202.208387,0.961905
71,-829.257488,-981.743487,152.485998,50,7,0.777778,5,-0.007001,-0.014002,40.688638,57.273788,187.680699,0.959311
72,212.434074,132.080730,80.353343,9,9,1.000000,5,0.176672,0.353343,57.752941,34.149155,188.024495,0.959877
73,266.395857,63.360951,203.034906,10,8,0.888889,5,-0.232547,-0.465094,63.197430,36.557844,189.098076,0.958904
74,226.506770,151.833619,74.673151,9,9,1.000000,5,-0.163425,-0.326849,66.651903,41.484484,189.603599,0.959459
75,-927.291947,-1049.176003,121.884056,50,5,0.555556,5,0.192028,0.384056,45.950078,64.495917,174.711658,0.954074
76,260.136988,145.275024,114.861964,9,9,1.000000,5,0.680982,1.361964,74.982049,46.077939,175.835676,0.954678
77,174.444039,113.719582,60.724457,8,8,0.888889,5,0.112229,0.224457,83.667789,61.862284,175.817602,0.953824
78,303.236780,141.652074,161.584706,9,9,1.000000,5,0.292353,0.584706,78.108915,44.415940,177.451181,0.954416
79,309.173948,156.540445,152.633503,9,9,1.000000,5,0.066751,0.133503,76.510668,42.158008,179.118558,0.954993
80,249.538368,128.371167,121.167201,9,9,1.000000,5,0.583600,1.167201,78.474162,50.747676,179.998806,0.955556
81,198.112822,138.464121,59.648701,9,9,1.000000,5,0.324351,0.648701,86.259288,64.246752,180.222436,0.956104
82,294.358693,150.785636,143.573057,8,8,0.888889,5,-0.213472,-0.426943,88.849360,52.054524,181.614341,0.955285
83,222.862734,158.908721,63.954013,9,9,1.000000,5,-0.522994,-1.045987,79.216805,54.454279,182.111310,0.955823
84,313.442363,153.705389,159.736973,9,9,1.000000,5,0.118487,0.236973,80.896986,46.070057,183.674775,0.956349
85,123.771787,-25.720846,149.492633,14,8,0.888889,5,-0.003683,-0.007367,75.927494,67.086652,182.970034,0.955556
86,74.110053,-25.885022,99.995075,14,7,0.777778,5,-0.002463,-0.004925,80.668553,75.374978,181.704220,0.953488
87,201.674053,142.241039,59.433014,9,9,1.000000,5,0.216507,0.433014,87.624741,65.216513,181.933758,0.954023
88,259.427294,149.816766,109.610528,9,9,1.000000,5,0.555264,1.110528,92.378379,63.553124,182.814367,0.954545
89,-780.818313,-983.493583,202.675270,50,7,0.777778,5,-0.412365,-0.824730,81.310107,96.926474,171.987033,0.952559
90,297.938608,149.040872,148.897735,9,9,1.000000,5,1.198868,2.397735,90.309508,57.205219,173.386495,0.953086
91,114.833905,24.293231,90.540675,11,8,0.888889,5,0.270337,0.540675,94.937617,84.498171,172.743060,0.952381
92,290.715928,136.052383,154.663545,9,9,1.000000,5,0.331773,0.663545,101.649076,69.347306,174.025374,0.952899
93,-822.090800,-985.192872,163.102072,50,7,0.777778,5,-0.448964,-0.897928,68.412983,84.854799,163.314447,0.951016
94,194.048383,151.221336,42.827046,9,9,1.000000,5,-0.336477,-0.672954,100.785827,79.224895,163.641404,0.951537
95,47.486257,-153.151143,200.637400,19,8,0.888889,5,0.068700,0.137400,107.784657,105.285380,162.418718,0.950877
96,103.328031,52.363388,50.964644,12,8,0.888889,5,0.232322,0.464644,110.029614,101.418945,161.803190,0.950231
97,324.659603,171.291515,153.368088,9,9,1.000000,5,0.434044,0.868088,113.828771,77.755482,163.482122,0.950745
98,52.200575,-92.407195,144.607769,17,8,0.888889,5,-0.446115,-0.892231,101.522039,98.451417,162.346596,0.950113
99,248.454710,144.280974,104.173735,9,9,1.000000,5,-0.163132,-0.326265,112.904429,85.298350,163.216375,0.950617
100,179.040312,158.978772,20.061541,9,9,1.000000,5,0.280770,0.561541,113.745798,93.852430,163.374615,0.951111
101,-343.903341,-465.293903,121.390562,30,8,0.888889,5,-0.554719,-1.109438,89.532976,100.996420,156.732187,0.951111
102,306.093558,142.309774,163.783784,9,9,1.000000,5,-0.108108,-0.216216,113.786251,79.775856,157.081337,0.951111
103,262.569788,145.730295,116.839493,9,9,1.000000,5,0.169746,0.339493,122.189739,93.015318,156.733173,0.951111
104,160.142049,58.374836,101.767213,11,8,0.888889,5,0.133607,0.267213,124.672802,110.114434,155.302638,0.950000
105,250.338463,141.335433,109.003030,9,9,1.000000,5,0.251515,0.503030,123.286998,95.471614,156.293592,0.951111
106,-141.357679,-260.062837,118.705158,24,8,0.888889,5,0.102579,0.205158,121.864741,127.754644,151.484788,0.950000
107,125.556557,15.692558,109.863999,12,8,0.888889,5,-0.068001,-0.136001,118.442113,107.979066,149.529260,0.948889
108,294.090058,132.410694,161.679364,9,9,1.000000,5,-0.410318,-0.820636,118.962141,86.285468,149.923634,0.948889
109,-3.051840,-72.947789,69.895949,16,8,0.888889,5,0.447974,0.895949,133.018464,133.209204,146.475248,0.947778
110,255.715887,133.864124,121.851762,9,9,1.000000,5,0.175881,0.351762,120.311866,91.898990,146.408091,0.947778
111,192.134284,87.204777,104.929507,9,8,0.888889,5,-0.535246,-1.070493,120.033545,98.685291,144.691722,0.946667
112,215.969706,51.273657,164.696049,11,8,0.888889,5,-0.401976,-0.803951,130.074769,110.441160,143.840241,0.945556
113,254.233569,148.482134,105.751434,9,9,1.000000,5,1.125717,2.251434,142.089895,113.841720,144.534755,0.946667
114,254.004120,153.661243,100.342877,9,9,1.000000,5,0.171439,0.342877,127.056596,98.833916,146.268459,0.947778
115,240.469788,121.486755,118.983033,9,8,0.888889,5,0.241517,0.483033,139.479579,112.760713,148.741217,0.947778
116,131.519528,70.250203,61.269325,10,8,0.888889,5,-0.365338,-0.730675,133.006644,119.854692,147.540047,0.946667
117,209.466897,135.692005,73.774891,9,9,1.000000,5,-0.612554,-1.225109,130.778858,107.504759,146.730502,0.946667
118,305.985865,153.285669,152.700195,9,9,1.000000,5,0.100098,0.200195,138.470362,104.471933,146.722498,0.946667
119,-826.198641,-991.674050,165.475409,50,7,0.777778,5,-0.762295,-1.524591,115.613907,132.137880,135.420855,0.944444
120,189.955670,27.951756,162.003913,12,8,0.888889,5,-0.248043,-0.496087,139.718973,123.889333,133.807453,0.943333
121,237.073874,126.716484,110.357390,10,9,1.000000,5,0.178695,0.357390,129.258986,105.551599,133.325394,0.943333
122,146.995349,34.224060,112.771289,12,8,0.888889,5,-0.114355,-0.228711,136.768576,124.518963,132.504367,0.942222
123,301.703532,139.712491,161.991041,9,9,1.000000,5,-0.254479,-0.508959,144.440482,110.917868,136.468444,0.944444
124,-873.102508,-1025.848291,152.745783,50,6,0.666667,5,-0.627109,-1.254217,116.792470,134.254520,125.085150,0.941111
125,-863.160294,-1017.604983,154.444688,50,6,0.666667,5,-0.527656,-1.055312,123.855391,141.118597,113.803941,0.937778
126,322.800676,161.838376,160.962299,9,9,1.000000,5,0.731150,1.462299,153.551972,117.685231,114.571488,0.937778
127,279.500230,129.595336,149.904894,9,9,1.000000,5,0.202447,0.404894,155.158490,124.102909,115.247625,0.938889
128,320.354356,155.244048,165.110308,9,9,1.000000,5,-0.194846,-0.389692,152.175233,116.580304,116.064189,0.938889
129,289.928836,130.112791,159.816045,9,9,1.000000,5,0.158023,0.316045,154.528575,122.314260,117.015343,0.938889
130,265.030246,150.551382,114.478864,9,9,1.000000,5,-0.010568,-0.021136,148.557646,119.109841,122.241608,0.940000
131,-832.213817,-984.590766,152.376949,50,7,0.777778,5,-0.061526,-0.123051,140.226523,156.870800,111.323216,0.937778
132,-718.580136,-778.293256,59.713120,43,8,0.888889,5,0.356560,0.713120,139.392114,156.103280,101.370179,0.936667
133,214.647239,144.149945,70.497294,9,9,1.000000,5,-0.001353,-0.002706,167.814078,143.964385,101.585737,0.936667
134,251.446046,138.011972,113.434074,9,9,1.000000,5,0.217037,0.434074,170.140938,142.202488,102.586805,0.937778
135,-154.249027,-305.916562,151.667536,25,8,0.888889,5,-0.416232,-0.832464,156.766574,162.936535,101.675405,0.937778
136,-349.721777,-463.461980,113.740203,31,8,0.888889,5,-0.379899,-0.759797,156.618125,167.899473,95.446014,0.936667
137,-87.666475,-177.888473,90.221999,21,8,0.888889,5,0.110999,0.221999,170.584122,174.758716,91.550424,0.935556
138,331.635251,171.953505,159.681746,9,9,1.000000,5,0.840873,1.681746,187.043149,150.194788,104.174789,0.940000
