global_timestep,episode,step_in_episode,reward,cumulative_reward,reshuffled,distance_reduced,time_saved,cubes_picked,done,truncated,algorithm,scenario,planner,seed,run_id
1,1,1,40.02274617445221,40.02274617445221,True,0.26137308722610575,0.5227461744522115,1,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,-1,1
2,1,2,40.25907346498718,80.28181963943939,True,0.6409098197196981,1.2818196394393961,2,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,-1,1
3,1,3,39.511280744192504,119.7931003836319,True,0.6465501918159515,1.293100383631903,3,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,-1,1
4,1,4,0.0,119.7931003836319,True,0.6465501918159515,1.293100383631903,4,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,-1,1
5,1,5,39.79278335303204,159.58588373666393,True,0.7929418683319733,1.5858837366639467,5,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,-1,1
6,1,6,0.0,159.58588373666393,False,0.7929418683319733,1.5858837366639467,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,-1,1
7,1,7,0.0,159.58588373666393,False,0.7929418683319733,1.5858837366639467,7,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,-1,1
8,1,8,0.0,159.58588373666393,False,0.7929418683319733,1.5858837366639467,8,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,-1,1
9,1,9,0.0,159.58588373666393,False,0.7929418683319733,1.5858837366639467,9,True,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,-1,1
10,2,1,40.94538535394505,40.94538535394505,True,-0.02730732302747385,-0.0546146460549477,1,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,-1,1
11,2,2,40.036124556181335,80.98150991012639,True,0.2407549550631949,0.4815099101263898,2,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,-1,1
12,2,3,40.17896875631561,121.160478666442,True,0.5802393332210023,1.1604786664420046,3,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,-1,1
13,2,4,39.765743820783996,160.926222487226,True,0.7131112436130016,1.4262224872260032,4,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,-1,1
14,2,5,39.50095555078735,200.42717803801335,True,0.7135890190066794,1.4271780380133587,5,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,-1,1
15,2,6,0.0,200.42717803801335,False,0.7135890190066794,1.4271780380133587,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,-1,1
16,2,7,0.0,200.42717803801335,False,0.7135890190066794,1.4271780380133587,7,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,-1,1
