global_timestep,episode,step_in_episode,reward,cumulative_reward,reshuffled,distance_reduced,time_saved,cubes_picked,done,truncated,algorithm,scenario,planner,seed,run_id
1,1,1,44.24255703209995,44.24255703209995,True,1.1212785160499776,2.2425570320999553,1,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
2,1,2,41.07960814384903,85.32216517594898,True,1.1610825879744924,2.3221651759489847,2,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
3,1,3,0.0,85.32216517594898,True,1.1610825879744924,2.3221651759489847,3,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
4,1,4,0.0,85.32216517594898,True,1.1610825879744924,2.3221651759489847,4,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
5,1,5,0.0,85.32216517594898,True,1.1610825879744924,2.3221651759489847,5,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
6,1,6,0.0,85.32216517594898,False,1.1610825879744924,2.3221651759489847,6,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
7,1,7,0.0,85.32216517594898,False,1.1610825879744924,2.3221651759489847,7,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
8,1,8,0.0,85.32216517594898,False,1.1610825879744924,2.3221651759489847,8,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
9,1,9,0.0,85.32216517594898,False,1.1610825879744924,2.3221651759489847,9,True,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
10,2,1,44.155920727244606,44.155920727244606,True,1.0779603636223043,2.1559207272446086,1,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
11,2,2,0.0,44.155920727244606,False,1.0779603636223043,2.1559207272446086,2,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
12,2,3,41.11549061684097,85.27141134408558,True,1.1357056720427907,2.2714113440855814,3,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
13,2,4,41.00000006107773,126.2714114051633,True,1.1357057025816548,2.2714114051633096,4,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
14,2,5,41.3810662641951,167.6524776693584,True,1.3262388346792042,2.6524776693584085,5,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
15,2,6,41.00000006107773,208.65247773043615,True,1.3262388652180683,2.6524777304361367,6,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
16,2,7,0.0,208.65247773043615,False,1.3262388652180683,2.6524777304361367,7,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
17,2,8,0.0,208.65247773043615,False,1.3262388652180683,2.6524777304361367,8,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
18,2,9,0.0,208.65247773043615,False,1.3262388652180683,2.6524777304361367,9,True,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
19,3,1,58.70118598036751,58.70118598036751,True,1.350592990183758,2.701185980367516,1,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
20,3,2,41.111551703495635,99.81273768386315,True,1.4063688419315759,2.8127376838631517,2,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
21,3,3,0.0,99.81273768386315,True,1.4063688419315759,2.8127376838631517,3,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
22,3,4,0.0,99.81273768386315,True,1.4063688419315759,2.8127376838631517,4,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
23,3,5,39.39387697128738,139.20661465515053,True,1.3533073275752678,2.7066146551505357,5,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
24,3,6,0.0,139.20661465515053,False,1.3533073275752678,2.7066146551505357,6,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
25,3,7,0.0,139.20661465515053,False,1.3533073275752678,2.7066146551505357,7,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
26,3,8,0.0,139.20661465515053,False,1.3533073275752678,2.7066146551505357,8,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
27,3,9,0.0,139.20661465515053,False,1.3533073275752678,2.7066146551505357,9,True,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
28,4,1,44.53159243015732,44.53159243015732,True,0.265796215078659,0.531592430157318,1,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
29,4,2,0.0,44.53159243015732,False,0.265796215078659,0.531592430157318,2,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
30,4,3,0.0,44.53159243015732,True,0.265796215078659,0.531592430157318,3,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
31,4,4,39.270037065389026,83.80162949554634,True,0.1508147477731725,0.301629495546345,4,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
32,4,5,0.0,83.80162949554634,True,0.1508147477731725,0.301629495546345,5,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
33,4,6,0.0,83.80162949554634,True,0.1508147477731725,0.301629495546345,6,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
34,4,7,0.0,83.80162949554634,False,0.1508147477731725,0.301629495546345,7,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
35,4,8,0.0,83.80162949554634,False,0.1508147477731725,0.301629495546345,8,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
36,4,9,0.0,83.80162949554634,False,0.1508147477731725,0.301629495546345,9,True,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
37,5,1,29.35361149757072,29.35361149757072,True,0.6768057487853605,1.353611497570721,1,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
38,5,2,39.23348153674828,68.587093034319,True,0.5435465171595004,1.0870930343190008,2,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
39,5,3,0.0,68.587093034319,True,0.5435465171595004,1.0870930343190008,3,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
40,5,4,39.34821850208725,107.93531153640625,True,0.46765576820312527,0.9353115364062505,4,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
41,5,5,0.0,107.93531153640625,True,0.46765576820312527,0.9353115364062505,5,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
42,5,6,0.0,107.93531153640625,False,0.46765576820312527,0.9353115364062505,6,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,-1,1
