Planner,num_episodes,total_timesteps,truncated_episodes,avg_episode_length,std_episode_length,avg_reward,std_reward,avg_reshuffles,std_reshuffles,avg_distance_reduced,std_distance_reduced,avg_time_saved,std_time_saved,avg_cubes_picked,success_rate
Isaac Sim RRT,50,859,10,17.18,16.577203427278913,150.18518268704574,43.50270398600821,5.0,0.0,0.8025913435228805,0.3401463245994489,1.605182687045761,0.6802926491988978,7.94,78.0
RRT Viz,50,443,0,8.86,0.4045657788144656,157.47410944236682,38.34256495167428,5.0,0.0,0.7070547211834084,0.4715383274405015,1.4141094423668168,0.943076654881003,8.86,88.0
A*,50,445,0,8.9,0.3030457633656632,115.70924689866997,40.33214362744965,5.0,0.0,0.7246234493349847,0.5572552679930165,1.4492468986699694,1.114510535986033,8.9,90.0
