global_timestep,episode,step_in_episode,reward,cumulative_reward,reshuffled,distance_reduced,time_saved,cubes_picked,done,truncated,algorithm,scenario,planner,seed,run_id
36,4,9,0.0,126.65941656967796,False,0.3297082848389836,0.6594165696779672,9,True,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
37,5,1,25.916340737034528,25.916340737034528,True,0.45817036851726356,0.9163407370345271,1,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
38,5,2,41.089518369717254,67.00585910675179,True,0.5029295533758908,1.0058591067517817,2,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
39,5,3,0.0,67.00585910675179,True,0.5029295533758908,1.0058591067517817,3,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
40,5,4,41.25946754364456,108.26532665039635,True,0.6326633251981717,1.2653266503963434,4,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
41,5,5,0.0,108.26532665039635,True,0.6326633251981717,1.2653266503963434,5,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
42,5,6,0.0,108.26532665039635,False,0.6326633251981717,1.2653266503963434,6,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
43,5,7,0.0,108.26532665039635,False,0.6326633251981717,1.2653266503963434,7,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
44,5,8,0.0,108.26532665039635,False,0.6326633251981717,1.2653266503963434,8,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
45,5,9,0.0,108.26532665039635,False,0.6326633251981717,1.2653266503963434,9,True,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
46,6,1,29.182019619633405,29.182019619633405,True,0.591009809816702,1.182019619633404,1,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
47,6,2,41.00000006107773,70.18201968071114,True,0.5910098403555661,1.1820196807111323,2,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
48,6,3,0.0,70.18201968071114,True,0.5910098403555661,1.1820196807111323,3,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
49,6,4,0.0,70.18201968071114,True,0.5910098403555661,1.1820196807111323,4,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
50,6,5,0.0,70.18201968071114,True,0.5910098403555661,1.1820196807111323,5,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
51,6,6,0.0,70.18201968071114,False,0.5910098403555661,1.1820196807111323,6,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
52,6,7,0.0,70.18201968071114,False,0.5910098403555661,1.1820196807111323,7,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
53,6,8,0.0,70.18201968071114,False,0.5910098403555661,1.1820196807111323,8,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
54,6,9,0.0,70.18201968071114,False,0.5910098403555661,1.1820196807111323,9,True,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
