global_timestep,episode,step_in_episode,reward,cumulative_reward,reshuffled,distance_reduced,time_saved,cubes_picked,done,truncated,algorithm,scenario,planner,seed,run_id
1,1,1,40.90011794473763,40.90011794473763,True,0.9500589723688156,1.9001179447376313,1,False,False,MASAC,grid4_cubes9_astar,A*,123,2
2,1,2,39.284655951033955,80.18477389577158,True,0.8423869478857929,1.6847738957715859,2,False,False,MASAC,grid4_cubes9_astar,A*,123,2
3,1,3,0.0,80.18477389577158,True,0.8423869478857929,1.6847738957715859,3,False,False,MASAC,grid4_cubes9_astar,A*,123,2
4,1,4,41.21108796454561,121.3958618603172,True,0.9479309301585991,1.8958618603171982,4,False,False,MASAC,grid4_cubes9_astar,A*,123,2
5,1,5,41.10280345613191,162.4986653164491,True,0.9993326582245547,1.9986653164491095,5,False,False,MASAC,grid4_cubes9_astar,A*,123,2
6,1,6,0.0,162.4986653164491,False,0.9993326582245547,1.9986653164491095,6,False,False,MASAC,grid4_cubes9_astar,A*,123,2
7,1,7,0.0,162.4986653164491,False,0.9993326582245547,1.9986653164491095,7,False,False,MASAC,grid4_cubes9_astar,A*,123,2
8,1,8,0.0,162.4986653164491,False,0.9993326582245547,1.9986653164491095,8,False,False,MASAC,grid4_cubes9_astar,A*,123,2
9,1,9,0.0,162.4986653164491,False,0.9993326582245547,1.9986653164491095,9,True,False,MASAC,grid4_cubes9_astar,A*,123,2
10,2,1,26.450293385700448,26.450293385700448,True,0.7251466928502233,1.4502933857004465,1,False,False,MASAC,grid4_cubes9_astar,A*,123,2
11,2,2,0.0,26.450293385700448,False,0.7251466928502233,1.4502933857004465,2,False,False,MASAC,grid4_cubes9_astar,A*,123,2
12,2,3,0.0,26.450293385700448,True,0.7251466928502233,1.4502933857004465,3,False,False,MASAC,grid4_cubes9_astar,A*,123,2
13,2,4,0.0,26.450293385700448,True,0.7251466928502233,1.4502933857004465,4,False,False,MASAC,grid4_cubes9_astar,A*,123,2
14,2,5,0.0,26.450293385700448,True,0.7251466928502233,1.4502933857004465,5,False,False,MASAC,grid4_cubes9_astar,A*,123,2
15,2,6,39.452069150750134,65.90236253645058,True,0.7011812682252915,1.402362536450583,6,False,False,MASAC,grid4_cubes9_astar,A*,123,2
16,2,7,0.0,65.90236253645058,False,0.7011812682252915,1.402362536450583,7,False,False,MASAC,grid4_cubes9_astar,A*,123,2
17,2,8,0.0,65.90236253645058,False,0.7011812682252915,1.402362536450583,8,False,False,MASAC,grid4_cubes9_astar,A*,123,2
18,3,1,44.30221731569405,44.30221731569405,True,1.151108657847026,2.302217315694052,1,False,False,MASAC,grid4_cubes9_astar,A*,123,2
19,3,2,0.0,44.30221731569405,False,1.151108657847026,2.302217315694052,2,False,False,MASAC,grid4_cubes9_astar,A*,123,2
