episode,total_reward,episode_length,reshuffles_performed,total_distance_reduced,total_time_saved,cubes_picked,success,algorithm,scenario,planner,seed,run_id
41,200.0566432167802,9,5,0.5283216083901103,1.0566432167802207,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
42,200.03173212730377,9,5,0.5158660636518935,1.031732127303787,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
43,161.73229364875633,9,5,0.3661468243781699,0.7322936487563398,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
44,199.8491633945154,9,5,1.1745816972577021,2.3491633945154042,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
45,201.92767400756904,9,5,0.7138370037845277,1.4276740075690555,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
46,162.03257703350982,9,5,0.5162885167549174,1.0325770335098348,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
47,190.10194778473402,9,5,1.0509738923670084,2.101947784734017,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
48,81.25595134281616,50,5,0.3779756714080831,0.7559513428161662,2,0.2222222222222222,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
49,202.261151044539,9,5,0.8805755222695049,1.7611510445390097,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
50,81.24810904049377,50,5,0.37405452024688923,0.7481090404937785,5,0.5555555555555556,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
51,200.95417274436173,9,5,0.9770863721808698,1.9541727443617396,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
52,161.19143176084148,9,5,0.845715880420749,1.691431760841498,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
53,200.68849888341762,9,5,0.8442494417088207,1.6884988834176413,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
