Planner,Seed,Avg_Reward,Avg_Cubes_Picked,Success_Rate_%,Avg_Reshuffles,Avg_Distance_Reduced_m,Avg_Time_Saved_s,Total_Episodes,Total_Timesteps
A*,42,113.13259165689384,8.778,97.53333333333335,5.0,0.7972958284469176,1.5945916568938352,500,4389
A*,123,110.62093949771055,8.866,98.5111111111111,5.0,0.823469748855274,1.646939497710548,500,4433
Isaac Sim RRT,42,174.69421145678376,7.488,83.2,5.0,0.7206057283918849,1.4412114567837697,500,12898
Isaac Sim RRT,123,175.94701998890088,8.388,93.2,5.0,0.7820099944504507,1.5640199889009014,500,7383
RRT Viz,42,150.37866431566496,8.868,98.53333333333335,5.0,0.7468321578324792,1.4936643156649585,500,4434
RRT Viz,123,143.2737985473493,8.884,98.71111111111111,5.0,0.7108992736746452,1.4217985473492905,500,4442
