Metric,GAT-CVD Mean,GAT-CVD Std,MASAC Mean,MASAC Std,t-statistic,p-value,Significant (p<0.05)
Reward,-81.12216208,535.0559941673622,-134.91948034627137,581.4169128531021,0.6808529698048222,0.49675997277840145,False
Success Rate,86.444444,23.66685509797509,85.0,22.41081589124625,0.44316340809286475,0.658131361955436,False
