timestep,gat_episode,gat_reward,gat_avg_reward_100,gat_success_rate,gat_episode_length,masac_episode,masac_reward,masac_avg_reward_100,masac_success_rate,masac_episode_length
1,1,48.003499,0.0,0.0,1,1,56.35216430798562,-1071.388603273745,0.2222222222222222,50
2,1,93.947981,0.0,0.0,2,1,103.611396726255,-1071.388603273745,0.2222222222222222,50
3,1,149.944489,0.0,0.0,3,1,78.611396726255,-1071.388603273745,0.2222222222222222,50
4,1,197.909806,0.0,0.0,4,1,53.611396726255,-1071.388603273745,0.2222222222222222,50
5,1,241.229733,0.0,0.0,5,1,28.611396726254995,-1071.388603273745,0.2222222222222222,50
6,1,250.927158,0.0,0.0,6,1,3.611396726254995,-1071.388603273745,0.2222222222222222,50
7,1,259.133289,0.0,0.0,7,1,-21.388603273745005,-1071.388603273745,0.2222222222222222,50
8,1,320.339421,0.0,0.0,8,1,-46.388603273745005,-1071.388603273745,0.2222222222222222,50
9,2,55.304831,320.339421,0.888889,1,1,-71.388603273745,-1071.388603273745,0.2222222222222222,50
10,2,98.557338,320.339421,0.888889,2,1,-96.388603273745,-1071.388603273745,0.2222222222222222,50
11,2,108.228304,320.339421,0.888889,3,1,-121.388603273745,-1071.388603273745,0.2222222222222222,50
12,2,164.402694,320.339421,0.888889,4,1,-146.388603273745,-1071.388603273745,0.2222222222222222,50
13,2,170.032342,320.339421,0.888889,5,1,-171.388603273745,-1071.388603273745,0.2222222222222222,50
14,2,186.645922,320.339421,0.888889,6,1,-196.388603273745,-1071.388603273745,0.2222222222222222,50
15,2,195.266744,320.339421,0.888889,7,1,-221.388603273745,-1071.388603273745,0.2222222222222222,50
16,2,211.119332,320.339421,0.888889,8,1,-246.388603273745,-1071.388603273745,0.2222222222222222,50
17,2,271.178542,320.339421,0.888889,9,1,-271.388603273745,-1071.388603273745,0.2222222222222222,50
18,3,47.800641,295.758982,0.944444,1,1,-296.388603273745,-1071.388603273745,0.2222222222222222,50
19,3,95.680556,295.758982,0.944444,2,1,-321.388603273745,-1071.388603273745,0.2222222222222222,50
20,3,146.14764,295.758982,0.944444,3,1,-346.388603273745,-1071.388603273745,0.2222222222222222,50
21,3,193.891325,295.758982,0.944444,4,1,-371.388603273745,-1071.388603273745,0.2222222222222222,50
22,3,201.305538,295.758982,0.944444,5,1,-396.388603273745,-1071.388603273745,0.2222222222222222,50
23,3,217.765235,295.758982,0.944444,6,1,-421.388603273745,-1071.388603273745,0.2222222222222222,50
24,3,227.492093,295.758982,0.944444,7,1,-446.388603273745,-1071.388603273745,0.2222222222222222,50
25,3,235.147062,295.758982,0.944444,8,1,-471.388603273745,-1071.388603273745,0.2222222222222222,50
26,3,297.386249,295.758982,0.944444,9,1,-496.388603273745,-1071.388603273745,0.2222222222222222,50
27,4,47.067092,296.301404,0.962963,1,1,-521.388603273745,-1071.388603273745,0.2222222222222222,50
28,4,97.173252,296.301404,0.962963,2,1,-546.388603273745,-1071.388603273745,0.2222222222222222,50
29,4,144.125363,296.301404,0.962963,3,1,-571.388603273745,-1071.388603273745,0.2222222222222222,50
30,4,152.16013,296.301404,0.962963,4,1,-596.388603273745,-1071.388603273745,0.2222222222222222,50
31,4,199.696132,296.301404,0.962963,5,1,-621.388603273745,-1071.388603273745,0.2222222222222222,50
