step,episode,loss,step_reward,epsilon,q_value,episode_reward,episode_length,avg_reward_100,success_rate
74,8,,24.126659,1.000000,0.030269,64.075349,5,138.259303,0.625000
75,8,,8.112880,1.000000,-0.211035,72.188229,6,138.259303,0.625000
76,8,,18.196724,1.000000,-0.216549,90.384953,7,138.259303,0.625000
77,8,,50.391894,1.000000,-0.143600,140.776847,8,138.259303,0.625000
78,9,,24.904771,1.000000,0.007888,24.904771,1,138.539031,0.555556
79,9,,9.612357,1.000000,0.004715,34.517128,2,138.539031,0.555556
80,9,,8.030482,1.000000,0.199413,42.547610,3,138.539031,0.555556
81,9,,16.805997,1.000000,0.044117,59.353607,4,138.539031,0.555556
82,9,,9.779520,1.000000,-0.176237,69.133127,5,138.539031,0.555556
83,9,,3.421524,1.000000,-0.179139,72.554650,6,138.539031,0.555556
84,9,,5.746883,1.000000,-0.119530,78.301533,7,138.539031,0.555556
85,9,,15.968237,1.000000,-0.006638,94.269771,8,138.539031,0.555556
86,9,,59.829515,1.000000,-0.248335,154.099285,9,138.539031,0.555556
87,10,,12.297354,1.000000,0.077090,12.297354,1,140.095056,0.600000
88,10,,4.351031,1.000000,-0.134501,16.648385,2,140.095056,0.600000
89,10,,5.088057,1.000000,-0.079608,21.736442,3,140.095056,0.600000
90,10,,7.498222,1.000000,-0.210530,29.234665,4,140.095056,0.600000
91,10,,24.734435,1.000000,0.051045,53.969100,5,140.095056,0.600000
92,10,,18.788920,1.000000,0.218278,72.758020,6,140.095056,0.600000
93,10,,7.006317,1.000000,-0.091295,79.764336,7,140.095056,0.600000
94,10,,16.077501,1.000000,0.026536,95.841838,8,140.095056,0.600000
95,10,,60.759725,1.000000,-0.169596,156.601562,9,140.095056,0.600000
96,11,,4.315098,1.000000,-0.112163,4.315098,1,141.595648,0.636364
97,11,,4.276043,1.000000,0.196869,8.591141,2,141.595648,0.636364
98,11,,8.717949,1.000000,-0.227820,17.309089,3,141.595648,0.636364
99,11,,8.117243,1.000000,0.003864,25.426332,4,141.595648,0.636364
100,11,,23.397388,1.000000,0.057999,48.823720,5,141.595648,0.636364
101,11,,16.232985,1.000000,0.086519,65.056705,6,141.595648,0.636364
102,11,,9.747348,1.000000,-0.185281,74.804054,7,141.595648,0.636364
103,11,,62.654068,1.000000,-0.168089,137.458121,8,141.595648,0.636364
104,12,,3.970066,1.000000,-0.262033,3.970066,1,141.250854,0.583333
105,12,,8.090528,1.000000,-0.261663,12.060594,2,141.250854,0.583333
106,12,,16.447135,1.000000,0.055550,28.507729,3,141.250854,0.583333
107,12,,7.100485,1.000000,0.107779,35.608214,4,141.250854,0.583333
108,12,,16.122952,1.000000,0.237960,51.731166,5,141.250854,0.583333
109,12,,9.757619,1.000000,-0.102969,61.488785,6,141.250854,0.583333
110,12,,16.576394,1.000000,-0.221911,78.065179,7,141.250854,0.583333
111,12,,14.450214,1.000000,-0.073293,92.515392,8,141.250854,0.583333
112,12,,59.657564,1.000000,-0.068137,152.172957,9,141.250854,0.583333
113,13,,7.830260,1.000000,0.014045,7.830260,1,142.091015,0.615385
114,13,,4.885062,1.000000,-0.076770,12.715323,2,142.091015,0.615385
115,13,,15.391095,1.000000,0.122780,28.106418,3,142.091015,0.615385
116,13,,4.114430,1.000000,0.163409,32.220848,4,142.091015,0.615385
117,13,,16.599130,1.000000,-0.022644,48.819978,5,142.091015,0.615385
118,13,,9.725280,1.000000,-0.106836,58.545258,6,142.091015,0.615385
119,13,,3.163523,1.000000,-0.267050,61.708781,7,142.091015,0.615385
120,13,,7.524050,1.000000,-0.182247,69.232831,8,142.091015,0.615385
121,13,,59.797454,1.000000,-0.245942,129.030285,9,142.091015,0.615385
122,14,,7.844299,1.000000,-0.282453,7.844299,1,141.158106,0.642857
123,14,,7.222715,1.000000,0.069076,15.067014,2,141.158106,0.642857
124,14,,24.849334,1.000000,-0.014438,39.916348,3,141.158106,0.642857
125,14,,7.418596,1.000000,0.083346,47.334944,4,141.158106,0.642857
